step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.785875,0.499781,0.001937,128.000000,0.196842,45.946066,101.597911,2.785875,0.001937
2,2.320755,0.492465,0.001267,128.000000,0.196842,55.154459,155.336695,5.106630,0.003205
3,2.178759,0.501018,0.202036,128.000000,0.196842,58.749027,0.974291,7.285390,0.205241
4,2.355010,0.498210,0.001241,128.000000,0.196842,54.352200,158.610932,9.640400,0.206482
5,2.177130,0.510779,0.128049,128.000000,0.196842,58.793003,1.537247,11.817530,0.334531
6,2.272843,0.497938,0.054726,128.000000,0.196842,56.317122,3.596891,14.090374,0.389256
7,2.349917,0.498965,0.006942,128.000000,0.196842,54.470012,28.353717,16.440290,0.396199
8,2.259466,0.495689,0.021893,128.000000,0.196842,56.650562,8.991092,18.699756,0.418092
9,2.225008,0.506666,0.069229,128.000000,0.196842,57.527873,2.843345,20.924764,0.487321
10,2.265700,0.501260,0.001307,128.000000,0.196842,56.494691,150.618447,23.190464,0.488628
11,2.317934,0.506115,0.001417,128.000000,0.196842,55.221589,138.916706,25.508398,0.490045
12,2.132272,0.524037,0.225670,128.000000,0.196842,60.029866,0.872259,27.640670,0.715714
13,2.254919,0.505897,0.075968,128.000000,0.196842,56.764801,2.591133,29.895589,0.791682
14,2.239237,0.503186,0.128436,128.000000,0.196842,57.162332,1.532613,32.134825,0.920117
15,2.335830,0.519412,0.001354,128.000000,0.196842,54.798502,145.415871,34.470656,0.921471
16,2.350746,0.514556,0.001394,128.000000,0.196842,54.450808,141.175344,36.821401,0.922865
17,2.321941,0.513045,0.001196,128.000000,0.196842,55.126304,164.595196,39.143342,0.924061
18,2.342223,0.521852,0.001316,128.000000,0.196842,54.648946,149.563065,41.485565,0.925377
19,2.330285,0.514555,0.001234,128.000000,0.196842,54.928892,159.494228,43.815850,0.926612
20,2.333056,0.525567,0.001376,128.000000,0.196842,54.863665,143.079187,46.148906,0.927987
21,2.380616,0.528272,0.001281,128.000000,0.196842,53.767593,153.616746,48.529522,0.929269
22,2.223041,0.525089,0.058492,128.000000,0.196842,57.578787,3.365309,50.752563,0.987760
23,2.425459,0.530004,0.001202,128.000000,0.196842,52.773512,163.813740,53.178022,0.988962
24,2.469002,0.530868,0.001259,128.000000,0.196842,51.842818,156.314278,55.647024,0.990221
25,2.240509,0.531108,0.211612,128.000000,0.196842,57.129872,0.930203,57.887533,1.201833
26,2.295649,0.535055,0.004911,128.000000,0.196842,55.757657,40.079342,60.183182,1.206745
27,2.345617,0.527949,0.001221,128.000000,0.196842,54.569864,161.194907,62.528799,1.207966
28,2.442549,0.528108,0.001207,128.000000,0.196842,52.404264,163.131413,64.971348,1.209172
29,2.327530,0.537134,0.001281,128.000000,0.196842,54.993910,153.677910,67.298879,1.210453
30,2.184585,0.538076,0.091026,128.000000,0.196842,58.592374,2.162475,69.483463,1.301480
31,2.383282,0.541821,0.001314,128.000000,0.196842,53.707446,149.777128,71.866745,1.302794
32,2.413016,0.542789,0.001194,128.000000,0.196842,53.045659,164.846895,74.279761,1.303988
33,2.338464,0.543637,0.001445,128.000000,0.196842,54.736777,136.196486,76.618225,1.305433
34,2.049244,0.537924,0.298751,128.000000,0.196842,62.462065,0.658884,78.667469,1.604184
35,2.129261,0.537003,0.302553,128.000000,0.196842,60.114763,0.650603,80.796730,1.906737
36,2.387811,0.538908,0.001443,128.000000,0.196842,53.605580,136.389470,83.184541,1.908180
37,2.285218,0.536651,0.074806,128.000000,0.196842,56.012162,2.631371,85.469759,1.982986
38,2.331583,0.537036,0.001248,128.000000,0.196842,54.898335,157.682274,87.801341,1.984235
39,2.286043,0.539787,0.009874,128.000000,0.196842,55.991953,19.936288,90.087384,1.994108
40,2.262164,0.537842,0.063016,128.000000,0.196842,56.582984,3.123678,92.349548,2.057124
41,2.476553,1.684710,0.001294,128.000000,0.196842,51.684741,152.159258,94.826101,2.058418
42,2.337496,1.676777,0.001362,128.000000,0.196842,54.759455,144.538804,97.163597,2.059780
43,2.320408,0.532713,0.001249,128.000000,0.196842,55.162719,157.635678,99.484005,2.061029
44,2.327650,0.538071,0.006310,128.000000,0.196842,54.991078,31.196206,101.811655,2.067339
45,2.266506,0.533638,0.001267,128.000000,0.196842,56.474594,155.386602,104.078161,2.068605
46,2.314512,0.537284,0.001324,128.000000,0.196842,55.303239,148.682683,106.392673,2.069929
47,2.288629,0.537243,0.001342,128.000000,0.196842,55.928670,146.652447,108.681303,2.071271
48,2.344169,0.540617,0.001450,128.000000,0.196842,54.603574,135.730865,111.025471,2.072722
49,2.367133,0.535411,0.008257,128.000000,0.196842,54.073841,23.840278,113.392605,2.080978
50,2.274818,0.537974,0.002081,128.000000,0.196842,56.268229,94.593149,115.667423,2.083059
51,2.168061,0.535443,0.057511,128.000000,0.196842,59.038926,3.422688,117.835484,2.140570
52,1.988631,0.531436,0.367237,128.000000,0.196842,64.365897,0.536008,119.824115,2.507808
53,2.185807,0.536460,0.098243,128.000000,0.196842,58.559597,2.003627,122.009922,2.606051
54,2.313086,0.535580,0.001265,128.000000,0.196842,55.337317,155.569337,124.323009,2.607316
55,2.309334,0.536933,0.001421,128.000000,0.196842,55.427230,138.490185,126.632343,2.608737
56,2.321379,0.538241,0.001320,128.000000,0.196842,55.139650,149.081425,128.953722,2.610058
57,2.377700,0.549982,0.001283,128.000000,0.196842,53.833534,153.370182,131.331422,2.611341
58,2.246683,0.538770,0.017144,128.000000,0.196842,56.972886,11.481711,133.578105,2.628485
59,2.287272,0.535557,0.029692,128.000000,0.196842,55.961870,6.629391,135.865376,2.658178
60,2.255600,0.538448,0.049139,128.000000,0.196842,56.747647,4.005803,138.120976,2.707317
61,2.176242,0.536618,0.103009,128.000000,0.196842,58.816989,1.910926,140.297218,2.810326
62,2.516654,0.543512,0.001315,128.000000,0.196842,50.861184,149.708666,142.813872,2.811640
63,2.287764,0.541750,0.023906,128.000000,0.196842,55.949822,8.234158,145.101637,2.835546
64,2.312808,0.536485,0.001374,128.000000,0.196842,55.343977,143.312319,147.414445,2.836919
65,2.271876,0.533272,0.024092,128.000000,0.196842,56.341100,8.170462,149.686321,2.861011
66,2.223192,0.541857,0.077142,128.000000,0.196842,57.574870,2.551675,151.909513,2.938154
67,2.245550,0.538889,0.029443,128.000000,0.196842,57.001631,6.685514,154.155063,2.967597
68,2.307048,0.540990,0.006407,128.000000,0.196842,55.482152,30.724270,156.462111,2.974004
69,2.348050,0.538348,0.001385,128.000000,0.196842,54.513308,142.121044,158.810161,2.975389
70,2.328666,0.537883,0.001315,128.000000,0.196842,54.967089,149.681686,161.138828,2.976704
71,2.199496,0.541213,0.154674,128.000000,0.196842,58.195161,1.272622,163.338323,3.131378
72,2.305755,0.536922,0.001246,128.000000,0.196842,55.513278,158.042709,165.644078,3.132624
73,2.463877,0.539391,0.001340,128.000000,0.196842,51.950644,146.849488,168.107955,3.133964
74,2.331180,0.536940,0.001422,128.000000,0.196842,54.907814,138.379294,170.439135,3.135387
75,2.174255,0.536048,0.102379,128.000000,0.196842,58.870741,1.922683,172.613390,3.237765
76,2.251767,0.533786,0.001237,128.000000,0.196842,56.844239,159.164850,174.865157,3.239002
77,2.482184,0.542796,0.001304,128.000000,0.196842,51.567499,150.994635,177.347341,3.240306
78,2.200218,0.538314,0.102687,128.000000,0.196842,58.176056,1.916908,179.547559,3.342993
79,2.303399,0.539071,0.001245,128.000000,0.196842,55.570054,158.064918,181.850958,3.344239
80,2.342184,0.544649,0.006326,128.000000,0.196842,54.649857,31.114581,184.193141,3.350565
81,2.276051,0.539481,0.025861,128.000000,0.196842,56.237752,7.611473,186.469192,3.376426
82,2.101283,0.538841,0.281541,128.000000,0.196842,60.915158,0.699160,188.570476,3.657967
