step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.139846,0.503180,0.001744,128.000000,0.196842,112.295859,112.880463,1.139846,0.001744
2,1.225119,0.495834,0.001246,128.000000,0.196842,104.479688,157.943289,2.364965,0.002990
3,1.377711,0.495051,0.049571,128.000000,0.196842,92.907740,3.970936,3.742675,0.052561
4,2.614983,0.495259,0.001276,128.000000,0.196842,48.948702,154.281969,6.357658,0.053837
5,2.072191,0.494510,0.276435,128.000000,0.196842,61.770379,0.712074,8.429849,0.330272
6,0.946682,0.540464,0.038369,128.000000,0.196842,135.209080,5.130212,9.376531,0.368641
7,0.420127,0.540887,0.001315,128.000000,0.196842,304.670010,149.672922,9.796657,0.369956
8,0.115586,0.502027,0.011723,128.000000,0.196842,1107.403683,16.790763,9.912243,0.381679
9,0.115757,0.498587,0.001188,128.000000,0.196842,1105.766640,165.641330,10.028000,0.382868
10,0.113515,0.506024,0.001186,128.000000,0.196842,1127.606069,165.996829,10.141515,0.384053
11,0.119452,0.506227,0.001259,128.000000,0.196842,1071.555774,156.290325,10.260967,0.385313
12,0.115510,0.508647,0.001370,128.000000,0.196842,1108.131891,143.718723,10.376477,0.386682
13,0.114888,0.510114,0.001396,128.000000,0.196842,1114.126196,140.997266,10.491365,0.388079
14,0.114014,0.506998,0.001206,128.000000,0.196842,1122.671962,163.277689,10.605379,0.389284
15,0.515696,0.508303,0.001239,128.000000,0.196842,248.208306,158.861313,11.121075,0.390523
16,2.312724,0.515524,0.094374,128.000000,0.196842,55.345994,2.085773,13.433798,0.484897
17,2.316848,0.581428,0.001235,128.000000,0.196842,55.247478,159.427701,15.750646,0.486132
18,2.329662,0.516542,0.001266,128.000000,0.196842,54.943585,155.427459,18.080309,0.487398
19,2.313313,0.519212,0.001289,128.000000,0.196842,55.331894,152.670260,20.393622,0.488687
20,2.326660,0.531291,0.035812,128.000000,0.196842,55.014473,5.496620,22.720282,0.524499
21,2.362235,0.524039,0.001259,128.000000,0.196842,54.185963,156.295164,25.082518,0.525758
22,2.292721,0.530041,0.015559,128.000000,0.196842,55.828870,12.651242,27.375238,0.541317
23,2.266933,0.532630,0.038789,128.000000,0.196842,56.463946,5.074718,29.642172,0.580106
