step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.695748,0.606664,0.001885,128.000000,0.196842,75.482915,104.446179,1.695748,0.001885
2,1.432206,0.507839,0.076169,128.000000,0.196842,89.372608,2.584269,3.127954,0.078054
3,1.642383,0.707563,0.001369,128.000000,0.196842,77.935526,143.781185,4.770337,0.079423
4,1.750867,0.505574,0.001259,128.000000,0.196842,73.106648,156.381586,6.521204,0.080682
5,1.720415,0.512652,0.001239,128.000000,0.196842,74.400645,158.923519,8.241619,0.081920
6,1.715632,0.504763,0.211534,128.000000,0.196842,74.608092,0.930546,9.957251,0.293454
7,1.938627,0.495345,0.001470,128.000000,0.196842,66.026114,133.902064,11.895878,0.294924
8,2.030714,0.511772,0.001337,128.000000,0.196842,63.032026,147.268408,13.926592,0.296261
9,2.237783,0.520403,0.042707,128.000000,0.196842,57.199473,4.609140,16.164374,0.338968
10,2.242350,0.519208,0.014569,128.000000,0.196842,57.082982,13.511344,18.406724,0.353537
11,2.401966,0.517332,0.001317,128.000000,0.196842,53.289680,149.450419,20.808690,0.354854
12,2.372009,0.513420,0.438442,128.000000,0.196842,53.962686,0.448959,23.180699,0.793296
13,2.190677,0.519987,0.001320,128.000000,0.196842,58.429429,149.137675,25.371376,0.794615
14,2.414368,0.510649,0.001261,128.000000,0.196842,53.015940,156.112330,27.785744,0.795876
15,2.292776,0.520047,0.072850,128.000000,0.196842,55.827510,2.702016,30.078521,0.868727
16,2.348570,0.519661,0.001270,128.000000,0.196842,54.501250,155.012528,32.427091,0.869996
17,2.335356,0.526849,0.001337,128.000000,0.196842,54.809633,147.277223,34.762447,0.871333
18,2.339244,0.540183,0.059446,128.000000,0.196842,54.718537,3.311287,37.101691,0.930779
19,2.377466,0.538979,0.001191,128.000000,0.196842,53.838827,165.206059,39.479157,0.931970
20,2.143917,0.538483,0.163431,128.000000,0.196842,59.703803,1.204439,41.623074,1.095401
