timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775606541.032869,0.0,1362,201585,0.000,0.000
1775606544.035149,0.0,1693,201585,94.156,0.000
1775606547.037666,0.0,1774,201585,87.926,0.000
1775606550.040121,0.0,1798,201585,85.264,0.154
1775606553.042585,0.0,1777,201586,85.263,0.004
1775606556.044911,0.0,1775,201587,87.932,0.000
1775606559.052356,0.0,1796,201587,90.442,0.004
1775606562.055875,0.0,1768,201587,83.902,0.000
1775606565.059895,0.0,1770,201588,86.551,0.004
1775606568.063171,0.0,1809,201588,77.249,0.000
1775606571.065518,0.0,1795,201588,85.267,0.004
1775606574.067928,0.0,1778,201589,85.265,0.000
1775606577.070287,0.0,1776,201589,81.269,0.003
1775606580.073858,0.0,1809,201589,62.592,1.466
1775606583.076490,0.0,1781,201590,73.269,0.000
1775606586.079695,0.0,1789,201590,69.259,0.012
1775606589.082443,0.0,1812,201591,77.263,0.000
1775606592.084835,0.0,1780,201591,70.610,0.004
1775606595.088190,0.0,1780,201591,77.247,0.000
1775606598.091413,0.0,1806,201591,85.242,0.004
1775606601.094041,0.0,1791,201592,85.259,0.000
1775606604.096423,0.0,1780,201592,79.937,0.000
1775606607.098967,0.0,1775,201592,69.275,0.004
1775606610.102290,0.0,1803,201593,73.252,0.007
1775606613.104721,0.0,1775,201593,73.274,0.007
1775606616.108332,0.0,1776,201594,69.250,1.316
1775606619.111768,0.0,1807,201594,66.590,0.012
1775606622.114544,0.0,1777,201594,79.926,0.000
1775606625.117849,0.0,1775,201594,85.239,0.004
1775606628.120279,0.0,1804,201595,85.264,0.000
1775606631.122612,0.0,1782,201595,77.273,0.000
1775606634.125695,0.0,1776,201596,71.926,0.004
1775606637.129573,0.0,1778,201596,70.575,0.000
1775606640.133236,0.0,1805,201596,67.917,0.004
1775606643.135736,0.0,1782,201597,71.940,0.000
1775606646.139130,0.0,1781,201597,67.923,1.191
1775606649.142414,0.0,1809,201597,83.908,0.000
1775606652.145188,0.0,1807,201598,85.255,0.013
1775606655.147603,0.0,1772,201598,85.265,0.399
1775606658.150058,0.0,1786,201598,75.938,0.000
1775606661.152553,0.0,1781,201599,65.279,0.012
1775606664.156176,0.0,1796,201599,67.918,0.000
1775606667.158613,0.0,1787,201600,70.611,0.414
1775606670.160949,0.0,1766,201600,71.944,0.000
1775606673.164373,0.0,1775,201600,74.582,0.009
1775606676.167587,0.0,1793,201600,85.242,0.000
1775606679.169940,0.0,1771,201601,37.304,0.003
1775606682.172562,0.0,1776,201601,47.958,0.001
1775606685.174985,0.0,1800,201601,85.264,0.000
1775606688.177294,0.0,1769,201602,65.283,0.000
1775606691.180624,0.0,1773,201602,73.252,0.004
1775606694.184206,0.0,1795,201602,69.251,0.000
1775606697.186890,0.0,1767,201603,66.607,1.064
1775606700.190315,0.0,1765,201603,70.586,0.000
1775606703.193587,0.0,1800,201603,81.245,0.018
1775606706.196008,0.0,1766,201604,85.265,0.000
1775606709.198357,0.0,1773,201604,83.934,0.005
1775606712.201168,0.0,1795,201604,70.601,0.000
1775606715.204121,0.0,1787,201605,69.265,0.007
1775606718.206583,0.0,1765,201605,69.276,0.795
1775606721.209979,0.0,1765,201606,74.582,0.010
1775606724.213283,0.0,1774,201606,69.257,0.000
1775606727.216007,0.0,1792,201606,75.931,0.004
1775606730.218412,0.0,1774,201606,83.933,0.000
1775606733.221055,0.0,1767,201607,85.258,0.004
1775606736.223482,0.0,1794,201607,85.264,0.000
1775606739.225892,0.0,1771,201608,74.607,0.000
1775606742.229494,0.0,1770,201608,71.914,0.004
1775606745.232808,0.0,1799,201608,67.925,0.000
1775606748.235146,0.0,1771,201609,69.279,0.010
1775606751.238074,0.0,1771,201609,70.598,1.314
1775606754.241407,0.0,1798,201610,71.920,0.010
1775606757.244554,0.0,1781,201610,85.244,0.000
1775606760.247370,0.0,1770,201610,85.253,0.004
1775606763.249834,0.0,1798,201610,81.267,0.000
1775606766.252156,0.0,1776,201611,67.947,0.000
1775606769.255008,0.0,1792,201611,71.932,0.669
1775606772.257365,0.0,1767,201611,70.611,0.008
1775606775.260703,0.0,1765,201612,71.920,0.001
1775606778.264074,0.0,1790,201612,70.587,0.000
1775606781.266832,0.0,1776,201613,78.594,0.004
1775606784.269210,0.0,1778,201613,83.933,0.000
1775606787.271686,0.0,1796,201613,85.263,0.004
1775606790.274240,0.0,1775,201613,78.600,0.000
1775606793.277706,0.0,1769,201614,70.585,0.000
1775606796.281088,0.0,1791,201614,69.255,0.004
1775606799.283538,0.0,1783,201615,73.273,0.005
1775606802.286362,0.0,1768,201615,70.602,1.323
1775606805.289763,0.0,1773,201615,70.587,0.005
1775606808.293281,0.0,1797,201615,78.575,0.004
1775606811.296421,0.0,1781,201616,85.244,0.000
1775606814.299182,0.0,1769,201616,85.255,0.004
1775606817.301568,0.0,1798,201617,77.272,0.661
1775606820.304034,0.0,1793,201617,69.276,0.000
1775606823.307327,0.0,1766,201617,70.589,0.009
1775606826.310668,0.0,1792,201618,71.920,0.000
1775606829.313102,0.0,1779,201618,70.609,0.004
1775606832.316010,0.0,1764,201619,66.602,0.000
1775606835.319187,0.0,1791,201619,85.243,0.004
1775606838.321918,0.0,1778,201619,85.256,0.795
1775606841.324191,0.0,1768,201619,81.272,0.134
1775606844.327259,0.0,1774,201620,69.263,0.010
1775606847.331820,0.0,1789,201620,70.559,0.000
1775606850.334336,0.0,1771,201621,70.607,0.004
1775606853.336930,0.0,1771,201621,66.609,0.000
1775606856.340367,0.0,1788,201621,70.586,0.004
1775606859.366864,0.0,1780,201621,81.943,0.662
1775606862.369271,0.0,1763,201622,85.265,0.009
1775606865.371644,0.0,1787,201622,85.266,0.000
1775606868.374176,0.0,1780,201623,77.268,0.000
1775606871.377346,0.0,1757,201623,71.924,0.533
1775606874.380791,0.0,1759,201623,65.258,0.131
1775606877.384188,0.0,1788,201624,77.246,0.013
1775606880.386695,0.0,1761,201624,63.947,0.139
1775606883.389302,0.0,1755,201625,73.270,0.008
1775606886.393374,0.0,1755,201625,82.555,0.265
1775606889.395794,0.0,1782,201625,85.265,0.008
1775606892.398247,0.0,1756,201625,85.264,0.267
1775606895.400594,0.0,1755,201626,77.273,0.000
1775606898.404343,0.0,1785,201626,65.252,0.009
