step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.820640,0.507509,0.001748,128.000000,0.196842,70.304941,112.594169,1.820640,0.001748
2,1.491986,0.496309,0.001329,128.000000,0.196842,85.791710,148.111341,3.312626,0.003077
3,1.559778,0.517783,0.074040,128.000000,0.196842,82.062955,2.658598,4.872404,0.077117
4,1.713897,0.491591,0.002415,128.000000,0.196842,74.683591,81.493644,6.586301,0.079533
5,1.736762,0.511598,0.001245,128.000000,0.196842,73.700388,158.130820,8.323063,0.080777
6,1.776812,0.512494,0.136075,128.000000,0.196842,72.039155,1.446569,10.099874,0.216853
7,1.851300,0.500096,0.138957,128.000000,0.196842,69.140593,1.416572,11.951175,0.355809
8,2.114345,0.526063,0.001399,128.000000,0.196842,60.538852,140.751668,14.065519,0.357208
9,1.959790,0.516633,0.071899,128.000000,0.196842,65.313134,2.737775,16.025309,0.429106
10,2.253351,0.514967,0.047488,128.000000,0.196842,56.804299,4.145124,18.278659,0.476594
11,2.300100,0.522751,0.023885,128.000000,0.196842,55.649758,8.241223,20.578759,0.500479
12,2.355815,0.512081,0.049400,128.000000,0.196842,54.333639,3.984676,22.934574,0.549879
13,2.369606,0.515171,0.001274,128.000000,0.196842,54.017428,154.563874,25.304180,0.551152
14,2.481327,0.506176,0.001327,128.000000,0.196842,51.585299,148.303832,27.785507,0.552480
15,2.197923,0.509289,0.222753,128.000000,0.196842,58.236809,0.883678,29.983430,0.775233
16,2.343187,0.515980,0.001352,128.000000,0.196842,54.626447,145.628453,32.326617,0.776585
17,2.352575,0.611601,0.001457,128.000000,0.196842,54.408466,135.107145,34.679192,0.778042
18,2.201935,0.533649,0.156405,128.000000,0.196842,58.130679,1.258545,36.881127,0.934446
19,2.386510,0.540174,0.001372,128.000000,0.196842,53.634803,143.452898,39.267637,0.935818
20,2.309852,0.542931,0.018835,128.000000,0.196842,55.414804,10.451020,41.577490,0.954653
21,2.359513,0.539102,0.001377,128.000000,0.196842,54.248480,142.905925,43.937003,0.956031
22,2.249917,0.534371,0.154758,128.000000,0.196842,56.890986,1.271939,46.186920,1.110788
23,2.356365,0.535945,0.001357,128.000000,0.196842,54.320963,145.092170,48.543284,1.112145
24,2.406276,0.529739,0.001240,128.000000,0.196842,53.194225,158.734488,50.949561,1.113385
25,2.430369,0.532549,0.001248,128.000000,0.196842,52.666903,157.785919,53.379930,1.114632
26,2.239290,0.537498,0.344750,128.000000,0.196842,57.160975,0.570971,55.619220,1.459382
27,2.412030,0.534791,0.001330,128.000000,0.196842,53.067341,148.052076,58.031249,1.460712
28,2.336659,0.540124,0.055150,128.000000,0.196842,54.779056,3.569189,60.367909,1.515862
29,2.394869,0.543849,0.001401,128.000000,0.196842,53.447602,140.457598,62.762778,1.517264
30,2.291770,0.552368,0.033131,128.000000,0.196842,55.852039,5.941378,65.054547,1.550394
31,2.366562,0.556206,0.017515,128.000000,0.196842,54.086909,11.238322,67.421109,1.567910
32,2.321077,0.558504,0.072193,128.000000,0.196842,55.146806,2.726615,69.742186,1.640102
33,2.387211,0.558872,0.001245,128.000000,0.196842,53.619048,158.102370,72.129397,1.641347
34,2.323565,0.675435,0.001403,128.000000,0.196842,55.087767,140.294822,74.452962,1.642751
35,2.255281,0.562748,0.093825,128.000000,0.196842,56.755687,2.097962,76.708243,1.736576
36,2.346835,0.561984,0.001352,128.000000,0.196842,54.541545,145.587739,79.055078,1.737928
37,2.367811,0.555938,0.001312,128.000000,0.196842,54.058366,150.029873,81.422889,1.739240
38,2.353231,0.555523,0.001209,128.000000,0.196842,54.393301,162.794666,83.776120,1.740449
39,2.242547,0.559195,0.102204,128.000000,0.196842,57.077952,1.925976,86.018667,1.842653
40,2.411954,0.554395,0.001389,128.000000,0.196842,53.069012,141.670573,88.430621,1.844042
41,2.312198,1.706300,0.001491,128.000000,0.196842,55.358582,132.031408,90.742819,1.845533
42,2.296945,1.717170,0.001324,128.000000,0.196842,55.726203,148.708630,93.039763,1.846857
43,2.376292,0.541420,0.001255,128.000000,0.196842,53.865428,156.818629,95.416055,1.848112
44,2.250250,0.542365,0.122323,128.000000,0.196842,56.882560,1.609200,97.666306,1.970435
45,2.360451,0.541674,0.001360,128.000000,0.196842,54.226917,144.708391,100.026757,1.971796
46,2.252569,0.557297,0.071467,128.000000,0.196842,56.824011,2.754319,102.279326,2.043262
47,2.288457,0.556643,0.001259,128.000000,0.196842,55.932883,156.391153,104.567783,2.044521
48,2.327336,0.557050,0.016821,128.000000,0.196842,54.998498,11.702061,106.895119,2.061342
49,2.276058,0.553761,0.037018,128.000000,0.196842,56.237574,5.317497,109.171178,2.098360
50,2.311819,0.545422,0.024467,128.000000,0.196842,55.367654,8.045130,111.482997,2.122827
51,2.084212,0.540844,0.240421,128.000000,0.196842,61.414085,0.818738,113.567209,2.363249
52,2.362869,0.542011,0.001206,128.000000,0.196842,54.171434,163.275116,115.930078,2.364454
53,2.304639,0.537657,0.001273,128.000000,0.196842,55.540144,154.644260,118.234718,2.365727
54,2.353890,0.545883,0.001262,128.000000,0.196842,54.378073,155.915597,120.588608,2.366990
55,2.414627,0.549494,0.001302,128.000000,0.196842,53.010265,151.185642,123.003234,2.368292
56,2.324446,0.675456,0.001362,128.000000,0.196842,55.066894,144.482787,125.327680,2.369654
57,2.376912,0.556635,0.001267,128.000000,0.196842,53.851379,155.316839,127.704592,2.370921
58,2.404626,0.555035,0.001256,128.000000,0.196842,53.230733,156.780909,130.109218,2.372177
59,2.315401,0.561242,0.018997,128.000000,0.196842,55.282012,10.361915,132.424618,2.391173
60,2.399739,0.554823,0.001310,128.000000,0.196842,53.339128,150.261675,134.824358,2.392483
61,2.334787,0.552459,0.001426,128.000000,0.196842,54.822991,138.002003,137.159145,2.393910
62,2.333254,0.545834,0.001228,128.000000,0.196842,54.859019,160.254491,139.492398,2.395138
63,2.430101,0.551992,0.001298,128.000000,0.196842,52.672717,151.686491,141.922499,2.396436
64,2.383931,0.536766,0.001383,128.000000,0.196842,53.692818,142.300739,144.306430,2.397819
65,2.323268,0.540673,0.001230,128.000000,0.196842,55.094803,160.066057,146.629698,2.399049
66,2.423765,0.539128,0.001340,128.000000,0.196842,52.810409,146.947494,149.053463,2.400388
67,2.246902,0.546375,0.124818,128.000000,0.196842,56.967331,1.577033,151.300365,2.525206
68,2.381223,0.551998,0.001272,128.000000,0.196842,53.753880,154.766213,153.681588,2.526478
69,2.363444,0.550385,0.051991,128.000000,0.196842,54.158250,3.786114,156.045032,2.578469
70,2.400103,0.552198,0.001211,128.000000,0.196842,53.331041,162.507322,158.445135,2.579680
71,2.266881,0.561012,0.027487,128.000000,0.196842,56.465238,7.161295,160.712017,2.607167
72,2.387216,0.557464,0.003341,128.000000,0.196842,53.618934,58.914556,163.099233,2.610508
73,2.403110,0.559745,0.001318,128.000000,0.196842,53.264305,149.296374,165.502344,2.611827
74,2.336876,0.553060,0.001272,128.000000,0.196842,54.773978,154.773636,167.839220,2.613099
75,2.274893,0.546252,0.062188,128.000000,0.196842,56.266376,3.165253,170.114113,2.675287
76,2.370892,0.542332,0.001462,128.000000,0.196842,53.988111,134.608600,172.485005,2.676749
77,2.296278,0.539051,0.001366,128.000000,0.196842,55.742375,144.102855,174.781284,2.678115
78,2.368389,0.536765,0.001326,128.000000,0.196842,54.045187,148.421134,177.149672,2.679442
79,2.390592,0.535713,0.001250,128.000000,0.196842,53.543213,157.465693,179.540264,2.680692
80,2.196561,0.541062,0.495019,128.000000,0.196842,58.272899,0.397646,181.736826,3.175711
81,2.426198,0.534834,0.001379,128.000000,0.196842,52.757433,142.715903,184.163024,3.177090
82,2.340084,0.547117,0.001356,128.000000,0.196842,54.698898,145.216549,186.503108,3.178445
83,2.427545,0.541462,0.001346,128.000000,0.196842,52.728165,146.241256,188.930653,3.179791
