timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775618834.630436,0.0,1921,201895,0.000,0.000
1775618837.633897,0.0,2214,201585,91.454,0.000
1775618840.637127,0.0,2291,201585,90.569,0.000
1775618843.639698,0.0,2323,201585,85.260,0.155
1775618846.642364,0.0,2304,201586,91.918,0.008
1775618849.645437,0.0,2293,201587,90.574,0.001
1775618852.648719,0.0,2290,201587,90.568,0.004
1775618855.651995,0.0,2317,201587,82.576,0.000
1775618858.655166,0.0,2299,201588,83.911,0.004
1775618861.659157,0.0,2289,201588,79.894,0.000
1775618864.662463,0.0,2323,201589,78.580,0.004
1775618867.664782,0.0,2321,201589,83.935,0.000
1775618870.667403,0.0,2305,201589,85.259,0.000
1775618873.669893,0.0,2298,201589,85.263,1.465
1775618876.672232,0.0,2325,201590,73.276,0.000
1775618879.675226,0.0,2290,201590,66.600,0.012
1775618882.678550,0.0,2285,201591,74.584,0.000
1775618885.681771,0.0,2315,201591,70.591,0.004
1775618888.684147,0.0,2288,201591,59.953,0.000
1775618891.687460,0.0,2298,201591,81.244,0.674
1775618894.689875,0.0,2317,201592,85.265,0.139
1775618897.692258,0.0,2288,201592,85.266,0.007
1775618900.694688,0.0,2296,201593,78.603,0.000
1775618903.698508,0.0,2318,201593,69.245,0.000
1775618906.701178,0.0,2300,201593,69.272,0.533
1775618909.703666,0.0,2287,201594,71.940,0.000
1775618912.706972,0.0,2317,201594,71.921,0.008
1775618915.709667,0.0,2303,201595,70.603,0.000
1775618918.711953,0.0,2289,201595,79.939,0.004
1775618921.714574,0.0,2315,201595,85.259,0.000
1775618924.716887,0.0,2311,201595,82.603,0.003
1775618927.719830,0.0,2302,201596,71.793,0.795
1775618930.723725,0.0,2304,201596,66.074,0.000
1775618933.727021,0.0,2327,201597,75.227,0.010
1775618936.729390,0.0,2299,201597,66.614,0.000
1775618939.732043,0.0,2297,201597,69.272,0.004
1775618942.735305,0.0,2301,201597,79.913,0.000
1775618945.737957,0.0,2322,201598,85.258,0.004
1775618948.740405,0.0,2298,201598,85.264,0.796
1775618951.743065,0.0,2299,201599,71.938,0.000
1775618954.746465,0.0,2318,201599,73.250,0.009
1775618957.748880,0.0,2304,201599,69.278,0.000
1775618960.751282,0.0,2314,201600,74.607,0.004
1775618963.754354,0.0,2295,201600,69.262,0.000
1775618966.757777,0.0,2304,201600,69.254,0.004
1775618969.760982,0.0,2326,201600,83.910,0.000
1775618972.763563,0.0,2303,201601,49.291,0.000
1775618975.765901,0.0,2303,201601,35.972,0.004
1775618978.768386,0.0,2302,201601,85.263,0.000
1775618981.771193,0.0,2317,201602,83.921,1.195
1775618984.773699,0.0,2300,201602,69.275,0.001
1775618987.777140,0.0,2297,201602,73.249,0.005
1775618990.780430,0.0,2326,201603,71.921,0.004
1775618993.783235,0.0,2311,201603,73.265,0.000
1775618996.785898,0.0,2297,201604,71.936,0.004
1775618999.789767,0.0,2322,201604,71.907,0.000
1775619002.792269,0.0,2313,201604,81.266,0.004
1775619005.794616,0.0,2298,201604,85.267,0.000
1775619008.797109,0.0,2292,201605,85.262,0.003
1775619011.799516,0.0,2316,201605,77.271,0.001
1775619014.802290,0.0,2290,201606,74.598,0.000
1775619017.805815,0.0,2295,201606,66.588,1.324
1775619020.809016,0.0,2322,201606,70.591,0.000
1775619023.811462,0.0,2289,201607,61.283,0.009
1775619026.814810,0.0,2299,201607,75.915,0.000
1775619029.818022,0.0,2321,201607,85.242,0.004
