timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775652923.005445,0.0,1363,201895,0.000,0.000
1775652926.009356,0.0,1732,201585,88.793,0.000
1775652929.012733,0.0,1809,201585,93.228,0.000
1775652932.015247,0.0,1807,201585,85.262,0.157
1775652935.017676,0.0,1807,201586,85.264,0.042
1775652938.020136,0.0,1807,201587,90.592,0.243
1775652941.023560,0.0,1810,201587,89.231,0.007
1775652944.026982,0.0,1809,201587,85.236,0.000
1775652947.029700,0.0,1695,201588,81.260,0.003
1775652950.033119,0.0,1698,201588,83.910,0.001
1775652953.036715,0.0,1698,201588,81.231,0.004
1775652956.039204,0.0,1701,201589,85.263,0.000
1775652959.041660,0.0,1701,201589,85.264,0.004
1775652962.044220,0.0,1700,201589,73.271,0.000
1775652965.047531,0.0,1701,201590,65.261,0.000
1775652968.050128,0.0,1700,201590,70.606,1.326
1775652971.053941,0.0,1700,201591,69.245,0.000
1775652974.057333,0.0,1700,201591,74.582,0.010
1775652977.060747,0.0,1701,201591,74.582,0.000
1775652980.064806,0.0,1701,201591,83.886,0.004
1775652983.067317,0.0,1703,201592,85.262,0.664
1775652986.069756,0.0,1707,201592,85.264,0.008
1775652989.072233,0.0,1707,201593,69.276,0.000
1775652992.076047,0.0,1708,201593,70.577,0.000
1775652995.079444,0.0,1709,201593,73.250,0.533
1775652998.083226,0.0,1710,201594,70.578,0.000
1775653001.086653,0.0,1709,201594,70.586,0.009
1775653004.089990,0.0,1709,201595,75.916,0.000
1775653007.093287,0.0,1707,201595,81.244,0.004
1775653010.095782,0.0,1707,201595,85.262,0.000
1775653013.098287,0.0,1710,201595,85.262,0.666
1775653016.100801,0.0,1708,201596,74.604,0.000
1775653019.103904,0.0,1708,201596,74.589,0.009
1775653022.107314,0.0,1715,201597,67.923,0.001
1775653025.110759,0.0,1706,201597,70.586,0.000
1775653028.114128,0.0,1709,201597,74.583,0.004
1775653031.117569,0.0,1710,201598,67.922,0.000
1775653034.120924,0.0,1712,201598,81.242,0.004
1775653037.123428,0.0,1711,201598,85.262,0.000
1775653040.125890,0.0,1712,201599,85.263,0.004
1775653043.128417,0.0,1699,201599,79.933,0.000
1775653046.131846,0.0,1696,201599,65.259,0.000
1775653049.135298,0.0,1692,201600,70.585,0.009
1775653052.138737,0.0,1694,201600,75.913,1.445
1775653055.142172,0.0,1695,201600,67.922,0.020
1775653058.145532,0.0,1694,201600,66.592,0.000
1775653061.148064,0.0,1685,201601,67.943,0.004
1775653064.151520,0.0,1685,201601,21.309,0.000
1775653067.154832,0.0,1687,201601,81.244,0.000
1775653070.157211,0.0,1687,201602,85.266,0.004
1775653073.159678,0.0,1689,201602,85.263,0.000
1775653076.162193,0.0,1688,201602,74.604,0.000
1775653079.165848,0.0,1686,201603,74.576,0.004
1775653082.169213,0.0,1686,201603,71.919,0.000
1775653085.172772,0.0,1689,201604,73.246,1.317
1775653088.176235,0.0,1691,201604,70.585,0.005
1775653091.179700,0.0,1689,201604,73.249,0.013
1775653094.183163,0.0,1687,201605,73.249,0.008
1775653097.186476,0.0,1689,201605,85.239,0.004
1775653100.189150,0.0,1690,201605,85.257,0.000
1775653103.191590,0.0,1694,201606,83.932,0.671
1775653106.194133,0.0,1694,201606,71.939,0.000
1775653109.198004,0.0,1696,201606,71.907,0.000
1775653112.201313,0.0,1692,201607,70.589,0.004
1775653115.204642,0.0,1693,201607,71.920,0.402
1775653118.208047,0.0,1696,201608,74.582,0.007
1775653121.210904,0.0,1697,201608,67.935,0.000
1775653124.214297,0.0,1696,201608,83.905,0.004
1775653127.216796,0.0,1696,201608,85.262,0.000
1775653130.219306,0.0,1697,201609,85.262,0.004
1775653133.221804,0.0,1698,201609,74.605,0.000
1775653136.225304,0.0,1699,201610,71.916,0.925
1775653139.228727,0.0,1699,201610,71.918,0.012
1775653142.232136,0.0,1698,201610,75.914,0.000
1775653145.235619,0.0,1698,201611,69.253,0.004
1775653148.239053,0.0,1699,201611,70.586,0.000
1775653151.242512,0.0,1699,201612,77.244,0.004
1775653154.245867,0.0,1703,201612,85.238,0.000
1775653157.248353,0.0,1701,201612,85.263,0.004
1775653160.250903,0.0,1703,201612,79.932,0.000
1775653163.254352,0.0,1703,201613,70.586,0.000
1775653166.257797,0.0,1705,201613,71.917,0.004
1775653169.261256,0.0,1698,201614,74.581,1.182
1775653172.264958,0.0,1698,201614,71.911,0.020
1775653175.267982,0.0,1700,201614,71.927,0.000
1775653178.271369,0.0,1691,201615,74.582,0.008
1775653181.274786,0.0,1695,201615,81.241,0.000
1775653184.277124,0.0,1696,201615,85.267,0.004
1775653187.279707,0.0,1693,201616,85.260,0.000
1775653190.282261,0.0,1696,201616,79.932,0.000
1775653193.286365,0.0,1695,201616,70.570,1.060
1775653196.289814,0.0,1696,201617,71.917,0.000
1775653199.293297,0.0,1694,201617,71.917,0.008
1775653202.296706,0.0,1694,201617,70.586,0.000
