step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.797855,0.500648,0.001568,128.000000,0.196842,71.195969,125.546241,1.797855,0.001568
2,1.464528,0.502846,0.046076,128.000000,0.196842,87.400179,4.272093,3.262382,0.047644
3,1.566389,0.496168,0.001169,128.000000,0.196842,81.716620,168.344788,4.828771,0.048813
4,1.746748,0.503848,0.001453,128.000000,0.196842,73.279023,135.459896,6.575519,0.050267
5,1.579324,0.504632,0.099860,128.000000,0.196842,81.047334,1.971183,8.154843,0.150127
6,1.958537,0.498959,0.045393,128.000000,0.196842,65.354902,4.336430,10.113381,0.195519
7,1.997417,0.500721,0.001270,128.000000,0.196842,64.082759,154.954444,12.110798,0.196790
8,1.934157,0.504367,0.038626,128.000000,0.196842,66.178714,5.096141,14.044954,0.235415
9,1.815889,0.504999,0.155620,128.000000,0.196842,70.488888,1.264889,15.860843,0.391035
10,2.415966,0.502330,0.001292,128.000000,0.196842,52.980883,152.328701,18.276809,0.392328
11,2.480530,0.505419,0.001410,128.000000,0.196842,51.601880,139.611027,20.757339,0.393738
12,2.343742,0.510774,0.020884,128.000000,0.196842,54.613527,9.425503,23.101081,0.414622
13,2.465739,0.510302,0.001209,128.000000,0.196842,51.911420,162.814325,25.566819,0.415831
14,2.420164,0.511487,0.001326,128.000000,0.196842,52.888974,148.492456,27.986984,0.417156
15,2.347015,0.518285,0.001310,128.000000,0.196842,54.537361,150.250206,30.333998,0.418466
16,2.259005,0.514266,0.208443,128.000000,0.196842,56.662104,0.944346,32.593004,0.626909
17,2.396064,0.515021,0.001454,128.000000,0.196842,53.420952,135.336773,34.989068,0.628364
18,2.410652,0.521922,0.001250,128.000000,0.196842,53.097678,157.418973,37.399719,0.629614
19,2.438162,0.524592,0.001246,128.000000,0.196842,52.498560,158.040298,39.837881,0.630860
20,2.272068,0.529782,0.097540,128.000000,0.196842,56.336352,2.018073,42.109949,0.728399
21,2.332073,0.529001,0.050917,128.000000,0.196842,54.886783,3.865941,44.442022,0.779316
22,2.396108,0.531118,0.001248,128.000000,0.196842,53.419958,157.751650,46.838130,0.780564
23,2.343529,0.529771,0.030678,128.000000,0.196842,54.618492,6.416478,49.181659,0.811242
24,2.403553,0.535724,0.001218,128.000000,0.196842,53.254490,161.553299,51.585212,0.812460
25,2.431684,0.529376,0.001300,128.000000,0.196842,52.638416,151.370380,54.016896,0.813761
26,2.409567,0.538128,0.001287,128.000000,0.196842,53.121581,152.970071,56.426463,0.815047
27,2.338938,0.539646,0.001320,128.000000,0.196842,54.725699,149.117790,58.765401,0.816367
28,2.392647,0.540710,0.001249,128.000000,0.196842,53.497245,157.642874,61.158047,0.817616
29,2.308296,0.536578,0.003897,128.000000,0.196842,55.452163,50.507492,63.466343,0.821513
30,2.177578,0.539148,0.137335,128.000000,0.196842,58.780911,1.433304,65.643921,0.958848
31,2.388625,0.545208,0.001346,128.000000,0.196842,53.587326,146.233869,68.032545,0.960194
32,2.295657,0.546769,0.035234,128.000000,0.196842,55.757452,5.586699,70.328203,0.995428
33,2.158345,0.545597,0.151521,128.000000,0.196842,59.304704,1.299110,72.486547,1.146949
34,2.351585,0.544124,0.032643,128.000000,0.196842,54.431378,6.030214,74.838132,1.179592
35,2.339246,0.546460,0.001356,128.000000,0.196842,54.718491,145.164181,77.177378,1.180948
36,2.355175,0.548050,0.001317,128.000000,0.196842,54.348410,149.471074,79.532553,1.182264
37,2.294920,0.544768,0.076522,128.000000,0.196842,55.775368,2.572356,81.827473,1.258787
38,2.369809,0.541245,0.001323,128.000000,0.196842,54.012789,148.803398,84.197282,1.260109
39,2.361518,0.541288,0.001259,128.000000,0.196842,54.202415,156.403082,86.558800,1.261368
40,2.367205,0.539159,0.001300,128.000000,0.196842,54.072201,151.428720,88.926005,1.262668
41,2.433899,1.682409,0.001307,128.000000,0.196842,52.590522,150.572361,91.359904,1.263975
42,2.183341,1.678024,0.001185,128.000000,0.196842,58.625743,166.160633,93.543245,1.265160
43,2.312663,0.543139,0.036194,128.000000,0.196842,55.347440,5.438460,95.855909,1.301354
44,2.325316,0.539373,0.001425,128.000000,0.196842,55.046294,138.122660,98.181224,1.302779
45,2.253337,0.541777,0.075897,128.000000,0.196842,56.804650,2.593557,100.434561,1.378676
46,2.293962,0.541365,0.020654,128.000000,0.196842,55.798651,9.530295,102.728523,1.399330
47,2.348791,0.541173,0.001193,128.000000,0.196842,54.496117,165.062123,105.077314,1.400523
48,2.304221,0.537464,0.050437,128.000000,0.196842,55.550217,3.902743,107.381536,1.450960
49,2.352364,0.540358,0.001341,128.000000,0.196842,54.413338,146.820791,109.733900,1.452301
50,2.392120,0.540160,0.001325,128.000000,0.196842,53.509012,148.530216,112.126021,1.453626
51,2.111382,0.542464,0.211722,128.000000,0.196842,60.623809,0.929719,114.237402,1.665348
52,2.431306,0.543848,0.447124,128.000000,0.196842,52.646602,0.440241,116.668708,2.112472
53,1.911250,0.546832,0.001583,128.000000,0.196842,66.971878,124.374985,118.579958,2.114055
54,2.272291,0.544828,0.001308,128.000000,0.196842,56.330822,150.541039,120.852249,2.115362
55,2.333701,0.541984,0.004935,128.000000,0.196842,54.848495,39.884828,123.185950,2.120298
56,2.369523,0.537487,0.001392,128.000000,0.196842,54.019302,141.361790,125.555474,2.121690
57,2.184198,0.541004,0.160621,128.000000,0.196842,58.602751,1.225506,127.739671,2.282311
58,2.250869,0.539306,0.065024,128.000000,0.196842,56.866915,3.027204,129.990541,2.347336
59,2.443565,0.543153,0.001406,128.000000,0.196842,52.382472,139.973187,132.434106,2.348742
