timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775659956.898270,0.0,1429,201895,0.000,0.000
1775659959.908094,0.0,1781,201585,87.274,0.000
1775659962.911490,0.0,1824,201585,94.560,0.000
1775659965.914072,0.0,1826,201585,85.260,0.154
1775659968.916594,0.0,1825,201586,90.591,0.008
1775659971.920263,0.0,1827,201587,94.551,0.000
1775659974.923659,0.0,1827,201587,86.569,0.003
1775659977.927022,0.0,1716,201587,87.901,0.001
1775659980.930459,0.0,1706,201588,86.567,0.004
1775659983.933900,0.0,1707,201588,79.908,0.000
1775659986.937362,0.0,1708,201589,74.581,0.004
1775659989.940733,0.0,1708,201589,81.242,0.000
1775659992.943235,0.0,1708,201589,85.262,0.004
1775659995.945667,0.0,1708,201589,85.264,1.348
1775659998.948439,0.0,1708,201590,73.266,0.118
1775660001.951908,0.0,1710,201590,67.921,0.001
1775660004.955324,0.0,1710,201591,73.250,0.000
1775660007.958771,0.0,1710,201591,70.586,0.004
1775660010.962143,0.0,1709,201591,70.587,0.000
1775660013.965413,0.0,1709,201592,70.590,0.004
1775660016.968783,0.0,1709,201592,85.238,0.000
1775660019.971290,0.0,1708,201592,85.262,0.004
1775660022.973823,0.0,1708,201593,85.261,0.000
1775660025.976384,0.0,1707,201593,70.606,0.000
1775660028.979840,0.0,1708,201593,70.585,1.324
1775660031.983674,0.0,1708,201594,69.245,0.000
1775660034.987051,0.0,1706,201594,73.251,0.007
1775660037.990470,0.0,1707,201595,70.586,0.000
1775660040.993878,0.0,1707,201595,71.918,0.004
1775660043.997212,0.0,1707,201595,85.239,0.000
1775660046.999748,0.0,1708,201595,85.261,0.004
1775660050.002226,0.0,1706,201596,85.263,0.000
1775660053.004977,0.0,1707,201596,73.266,0.000
1775660056.008698,0.0,1708,201597,73.242,0.004
1775660059.012102,0.0,1709,201597,71.918,0.000
1775660062.015552,0.0,1708,201597,67.922,0.004
1775660065.019037,0.0,1703,201598,75.912,1.319
1775660068.022498,0.0,1705,201598,67.922,0.007
1775660071.025817,0.0,1706,201599,81.243,0.000
1775660074.029487,0.0,1706,201599,85.229,0.004
1775660077.032008,0.0,1706,201599,85.262,0.000
1775660080.034461,0.0,1707,201599,79.935,0.004
1775660083.037533,0.0,1706,201600,73.258,0.000
1775660086.041161,0.0,1707,201600,70.581,0.000
1775660089.044587,0.0,1708,201600,69.254,0.004
1775660092.048033,0.0,1708,201600,47.945,0.000
1775660095.050510,0.0,1708,201601,82.598,0.004
1775660098.053027,0.0,1708,201601,23.980,1.189
1775660101.056774,0.0,1707,201602,73.242,0.007
1775660104.060190,0.0,1709,201602,75.914,0.000
1775660107.063603,0.0,1709,201602,85.236,0.004
1775660110.066135,0.0,1710,201602,85.261,0.000
1775660113.068639,0.0,1709,201603,85.262,0.004
1775660116.071418,0.0,1711,201603,67.937,0.000
1775660119.074789,0.0,1711,201604,75.915,0.000
1775660122.078400,0.0,1711,201604,70.582,0.004
1775660125.081787,0.0,1711,201604,69.255,0.000
1775660128.085179,0.0,1712,201605,74.582,0.004
1775660131.089136,0.0,1712,201605,70.574,0.004
1775660134.093640,0.0,1712,201605,82.543,1.325
1775660137.096151,0.0,1712,201606,85.262,0.005
1775660140.098692,0.0,1712,201606,85.261,0.004
1775660143.101162,0.0,1712,201606,81.266,0.000
1775660146.104395,0.0,1710,201607,70.591,0.000
1775660149.107720,0.0,1710,201607,73.252,0.004
1775660152.111116,0.0,1711,201608,70.587,0.000
1775660155.114768,0.0,1710,201608,66.586,0.004
1775660158.118204,0.0,1711,201608,70.586,0.000
1775660161.121610,0.0,1712,201609,78.577,0.004
1775660164.125015,0.0,1712,201609,85.237,1.320
1775660167.127552,0.0,1713,201609,85.261,0.009
1775660170.130043,0.0,1712,201610,83.930,0.000
1775660173.133550,0.0,1710,201610,67.921,0.000
1775660176.136997,0.0,1710,201610,71.917,0.009
1775660179.140433,0.0,1710,201611,71.918,0.000
1775660182.143783,0.0,1710,201611,69.256,0.004
1775660185.147110,0.0,1711,201612,74.584,0.000
1775660188.150498,0.0,1710,201612,71.919,0.004
1775660191.153808,0.0,1710,201612,85.239,0.000
1775660194.156293,0.0,1711,201612,85.263,0.004
1775660197.158824,0.0,1711,201613,85.261,0.000
1775660200.161803,0.0,1710,201613,69.265,1.450
1775660203.165363,0.0,1710,201614,73.246,0.012
1775660206.168663,0.0,1705,201614,70.589,0.007
1775660209.171983,0.0,1705,201614,71.920,0.004
1775660212.175300,0.0,1705,201615,74.584,0.000
1775660215.178636,0.0,1706,201615,71.920,0.004
1775660218.181969,0.0,1706,201615,79.911,0.000
1775660221.184468,0.0,1707,201616,85.262,0.004
1775660224.186959,0.0,1707,201616,85.263,0.000
1775660227.189498,0.0,1708,201616,78.600,0.000
1775660230.192926,0.0,1708,201617,69.254,0.004
1775660233.196384,0.0,1704,201617,74.581,1.182
1775660236.199786,0.0,1704,201617,70.587,0.014
1775660239.203280,0.0,1707,201618,74.580,0.000
1775660242.206713,0.0,1707,201618,58.600,0.008
1775660245.209280,0.0,1707,201618,81.264,0.000
1775660248.212530,0.0,1706,201619,71.922,0.000
1775660251.215987,0.0,1705,201619,71.917,0.004
1775660254.219426,0.0,1705,201619,70.586,0.000
1775660257.222777,0.0,1705,201620,71.920,0.004
1775660260.226311,0.0,1706,201620,74.579,0.000
1775660263.229710,0.0,1706,201621,70.587,0.004
1775660266.233132,0.0,1706,201621,83.904,0.000
1775660269.235661,0.0,1704,201621,85.261,1.323
1775660272.238203,0.0,1705,201621,85.261,0.007
1775660275.240774,0.0,1704,201622,78.599,0.000
1775660278.244347,0.0,1705,201622,70.583,0.008
1775660281.247774,0.0,1705,201623,70.586,0.000
1775660284.251208,0.0,1705,201623,70.586,0.004
1775660287.254677,0.0,1705,201623,74.580,0.000
1775660290.258181,0.0,1705,201624,66.589,0.004
1775660293.261605,0.0,1706,201624,79.909,0.000
1775660296.265054,0.0,1703,201624,85.235,0.004
1775660299.267554,0.0,1702,201625,85.262,1.314
1775660302.270003,0.0,1703,201625,78.602,0.000
1775660305.273325,0.0,1705,201625,74.584,0.010
1775660308.276923,0.0,1704,201626,69.250,0.009
1775660311.280267,0.0,1704,201626,74.584,0.008
1775660314.283652,0.0,1704,201627,70.587,0.000
1775660317.287011,0.0,1704,201627,67.924,0.004
1775660320.290349,0.0,1705,201627,75.916,0.000
1775660323.293610,0.0,1705,201627,85.241,0.004
1775660326.296086,0.0,1705,201628,85.263,0.000
1775660329.298478,0.0,1707,201628,82.601,1.183
1775660332.300933,0.0,1707,201629,73.273,0.008
1775660335.304358,0.0,1708,201629,69.254,0.000
1775660338.307831,0.0,1707,201629,69.253,0.004
1775660341.311295,0.0,1708,201630,69.253,0.000
1775660344.314833,0.0,1709,201630,71.915,0.016
1775660347.328593,0.0,1709,201631,75.653,0.000
1775660350.331924,0.0,1710,201631,85.239,0.008
1775660353.334390,0.0,1710,201631,85.263,0.000
1775660356.336822,0.0,1711,201631,83.932,0.000
