timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775698718.017775,0.0,1423,201617,0.000,0.000
1775698721.027124,0.0,1730,201585,91.275,0.000
1775698724.030499,0.0,1820,201585,90.565,0.000
1775698727.032981,0.0,1822,201585,85.263,0.148
1775698730.035314,0.0,1823,201586,91.928,0.008
1775698733.039108,0.0,1821,201587,93.215,0.000
1775698736.042600,0.0,1822,201587,85.234,0.003
1775698739.046002,0.0,1750,201587,87.900,0.001
1775698742.049368,0.0,1754,201588,81.242,0.000
1775698745.053124,0.0,1753,201588,85.227,0.004
1775698748.056534,0.0,1755,201589,71.918,0.004
1775698751.059760,0.0,1750,201589,85.242,0.001
1775698754.062444,0.0,1754,201589,85.257,0.008
1775698757.064886,0.0,1755,201589,85.264,0.044
1775698760.067300,0.0,1754,201590,77.271,1.551
1775698763.070620,0.0,1752,201590,65.261,0.010
1775698766.073958,0.0,1754,201591,74.584,0.003
1775698769.077294,0.0,1754,201591,75.916,0.001
1775698772.080774,0.0,1755,201591,67.921,0.000
1775698775.084234,0.0,1753,201592,69.253,0.004
1775698778.087909,0.0,1755,201592,81.234,0.000
1775698781.091158,0.0,1750,201592,85.241,0.004
1775698784.093618,0.0,1750,201593,85.263,0.000
1775698787.096116,0.0,1751,201593,79.933,0.004
1775698790.100063,0.0,1750,201593,69.242,0.000
1775698793.103459,0.0,1750,201594,71.919,1.325
1775698796.106939,0.0,1749,201594,73.248,0.008
1775698799.110465,0.0,1747,201595,75.911,0.000
1775698802.114035,0.0,1745,201595,69.251,0.004
1775698805.117496,0.0,1746,201595,71.917,0.000
1775698808.121223,0.0,1745,201595,85.227,0.004
1775698811.123803,0.0,1746,201596,85.260,0.661
1775698814.126380,0.0,1744,201596,83.928,0.008
1775698817.129014,0.0,1745,201597,69.273,0.000
1775698820.132377,0.0,1745,201597,73.251,0.000
1775698823.135772,0.0,1745,201597,69.255,0.533
1775698826.139122,0.0,1745,201598,70.588,0.000
1775698829.142523,0.0,1744,201598,71.918,0.010
1775698832.145868,0.0,1743,201599,74.584,0.000
1775698835.149116,0.0,1744,201599,83.909,0.004
1775698838.151947,0.0,1744,201599,85.253,0.000
1775698841.154395,0.0,1745,201599,85.264,0.004
1775698844.157450,0.0,1743,201600,67.931,0.000
1775698847.160902,0.0,1746,201600,75.913,0.000
1775698850.164335,0.0,1745,201600,70.586,0.004
1775698853.167768,0.0,1745,201600,41.286,0.000
1775698856.170277,0.0,1744,201601,85.262,1.188
1775698859.172846,0.0,1746,201601,23.979,0.007
1775698862.176155,0.0,1743,201602,70.589,0.009
1775698865.180186,0.0,1744,201602,75.898,0.000
1775698868.184072,0.0,1744,201602,85.223,0.004
1775698871.186514,0.0,1744,201602,85.264,0.000
1775698874.189348,0.0,1745,201603,85.253,0.000
1775698877.192215,0.0,1744,201603,69.267,0.004
1775698880.195554,0.0,1744,201604,74.584,0.000
1775698883.198911,0.0,1744,201604,69.256,0.004
1775698886.202268,0.0,1744,201604,70.588,0.000
1775698889.205652,0.0,1741,201605,70.587,0.004
1775698892.209008,0.0,1741,201605,73.251,1.319
1775698895.212374,0.0,1741,201605,83.906,0.009
1775698898.214865,0.0,1741,201606,85.263,0.000
1775698901.217249,0.0,1743,201606,85.266,0.004
1775698904.219804,0.0,1743,201606,74.603,0.000
1775698907.223242,0.0,1742,201607,69.254,0.000
1775698910.226716,0.0,1742,201607,73.249,0.004
1775698913.230155,0.0,1742,201608,75.913,0.000
1775698916.233688,0.0,1743,201608,67.920,0.004
1775698919.237128,0.0,1742,201608,73.249,0.000
1775698922.240543,0.0,1741,201609,78.577,0.004
1775698925.243429,0.0,1748,201609,83.919,1.320
1775698928.245912,0.0,1749,201609,85.263,0.009
1775698931.248425,0.0,1749,201610,85.262,0.000
1775698934.250985,0.0,1748,201610,70.606,0.000
1775698937.254431,0.0,1744,201610,71.917,0.004
1775698940.257888,0.0,1742,201611,73.249,0.000
1775698943.261261,0.0,1744,201611,69.255,0.004
1775698946.264679,0.0,1745,201612,73.250,0.000
1775698949.268082,0.0,1745,201612,71.918,0.004
1775698952.271482,0.0,1745,201612,81.241,0.000
1775698955.273971,0.0,1746,201612,85.263,0.004
1775698958.276493,0.0,1746,201613,85.262,1.319
1775698961.279048,0.0,1747,201613,78.600,0.001
1775698964.282483,0.0,1746,201614,71.918,0.008
1775698967.285986,0.0,1745,201614,70.584,0.000
1775698970.289324,0.0,1748,201614,73.252,0.004
1775698973.293139,0.0,1748,201615,69.245,0.000
1775698976.296557,0.0,1747,201615,73.250,0.004
1775698979.299996,0.0,1748,201616,74.581,0.000
1775698982.303387,0.0,1748,201616,85.237,0.004
1775698985.305867,0.0,1748,201616,85.263,0.000
1775698988.308372,0.0,1748,201616,85.262,0.000
1775698991.310926,0.0,1748,201617,75.935,1.323
1775698994.314363,0.0,1748,201617,71.918,0.000
1775698997.317730,0.0,1748,201617,65.260,0.008
1775699000.321162,0.0,1750,201618,51.941,0.000
1775699003.324459,0.0,1752,201618,75.917,0.004
1775699006.326952,0.0,1747,201618,85.263,0.000
1775699009.329439,0.0,1747,201619,81.266,0.000
1775699012.333133,0.0,1747,201619,67.916,0.004
1775699015.336349,0.0,1745,201619,74.587,0.000
1775699018.339748,0.0,1745,201620,71.919,0.004
1775699021.342973,0.0,1746,201620,74.586,0.000
1775699024.346267,0.0,1748,201621,67.925,1.194
1775699027.349588,0.0,1746,201621,75.916,0.000
1775699030.352766,0.0,1747,201621,82.579,0.274
1775699033.355363,0.0,1747,201621,85.260,0.000
1775699036.357960,0.0,1747,201622,83.927,0.000
1775699039.360601,0.0,1750,201622,73.269,0.004
1775699042.364362,0.0,1748,201623,63.920,0.000
1775699045.367738,0.0,1748,201623,73.251,0.004
1775699048.371298,0.0,1749,201623,74.578,0.000
1775699051.374722,0.0,1749,201624,71.918,0.004
1775699054.378110,0.0,1749,201624,71.919,0.000
1775699057.381435,0.0,1750,201624,83.907,0.004
1775699060.384089,0.0,1749,201625,85.258,0.005
1775699063.386618,0.0,1748,201625,85.261,1.328
1775699066.389062,0.0,1750,201625,75.938,0.000
1775699069.392473,0.0,1749,201626,70.586,0.000
1775699072.395907,0.0,1750,201626,70.586,0.004
1775699075.399381,0.0,1750,201627,62.594,0.000
1775699078.402897,0.0,1750,201627,70.584,0.004
1775699081.406374,0.0,1751,201627,75.912,0.000
1775699084.408871,0.0,1751,201627,85.262,0.004
1775699087.411399,0.0,1751,201628,85.261,0.000
1775699090.413868,0.0,1745,201628,78.602,0.000
1775699093.416539,0.0,1742,201629,66.607,0.004
1775699096.420011,0.0,1742,201629,73.249,1.323
1775699099.423830,0.0,1741,201629,73.240,0.008
1775699102.427266,0.0,1741,201630,67.922,0.000
1775699105.430755,0.0,1742,201630,73.248,0.004
1775699108.434218,0.0,1741,201631,78.576,0.000
1775699111.437581,0.0,1741,201631,85.238,0.004
1775699114.440083,0.0,1743,201631,85.262,0.000
1775699117.442545,0.0,1742,201631,78.602,0.000
1775699120.446353,0.0,1743,201632,66.582,0.004
1775699123.449763,0.0,1743,201632,77.246,0.000
1775699126.453240,0.0,1743,201633,69.253,0.004
1775699129.456609,0.0,1745,201633,69.256,0.005
1775699132.460268,0.0,1741,201633,73.244,1.327
1775699135.473772,0.0,1742,201634,76.987,0.000
1775699138.476751,0.0,1742,201634,85.249,0.004
1775699141.479244,0.0,1741,201634,85.262,0.000
1775699144.481805,0.0,1741,201635,79.932,0.000
1775699147.485245,0.0,1742,201635,67.922,0.004
1775699150.488660,0.0,1742,201635,69.254,0.000
1775699153.492129,0.0,1742,201636,70.585,0.004
1775699156.495595,0.0,1742,201636,69.253,0.000
1775699159.499230,0.0,1741,201636,69.249,0.004
1775699162.502671,0.0,1742,201636,85.236,0.004
1775699165.505203,0.0,1740,201637,85.261,1.327
1775699168.507776,0.0,1739,201637,82.596,0.000
1775699171.511297,0.0,1739,201638,69.252,0.004
1775699174.514769,0.0,1741,201638,70.585,0.000
1775699177.518724,0.0,1741,201638,73.237,0.000
1775699180.522184,0.0,1741,201639,74.581,0.004
1775699183.525656,0.0,1741,201639,71.917,0.000
1775699186.529064,0.0,1743,201640,71.918,0.004
1775699189.532506,0.0,1743,201640,82.572,0.000
1775699192.535036,0.0,1743,201640,85.261,0.004
1775699195.537584,0.0,1742,201640,85.261,0.000
1775699198.540137,0.0,1743,201641,74.603,1.323
1775699201.543551,0.0,1744,201641,69.255,0.008
1775699204.547349,0.0,1743,201642,70.577,0.000
1775699207.550819,0.0,1743,201642,70.585,0.004
1775699210.554286,0.0,1744,201642,74.580,0.000
1775699213.557750,0.0,1743,201643,71.917,0.004
1775699216.561174,0.0,1747,201643,79.909,0.000
1775699219.563674,0.0,1744,201643,85.262,0.004
1775699222.566195,0.0,1744,201644,85.262,0.000
1775699225.568767,0.0,1174,201644,77.267,0.000
1775699228.572196,0.0,1169,201644,69.254,0.004
1775699231.575630,0.0,1165,201645,71.918,1.324
1775699234.579081,0.0,1164,201645,70.587,0.008
1775699237.582771,0.0,1162,201646,74.575,0.000
1775699240.586189,0.0,1163,201646,73.250,0.004
1775699243.589633,0.0,1163,201646,74.581,0.000
1775699246.593019,0.0,1164,201646,85.237,0.004
1775699249.595551,0.0,1164,201647,85.261,0.000
1775699252.598123,0.0,1164,201647,82.596,0.000
1775699255.601587,0.0,1165,201648,69.253,0.004
1775699258.604999,0.0,1164,201648,73.250,0.000
1775699261.608380,0.0,1156,201648,69.255,0.004
1775699264.611796,0.0,1156,201649,70.586,0.004
1775699267.615210,0.0,1157,201649,70.586,1.327
1775699270.618577,0.0,1156,201650,75.915,0.000
1775699273.621836,0.0,1156,201650,85.241,0.004
1775699276.624471,0.0,1158,201650,85.258,0.000
1775699279.627067,0.0,1157,201650,81.263,0.000
1775699282.630921,0.0,1158,201651,71.908,0.004
1775699285.634341,0.0,1158,201651,70.586,0.000
1775699288.638466,0.0,1159,201652,69.238,0.004
1775699291.641815,0.0,1159,201652,71.920,0.000
1775699294.645145,0.0,1159,201652,71.920,0.004
1775699297.648444,0.0,1160,201653,75.917,0.004
1775699300.651803,0.0,1158,201653,83.906,1.332
1775699303.654351,0.0,1158,201653,85.261,0.000
1775699306.656838,0.0,1159,201653,85.263,0.004
1775699309.659386,0.0,1158,201654,67.942,0.000
1775699312.662849,0.0,1158,201654,73.249,0.000
1775699315.666223,0.0,1158,201655,69.255,0.004
1775699318.669570,0.0,1159,201655,67.924,0.000
1775699321.672889,0.0,1159,201655,70.589,0.004
1775699324.676225,0.0,1159,201656,77.247,0.000
1775699327.679116,0.0,1157,201656,85.251,0.004
1775699330.681579,0.0,1158,201656,85.263,1.185
1775699333.684035,0.0,1156,201657,83.931,0.005
1775699336.686577,0.0,1159,201657,70.607,0.007
1775699339.690859,0.0,1157,201657,67.903,0.000
1775699342.694233,0.0,1158,201658,70.587,0.008
1775699345.697521,0.0,1159,201658,71.921,0.000
1775699348.700804,0.0,1157,201659,69.258,0.004
1775699351.704162,0.0,1158,201659,77.247,0.000
1775699354.707413,0.0,1159,201659,85.241,0.004
1775699357.710092,0.0,1159,201659,85.257,0.000
1775699360.712588,0.0,1158,201660,85.262,0.000
1775699363.715151,0.0,1158,201660,71.939,0.004
1775699366.718683,0.0,1159,201661,73.247,1.455
1775699369.722175,0.0,1159,201661,69.253,0.010
1775699372.734486,0.0,1160,201661,73.034,0.000
1775699375.738359,0.0,1160,201662,69.244,0.004
1775699378.741821,0.0,1160,201662,71.917,0.000
1775699381.745207,0.0,1161,201662,82.573,0.004
1775699384.747725,0.0,1160,201663,85.262,0.530
1775699387.750252,0.0,1160,201663,85.262,0.007
1775699390.752800,0.0,1162,201663,73.271,0.001
1775699393.756246,0.0,1161,201664,73.249,0.529
1775699396.759759,0.0,1161,201664,73.248,0.008
1775699399.763202,0.0,1157,201665,67.922,0.005
1775699402.766634,0.0,1156,201665,74.581,0.004
1775699405.770082,0.0,1155,201665,71.917,0.000
1775699408.773524,0.0,1155,201666,77.245,0.540
1775699411.776907,0.0,1157,201666,85.237,0.000
1775699414.779431,0.0,1157,201666,85.262,0.003
1775699417.781997,0.0,1157,201667,79.932,0.001
1775699420.785825,0.0,1157,201667,70.577,0.000
1775699423.789264,0.0,1157,201667,70.586,0.004
1775699426.792684,0.0,1157,201668,69.254,0.000
1775699429.796118,0.0,1159,201668,67.922,0.004
1775699432.798954,0.0,1158,201669,70.600,0.005
1775699435.802380,0.0,1159,201669,82.572,0.004
1775699438.804878,0.0,1159,201669,85.262,1.183
1775699441.807400,0.0,1158,201669,85.262,0.007
1775699444.809957,0.0,1156,201670,74.603,0.005
1775699447.813421,0.0,1157,201670,69.253,0.008
1775699450.816849,0.0,1158,201670,71.918,0.398
1775699453.820275,0.0,1157,201671,73.250,0.004
1775699456.823693,0.0,1157,201671,73.250,0.001
1775699459.827185,0.0,1158,201672,69.253,0.000
1775699462.830759,0.0,1159,201672,79.905,0.004
1775699465.833282,0.0,1158,201672,85.262,0.004
1775699468.835794,0.0,1160,201672,85.262,0.004
1775699471.838359,0.0,1159,201673,77.267,0.000
1775699474.841911,0.0,1159,201673,70.583,0.000
1775699477.845273,0.0,1155,201674,73.251,0.004
1775699480.848852,0.0,1161,201674,73.246,0.001
1775699483.852694,0.0,1235,201674,63.919,1.328
1775699486.856494,0.0,1618,201675,74.572,0.000
1775699489.858953,0.0,1712,201675,78.602,0.004
1775699492.861444,0.0,1707,201675,85.263,0.000
1775699495.863954,0.0,1703,201676,82.598,0.004
1775699498.866531,0.0,1702,201676,70.606,0.000
1775699501.869950,0.0,1703,201676,70.586,0.005
1775699504.873298,0.0,1702,201677,74.583,0.004
1775699507.876676,0.0,1702,201677,73.251,0.000
1775699510.880570,0.0,1702,201678,69.243,0.004
1775699513.884037,0.0,1702,201678,73.249,1.182
1775699516.887450,0.0,1701,201678,82.573,0.007
1775699519.889931,0.0,1700,201678,85.263,0.007
1775699522.892399,0.0,1703,201679,85.263,0.008
1775699525.895103,0.0,1675,201679,63.942,0.000
1775699528.898695,0.0,1675,201680,73.246,0.000
1775699531.902128,0.0,1674,201680,67.922,0.004
1775699534.905501,0.0,1674,201680,71.919,0.004
1775699537.909285,0.0,1675,201681,71.909,0.004
1775699540.912624,0.0,1676,201681,77.247,0.000
1775699543.915131,0.0,1674,201681,85.262,0.004
1775699546.917585,0.0,1673,201682,85.264,0.000
1775699549.920126,0.0,1674,201682,79.932,1.453
1775699552.923723,0.0,1674,201682,67.919,0.001
1775699555.927474,0.0,1674,201683,73.242,0.005
1775699558.930915,0.0,1675,201683,71.917,0.008
1775699561.934823,0.0,1674,201684,70.575,0.000
1775699564.938265,0.0,1669,201684,70.586,0.004
1775699567.941678,0.0,1671,201684,77.245,0.005
1775699570.945025,0.0,1671,201684,85.238,0.004
1775699573.947546,0.0,1671,201685,85.262,0.000
1775699576.950001,0.0,1672,201685,81.267,0.004
1775699579.953365,0.0,1670,201686,71.919,0.000
1775699582.956772,0.0,1675,201686,66.591,0.000
1775699585.960093,0.0,1705,201686,70.589,1.318
1775699588.963489,0.0,1725,201687,74.582,0.000
1775699591.966934,0.0,1725,201687,70.586,0.017
1775699594.970411,0.0,1725,201688,75.912,0.005
1775699597.973785,0.0,1724,201688,85.237,0.000
1775699600.976303,0.0,1725,201688,85.262,0.004
1775699603.978814,0.0,1726,201688,0.000,0.000
1775699606.981232,0.0,1726,201688,81.268,0.007
1775699609.984676,0.0,1725,201689,61.263,0.004
1775699612.988092,0.0,1727,201689,71.918,0.000
1775699615.991586,0.0,1726,201689,65.257,0.004
1775699619.003334,0.0,1726,201690,66.407,0.000
1775699622.006742,0.0,1722,201690,79.909,1.323
1775699625.009260,0.0,1724,201690,85.262,0.005
1775699628.011769,0.0,1724,201691,85.262,0.010
1775699631.014325,0.0,1723,201691,74.603,0.000
1775699634.017756,0.0,1723,201691,67.922,0.000
1775699637.021211,0.0,1733,201692,69.254,0.004
1775699640.024635,0.0,1732,201692,65.259,0.000
1775699643.028070,0.0,1733,201693,69.254,0.004
1775699646.031531,0.0,1732,201693,79.908,0.005
1775699649.034015,0.0,1732,201693,85.263,0.004
1775699652.036537,0.0,1732,201693,85.262,0.000
1775699655.038985,0.0,1734,201694,75.938,0.003
1775699658.042076,0.0,1733,201694,66.598,1.315
1775699661.046144,0.0,1730,201695,71.902,0.005
1775699664.049595,0.0,1727,201695,70.585,0.008
1775699667.053680,0.0,1726,201695,66.576,0.007
1775699670.057018,0.0,1728,201695,74.584,0.001
1775699673.059548,0.0,1725,201696,85.261,0.004
1775699676.062013,0.0,1726,201696,82.599,0.000
1775699679.064532,0.0,1725,201697,65.279,0.000
1775699682.067958,0.0,1725,201697,70.586,0.008
1775699685.071496,0.0,1726,201697,69.252,0.000
1775699688.074969,0.0,1726,201698,69.253,0.004
1775699691.078481,0.0,1727,201698,70.584,1.182
1775699694.081825,0.0,1733,201698,83.906,0.009
1775699697.084369,0.0,1731,201699,85.261,0.000
1775699700.086893,0.0,1732,201699,81.265,0.012
1775699703.089641,0.0,1733,201699,70.602,0.001
1775699706.093116,0.0,1733,201700,63.926,0.000
1775699709.096553,0.0,1732,201700,71.918,0.004
1775699712.099998,0.0,1733,201701,65.258,0.005
1775699715.103479,0.0,1733,201701,73.248,0.004
1775699718.106834,0.0,1733,201701,85.238,0.000
1775699721.109249,0.0,1732,201701,85.265,1.188
1775699724.111784,0.0,1732,201702,71.939,0.001
1775699727.115298,0.0,1731,201702,69.252,0.000
1775699730.118758,0.0,1732,201703,63.926,0.010
1775699733.122285,0.0,1719,201703,67.920,0.000
1775699736.125753,0.0,1720,201703,69.253,0.008
1775699739.129878,0.0,1721,201703,83.885,0.000
1775699742.132388,0.0,1721,201704,85.262,0.004
1775699745.134993,0.0,1721,201704,78.598,0.003
1775699748.138583,0.0,1722,201705,66.587,0.001
1775699751.141934,0.0,1722,201705,67.924,1.186
1775699754.145254,0.0,1721,201705,66.593,0.000
1775699757.148615,0.0,1720,201706,66.592,0.007
1775699760.151992,0.0,1720,201706,79.910,0.005
1775699763.155454,0.0,1721,201706,85.235,0.008
1775699766.157966,0.0,1722,201706,85.262,0.000
1775699769.160533,0.0,1721,201707,71.938,0.000
1775699772.163978,0.0,1722,201707,59.931,0.004
1775699775.167415,0.0,1723,201708,71.918,0.000
1775699778.170887,0.0,1723,201708,67.921,0.004
1775699781.174505,0.0,1722,201708,70.582,1.182
1775699784.177898,0.0,1722,201708,83.905,0.010
1775699787.180433,0.0,1724,201709,85.261,0.007
1775699790.182895,0.0,1734,201709,75.938,0.000
1775699793.186379,0.0,1732,201710,69.253,0.004
1775699796.189995,0.0,1730,201710,66.586,0.001
1775699799.193296,0.0,1731,201710,70.589,0.013
1775699802.196591,0.0,1732,201711,69.257,0.000
1775699805.199949,0.0,1731,201711,74.583,0.004
1775699808.203381,0.0,1729,201711,85.236,0.000
1775699811.205895,0.0,1730,201712,85.262,1.189
1775699814.208438,0.0,1731,201712,70.607,0.000
1775699817.211926,0.0,1729,201712,69.253,0.003
1775699820.215345,0.0,1730,201713,71.918,0.001
1775699823.218771,0.0,1730,201713,71.918,0.005
1775699826.222224,0.0,1727,201714,69.254,0.004
1775699829.225547,0.0,1728,201714,73.252,0.000
1775699832.228645,0.0,1727,201714,85.245,0.012
1775699835.231199,0.0,1727,201714,85.261,0.001
1775699838.233748,0.0,1727,201715,71.939,0.000
1775699841.237203,0.0,1727,201715,71.917,0.005
1775699844.240587,0.0,1727,201716,65.260,0.000
1775699847.244030,0.0,1728,201716,71.917,0.004
1775699850.247536,0.0,1727,201716,69.252,1.314
1775699853.251006,0.0,1727,201717,75.912,0.009
1775699856.254401,0.0,1727,201717,85.237,0.007
1775699859.256918,0.0,1726,201717,85.262,0.003
1775699862.259475,0.0,1727,201718,79.932,0.001
1775699865.262406,0.0,1726,201718,66.602,0.000
1775699868.265745,0.0,1727,201718,63.929,0.010
1775699871.269917,0.0,1729,201719,67.906,0.000
1775699874.273702,0.0,1727,201719,73.241,0.010
1775699877.277236,0.0,1727,201719,74.579,0.000
1775699880.279745,0.0,1727,201720,85.262,1.189
1775699883.282279,0.0,1727,201720,85.261,0.000
1775699886.284763,0.0,1728,201720,70.608,0.000
1775699889.288351,0.0,1727,201721,67.919,0.004
1775699892.292173,0.0,1727,201721,67.913,0.007
1775699895.295638,0.0,1732,201722,67.922,0.004
1775699898.299078,0.0,1724,201722,73.249,0.005
1775699901.302533,0.0,1724,201722,78.576,0.000
1775699904.305068,0.0,1726,201722,85.261,0.009
1775699907.307574,0.0,1725,201723,70.608,0.003
1775699910.311431,0.0,1726,201723,66.581,1.183
1775699913.314924,0.0,1725,201724,67.921,0.000
1775699916.318419,0.0,1724,201724,69.253,0.009
1775699919.321891,0.0,1725,201724,67.921,0.000
1775699922.325298,0.0,1726,201724,83.905,0.004
1775699925.327810,0.0,1725,201725,85.262,0.007
1775699928.330319,0.0,1725,201725,85.262,0.000
1775699931.333197,0.0,1726,201725,65.271,0.012
1775699934.336610,0.0,1725,201726,71.918,0.000
1775699937.340055,0.0,1726,201726,69.254,0.005
1775699940.343546,0.0,1726,201727,69.253,0.001
1775699943.346990,0.0,1725,201727,66.590,0.004
1775699946.350403,0.0,1726,201727,83.905,1.445
1775699949.352895,0.0,1726,201727,85.263,0.009
1775699952.355419,0.0,1727,201728,85.262,0.000
1775699955.357978,0.0,1725,201728,69.274,0.000
1775699958.361356,0.0,1722,201729,69.255,0.004
1775699961.365246,0.0,1723,201729,70.575,0.007
1775699964.368575,0.0,1722,201729,70.588,0.004
1775699967.371613,0.0,1723,201730,70.595,0.005
1775699970.375034,0.0,1723,201730,75.913,0.008
1775699973.378439,0.0,1723,201730,85.237,0.000
1775699976.380964,0.0,1723,201731,85.262,0.005
1775699979.383540,0.0,1724,201731,70.606,0.000
1775699982.386957,0.0,1724,201731,69.254,1.314
1775699985.390416,0.0,1724,201732,66.590,0.009
1775699988.393852,0.0,1725,201732,70.586,0.000
1775699991.397287,0.0,1724,201733,67.922,0.004
1775699994.400696,0.0,1726,201733,81.241,0.007
1775699997.403243,0.0,1726,201733,85.261,0.004
1775700000.405681,0.0,1726,201733,85.264,0.004
1775700003.408233,0.0,1725,201734,67.942,0.000
1775700006.411637,0.0,1725,201734,69.255,0.008
1775700009.415036,0.0,1726,201735,65.259,0.000
1775700012.418476,0.0,1726,201735,67.922,1.190
1775700015.422074,0.0,1725,201735,70.582,0.000
1775700018.425407,0.0,1727,201735,85.239,0.004
1775700021.427900,0.0,1726,201736,85.262,0.000
1775700024.430448,0.0,1727,201736,71.939,0.000
1775700027.433912,0.0,1727,201737,71.917,0.004
1775700030.437292,0.0,1725,201737,67.923,0.005
1775700033.440688,0.0,1724,201737,70.587,0.004
1775700036.444126,0.0,1725,201738,65.259,0.000
1775700039.447132,0.0,1725,201738,78.588,0.012
1775700042.449534,0.0,1726,201738,85.265,0.000
1775700045.451938,0.0,1727,201739,85.265,0.000
1775700048.454745,0.0,1727,201739,67.936,1.319
1775700051.458194,0.0,1727,201739,63.927,0.000
1775700054.461666,0.0,1725,201740,70.585,0.009
1775700057.465502,0.0,1727,201740,67.913,0.000
1775700060.468940,0.0,1726,201741,71.918,0.004
