step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.039439,0.497718,0.013612,128.000000,0.196842,62.762355,14.461443,2.039439,0.013612
2,1.530754,0.497867,0.006553,128.000000,0.196842,83.618934,30.039622,3.570193,0.020164
3,1.623086,0.513421,0.001322,128.000000,0.196842,78.862121,148.847619,5.193279,0.021487
4,1.776579,0.499518,0.001304,128.000000,0.196842,72.048573,151.004365,6.969858,0.022790
5,1.509224,0.495753,0.146665,128.000000,0.196842,84.811800,1.342122,8.479082,0.169455
6,2.022195,0.499812,0.001319,128.000000,0.196842,63.297552,149.202675,10.501277,0.170774
7,2.079069,0.497245,0.001263,128.000000,0.196842,61.566006,155.845235,12.580347,0.172037
8,1.919481,0.495732,0.130565,128.000000,0.196842,66.684690,1.507617,14.499828,0.302603
9,1.952181,0.497712,0.017620,128.000000,0.196842,65.567676,11.171429,16.452009,0.320223
10,2.222263,0.505315,0.177193,128.000000,0.196842,57.598954,1.110892,18.674272,0.497416
11,2.391162,0.501070,0.001448,128.000000,0.196842,53.530466,135.947595,21.065433,0.498864
12,2.283343,0.505364,0.075660,128.000000,0.196842,56.058148,2.601676,23.348777,0.574523
13,2.235222,0.505179,0.366179,128.000000,0.196842,57.265003,0.537557,25.583999,0.940703
14,2.256167,0.508009,0.133222,128.000000,0.196842,56.733392,1.477550,27.840166,1.073925
15,2.281430,0.506773,0.126931,128.000000,0.196842,56.105154,1.550781,30.121596,1.200856
16,2.382092,0.514155,0.001318,128.000000,0.196842,53.734279,149.350294,32.503688,1.202174
17,2.360347,0.512910,0.001190,128.000000,0.196842,54.229310,165.373724,34.864035,1.203364
18,2.415425,0.516904,0.001249,128.000000,0.196842,52.992738,157.654743,37.279461,1.204612
19,2.332512,0.520344,0.001382,128.000000,0.196842,54.876453,142.384011,39.611973,1.205995
20,2.271897,0.523682,0.075673,128.000000,0.196842,56.340576,2.601208,41.883870,1.281668
21,2.128965,0.530582,0.253926,128.000000,0.196842,60.123113,0.775196,44.012835,1.535594
22,2.416641,0.527320,0.001310,128.000000,0.196842,52.966070,150.294603,46.429477,1.536904
23,2.353230,0.527619,0.045727,128.000000,0.196842,54.393330,4.304731,48.782706,1.582631
24,2.407117,0.529313,0.001227,128.000000,0.196842,53.175646,160.364550,51.189823,1.583858
25,2.357711,0.532069,0.001288,128.000000,0.196842,54.289954,152.789830,53.547534,1.585146
26,2.431329,0.533743,0.001393,128.000000,0.196842,52.646102,141.343215,55.978863,1.586539
27,2.446111,0.533199,0.001313,128.000000,0.196842,52.327955,149.962094,58.424974,1.587852
28,2.366179,0.530050,0.001242,128.000000,0.196842,54.095659,158.448785,60.791153,1.589094
29,2.103071,0.539743,0.311057,128.000000,0.196842,60.863374,0.632817,62.894224,1.900151
30,2.346025,0.528504,0.001229,128.000000,0.196842,54.560377,160.176509,65.240249,1.901380
31,2.376746,0.540389,0.001420,128.000000,0.196842,53.855139,138.636298,67.616995,1.902800
32,2.385552,0.546297,0.001280,128.000000,0.196842,53.656335,153.764104,70.002548,1.904080
33,2.208726,0.541083,0.126512,128.000000,0.196842,57.951949,1.555914,72.211274,2.030592
34,2.400905,0.542302,0.001401,128.000000,0.196842,53.313240,140.525884,74.612179,2.031993
35,2.341095,0.541436,0.034788,128.000000,0.196842,54.675280,5.658337,76.953273,2.066781
36,2.432206,0.533782,0.001297,128.000000,0.196842,52.627122,151.765666,79.385479,2.068078
37,2.409012,0.540840,0.001245,128.000000,0.196842,53.133813,158.122563,81.794491,2.069323
38,2.355553,0.533348,0.001318,128.000000,0.196842,54.339675,149.369673,84.150045,2.070641
39,2.393003,0.531052,0.001269,128.000000,0.196842,53.489268,155.119659,86.543048,2.071910
40,2.316217,0.535216,0.055480,128.000000,0.196842,55.262521,3.547954,88.859265,2.127390
41,2.363968,1.673052,0.001356,128.000000,0.196842,54.146243,145.201873,91.223233,2.128746
42,2.392943,1.693324,0.001251,128.000000,0.196842,53.490618,157.294942,93.616176,2.129997
43,2.195962,0.539934,0.168687,128.000000,0.196842,58.288794,1.166905,95.812139,2.298685
44,2.373676,0.539075,0.001360,128.000000,0.196842,53.924803,144.762879,98.185815,2.300044
45,2.385855,0.537574,0.001363,128.000000,0.196842,53.649527,144.392489,100.571670,2.301408
46,2.366137,0.533362,0.001294,128.000000,0.196842,54.096606,152.176903,102.937807,2.302701
47,2.351891,0.538280,0.001264,128.000000,0.196842,54.424295,155.742151,105.289698,2.303965
48,2.205401,0.534155,0.089861,128.000000,0.196842,58.039336,2.190512,107.495099,2.393826
49,2.364433,0.536041,0.001306,128.000000,0.196842,54.135610,150.739556,109.859531,2.395132
50,2.293353,0.536584,0.034750,128.000000,0.196842,55.813471,5.664554,112.152884,2.429882
51,2.332631,0.536511,0.010371,128.000000,0.196842,54.873654,18.980493,114.485516,2.440253
52,2.442367,0.543388,0.001247,128.000000,0.196842,52.408183,157.827415,116.927882,2.441500
53,2.121342,0.535730,0.225844,128.000000,0.196842,60.339169,0.871585,119.049224,2.667344
54,2.299885,0.530430,0.064688,128.000000,0.196842,55.654950,3.042928,121.349109,2.732032
55,2.321105,0.538906,0.003295,128.000000,0.196842,55.146152,59.744451,123.670214,2.735327
56,2.318563,0.529284,0.046985,128.000000,0.196842,55.206598,4.189498,125.988778,2.782312
57,2.124117,0.536875,0.268371,128.000000,0.196842,60.260342,0.733471,128.112894,3.050682
58,2.223150,0.533567,0.106262,128.000000,0.196842,57.575969,1.852421,130.336044,3.156945
59,2.408296,0.538178,0.001263,128.000000,0.196842,53.149619,155.852021,132.744340,3.158208
60,2.435694,0.540666,0.001611,128.000000,0.196842,52.551750,122.183685,135.180034,3.159819
61,2.335040,0.536980,0.004504,128.000000,0.196842,54.817057,43.701863,137.515074,3.164323
62,2.203863,0.532826,0.113467,128.000000,0.196842,58.079837,1.734799,139.718937,3.277790
63,2.333677,0.533647,0.001308,128.000000,0.196842,54.849073,150.439907,142.052613,3.279098
64,2.354382,0.538927,0.001272,128.000000,0.196842,54.366703,154.743583,144.406996,3.280370
65,2.332961,0.536967,0.001192,128.000000,0.196842,54.865900,165.155050,146.739957,3.281562
66,2.402600,0.538087,0.001321,128.000000,0.196842,53.275609,149.046431,149.142557,3.282883
67,2.405300,0.539055,0.001268,128.000000,0.196842,53.215820,155.263670,151.547857,3.284151
68,2.386317,0.537215,0.001331,128.000000,0.196842,53.639154,147.923906,153.934173,3.285481
69,2.373295,0.539677,0.001321,128.000000,0.196842,53.933448,149.033905,156.307469,3.286802
70,2.371773,0.536653,0.001333,128.000000,0.196842,53.968067,147.643641,158.679242,3.288135
71,2.358800,0.532833,0.042964,128.000000,0.196842,54.264878,4.581533,161.038042,3.331100
72,2.354711,0.532727,0.011736,128.000000,0.196842,54.359109,16.772540,163.392753,3.342836
73,2.191784,0.534534,0.165946,128.000000,0.196842,58.399915,1.186181,165.584537,3.508782
74,2.391362,0.541299,0.001279,128.000000,0.196842,53.525986,153.860976,167.975899,3.510061
75,2.221214,0.536748,0.088288,128.000000,0.196842,57.626147,2.229549,170.197113,3.598349
76,2.361459,0.539250,0.001400,128.000000,0.196842,54.203770,140.607292,172.558572,3.599749
77,2.252059,0.536191,0.043739,128.000000,0.196842,56.836878,4.500408,174.810631,3.643488
78,2.204067,0.538050,0.134723,128.000000,0.196842,58.074457,1.461089,177.014698,3.778211
79,2.382516,0.541278,0.001180,128.000000,0.196842,53.724719,166.750979,179.397214,3.779391
80,2.423968,0.535383,0.001225,128.000000,0.196842,52.805982,160.689604,181.821182,3.780616
81,2.323885,0.536041,0.001339,128.000000,0.196842,55.080168,146.955284,184.145067,3.781955
82,2.323509,0.538952,0.004489,128.000000,0.196842,55.089088,43.852428,186.468576,3.786444
