step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.903204,0.494420,0.015171,128.000000,0.196842,67.254996,12.975103,1.903204,0.015171
2,1.486456,0.498342,0.019276,128.000000,0.196842,86.110853,10.211831,3.389660,0.034447
3,1.638389,0.504260,0.043039,128.000000,0.196842,78.125531,4.573612,5.028049,0.077485
4,1.696920,0.499813,0.048958,128.000000,0.196842,75.430763,4.020671,6.724970,0.126443
5,1.914636,0.495767,0.047434,128.000000,0.196842,66.853432,4.149848,8.639606,0.173876
6,1.994752,0.496926,0.001288,128.000000,0.196842,64.168381,152.838944,10.634358,0.175164
7,2.248727,0.501129,0.001333,128.000000,0.196842,56.921085,147.658814,12.883085,0.176497
8,1.971172,0.500091,0.091700,128.000000,0.196842,64.935976,2.146585,14.854257,0.268198
9,2.012549,0.501596,0.060169,128.000000,0.196842,63.600944,3.271466,16.866806,0.328367
10,2.296287,0.502417,0.001291,128.000000,0.196842,55.742150,152.472652,19.163094,0.329658
11,2.527410,0.503791,0.001449,128.000000,0.196842,50.644729,135.880027,21.690504,0.331107
12,2.437990,0.506039,0.069845,128.000000,0.196842,52.502257,2.818257,24.128494,0.400952
13,3.106213,0.507124,0.001268,128.000000,0.196842,41.207731,155.242608,27.234707,0.402220
14,2.373276,0.508632,0.200761,128.000000,0.196842,53.933892,0.980479,29.607983,0.602981
15,2.550011,0.509548,0.001248,128.000000,0.196842,50.195854,157.776686,32.157995,0.604229
16,2.381363,0.509467,0.001268,128.000000,0.196842,53.750729,155.228162,34.539358,0.605497
17,2.537392,0.514614,0.001254,128.000000,0.196842,50.445494,156.944913,37.076750,0.606751
18,2.443097,0.513162,0.001249,128.000000,0.196842,52.392525,157.617502,39.519846,0.608000
19,2.432582,0.517240,0.001247,128.000000,0.196842,52.618983,157.850323,41.952429,0.609247
20,2.529125,0.520911,0.001233,128.000000,0.196842,50.610384,159.596516,44.481554,0.610480
21,2.327326,0.523713,0.011994,128.000000,0.196842,54.998748,16.411596,46.808879,0.622475
22,2.552580,0.530043,0.001237,128.000000,0.196842,50.145339,159.090368,49.361460,0.623712
23,2.347552,0.528719,0.001228,128.000000,0.196842,54.524877,160.323016,51.709012,0.624940
24,2.342815,0.529301,0.013901,128.000000,0.196842,54.635126,14.159933,54.051827,0.638841
25,2.329370,0.533073,0.006968,128.000000,0.196842,54.950470,28.250208,56.381198,0.645809
26,2.364075,0.526730,0.001410,128.000000,0.196842,54.143793,139.577863,58.745273,0.647219
27,2.353600,0.530450,0.001252,128.000000,0.196842,54.384777,157.181397,61.098873,0.648471
28,2.367611,0.535685,0.001196,128.000000,0.196842,54.062934,164.517059,63.466484,0.649668
29,2.258192,0.533159,0.086465,128.000000,0.196842,56.682503,2.276557,65.724676,0.736133
30,2.418975,0.538403,0.001242,128.000000,0.196842,52.914977,158.459500,68.143651,0.737375
31,2.511568,0.541027,0.001418,128.000000,0.196842,50.964184,138.840279,70.655219,0.738793
32,2.261362,0.542529,0.052812,128.000000,0.196842,56.603050,3.727238,72.916581,0.791605
33,2.362666,0.542146,0.001229,128.000000,0.196842,54.176086,160.191891,75.279247,0.792833
34,2.223375,0.540801,0.079216,128.000000,0.196842,57.570138,2.484888,77.502622,0.872049
35,2.305682,0.542997,0.038665,128.000000,0.196842,55.515033,5.091003,79.808304,0.910714
