timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1776049395.691994,0.0,1442,201800,0.000,0.000
1776049398.695204,0.0,1762,201585,78.147,0.000
1776049401.698704,0.0,1809,201585,103.879,0.135
1776049404.701182,0.0,1815,201585,85.263,0.017
1776049407.703689,0.0,1814,201586,85.262,0.000
1776049410.706208,0.0,1814,201586,85.262,0.016
1776049413.708742,0.0,1814,201587,85.261,0.003
1776049416.711264,0.0,1814,201587,85.262,0.001
1776049419.713679,0.0,1745,201587,85.265,0.000
1776049422.716175,0.0,1743,201588,85.262,0.004
1776049425.718704,0.0,1744,201588,85.261,0.003
1776049428.721271,0.0,1744,201589,82.596,0.001
1776049431.724729,0.0,1745,201589,69.254,0.000
1776049434.728185,0.0,1744,201589,57.267,0.007
1776049437.731892,0.0,1745,201590,55.931,1.447
1776049440.735345,0.0,1745,201590,75.913,0.008
1776049443.737903,0.0,1745,201590,85.261,0.000
1776049446.740387,0.0,1744,201591,82.598,0.007
1776049449.744128,0.0,1744,201591,71.910,0.001
1776049452.748185,0.0,1744,201591,69.240,0.000
1776049455.752145,0.0,1744,201592,67.910,0.004
1776049458.755506,0.0,1744,201592,70.588,0.000
1776049461.758688,0.0,1745,201593,66.596,0.004
1776049464.762002,0.0,1745,201593,82.575,0.000
1776049467.764664,0.0,1744,201593,85.258,0.004
1776049470.767404,0.0,1738,201593,85.255,1.189
1776049473.769862,0.0,1739,201594,71.941,0.000
1776049476.773481,0.0,1739,201594,70.582,0.008
1776049479.776792,0.0,1739,201595,71.921,0.000
1776049482.780138,0.0,1735,201595,77.247,0.008
1776049485.784343,0.0,1736,201595,70.568,0.000
1776049488.787667,0.0,1735,201596,71.920,0.004
1776049491.790984,0.0,1736,201596,77.248,0.000
1776049494.793974,0.0,1736,201596,85.248,0.004
1776049497.796452,0.0,1735,201597,85.263,0.000
1776049500.798809,0.0,1737,201597,75.940,1.319
1776049503.802575,0.0,1736,201597,69.248,0.008
1776049506.806682,0.0,1737,201598,74.565,0.000
1776049509.809996,0.0,1737,201598,74.584,0.008
1776049512.813236,0.0,1736,201599,71.922,0.000
1776049515.816595,0.0,1737,201599,70.588,0.004
1776049518.819909,0.0,1737,201599,74.584,0.000
1776049521.823120,0.0,1737,201599,85.242,0.004
1776049524.825720,0.0,1737,201600,85.259,0.000
1776049527.828358,0.0,1735,201600,82.594,0.004
