step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.898235,0.501591,0.001844,128.000000,0.196842,67.431049,106.723143,1.898235,0.001844
2,1.559288,0.510334,0.001328,128.000000,0.196842,82.088763,148.169872,3.457523,0.003173
3,1.565068,0.499633,0.012138,128.000000,0.196842,81.785572,16.217340,5.022591,0.015311
4,1.698353,0.557322,0.016591,128.000000,0.196842,75.367151,11.864156,6.720944,0.031902
5,1.553855,0.493307,0.179642,128.000000,0.196842,82.375743,1.095747,8.274799,0.211544
6,1.845101,0.499320,0.102298,128.000000,0.196842,69.372909,1.924213,10.119900,0.313841
7,1.999044,0.500971,0.001307,128.000000,0.196842,64.030596,150.634929,12.118944,0.315148
8,2.011535,0.494902,0.028673,128.000000,0.196842,63.632998,6.865082,14.130479,0.343821
9,2.175556,0.500775,0.001179,128.000000,0.196842,58.835525,166.911605,16.306036,0.345001
10,2.499113,0.499262,0.001307,128.000000,0.196842,51.218175,150.619138,18.805149,0.346307
11,2.514363,0.501832,0.001337,128.000000,0.196842,50.907523,147.235692,21.319512,0.347644
12,2.586386,0.516582,0.112583,128.000000,0.196842,49.489908,1.748425,23.905898,0.460227
13,2.571356,0.503155,0.001228,128.000000,0.196842,49.779173,160.325758,26.477254,0.461455
14,2.464956,0.511118,0.001232,128.000000,0.196842,51.927913,159.820300,28.942210,0.462686
15,2.320396,0.523425,0.075693,128.000000,0.196842,55.162998,2.600525,31.262606,0.538380
16,2.408699,0.510910,0.021942,128.000000,0.196842,53.140713,8.971049,33.671305,0.560322
17,2.469943,0.514939,0.001357,128.000000,0.196842,51.823048,145.055710,36.141249,0.561679
18,2.360842,0.522286,0.005155,128.000000,0.196842,54.217937,38.184816,38.502091,0.566834
19,2.445639,0.535497,0.001230,128.000000,0.196842,52.338059,160.001393,40.947730,0.568064
20,2.442946,0.519221,0.001307,128.000000,0.196842,52.395765,150.587681,43.390675,0.569371
21,2.325894,0.522204,0.024314,128.000000,0.196842,55.032600,8.095786,45.716570,0.593685
22,2.427713,0.526884,0.001242,128.000000,0.196842,52.724528,158.525604,48.144282,0.594927
23,2.341831,0.526358,0.045927,128.000000,0.196842,54.658088,4.285957,50.486113,0.640854
24,2.390380,0.532367,0.001241,128.000000,0.196842,53.547973,158.551908,52.876493,0.642096
25,2.350150,0.534503,0.001365,128.000000,0.196842,54.464603,144.235371,55.226643,0.643460
26,2.247665,0.534831,0.174480,128.000000,0.196842,56.947979,1.128168,57.474309,0.817940
27,2.331210,0.530665,0.001353,128.000000,0.196842,54.907100,145.519180,59.805519,0.819293
28,2.411137,0.536681,0.001257,128.000000,0.196842,53.086988,156.579996,62.216656,0.820550
29,2.376939,0.542018,0.001369,128.000000,0.196842,53.850769,143.826464,64.593595,0.821918
30,2.270230,0.540795,0.126718,128.000000,0.196842,56.381955,1.553388,66.863825,0.948636
31,2.401958,0.545361,0.001310,128.000000,0.196842,53.289852,150.254105,69.265783,0.949946
32,2.415841,0.551646,0.001240,128.000000,0.196842,52.983615,158.712346,71.681624,0.951187
33,2.333181,0.545787,0.001270,128.000000,0.196842,54.860724,155.038656,74.014805,0.952456
34,2.325063,0.553931,0.033450,128.000000,0.196842,55.052277,5.884690,76.339868,0.985906
35,2.354722,0.546522,0.001223,128.000000,0.196842,54.358866,160.937385,78.694590,0.987129
36,2.392867,0.538604,0.001324,128.000000,0.196842,53.492310,148.680886,81.087457,0.988453
37,2.345766,0.535842,0.001351,128.000000,0.196842,54.566401,145.722462,83.433223,0.989804
38,2.159041,0.540145,0.226174,128.000000,0.196842,59.285580,0.870314,85.592264,1.215978
39,2.339085,0.533877,0.001234,128.000000,0.196842,54.722245,159.547101,87.931349,1.217212
40,2.424852,0.537243,0.001359,128.000000,0.196842,52.786736,144.869100,90.356201,1.218570
41,2.328192,1.668320,0.001303,128.000000,0.196842,54.978290,151.107070,92.684393,1.219873
42,2.368964,1.686831,0.001260,128.000000,0.196842,54.032060,156.227187,95.053357,1.221133
43,2.407262,0.535324,0.001246,128.000000,0.196842,53.172448,157.934545,97.460618,1.222379
44,2.346981,0.541707,0.001259,128.000000,0.196842,54.538146,156.378356,99.807599,1.223638
45,2.244293,0.540457,0.145655,128.000000,0.196842,57.033561,1.351427,102.051892,1.369293
46,2.399061,0.538562,0.001304,128.000000,0.196842,53.354208,150.898908,104.450953,1.370598
47,2.402056,0.539135,0.001245,128.000000,0.196842,53.287685,158.071645,106.853009,1.371843
48,2.255470,0.541798,0.049209,128.000000,0.196842,56.750928,4.000162,109.108479,1.421051
49,2.387528,0.540080,0.001255,128.000000,0.196842,53.611929,156.825751,111.496007,1.422307
