step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.105850,0.489693,0.001706,128.000000,0.196842,60.783054,115.387029,2.105850,0.001706
2,1.401527,0.505337,0.097455,128.000000,0.196842,91.328951,2.019832,3.507377,0.099161
3,1.598879,0.498176,0.018279,128.000000,0.196842,80.056082,10.768697,5.106256,0.117440
4,1.724182,0.494451,0.001662,128.000000,0.196842,74.238111,118.463384,6.830438,0.119101
5,1.601648,0.491814,0.074202,128.000000,0.196842,79.917679,2.652805,8.432086,0.193303
6,1.858315,0.496703,0.064480,128.000000,0.196842,68.879602,3.052770,10.290401,0.257783
7,1.931930,0.494241,0.039604,128.000000,0.196842,66.254991,4.970312,12.222331,0.297386
8,2.054640,0.496172,0.001228,128.000000,0.196842,62.298015,160.304737,14.276971,0.298614
9,2.095075,0.496223,0.185188,128.000000,0.196842,61.095669,1.062934,16.372046,0.483802
10,2.435827,0.508050,0.010858,128.000000,0.196842,52.548896,18.129100,18.807873,0.494660
11,2.452261,0.505608,0.001300,128.000000,0.196842,52.196726,151.364677,21.260134,0.495960
12,2.606513,0.502733,0.001259,128.000000,0.196842,49.107757,156.295785,23.866647,0.497219
13,2.429413,0.507630,0.001248,128.000000,0.196842,52.687614,157.760500,26.296060,0.498467
14,2.294672,0.506271,0.123492,128.000000,0.196842,55.781384,1.593966,28.590733,0.621959
15,2.234535,0.508668,0.076116,128.000000,0.196842,57.282605,2.586095,30.825268,0.698075
16,2.343824,0.505549,0.001448,128.000000,0.196842,54.611617,135.980183,33.169092,0.699523
17,2.469719,0.516015,0.001370,128.000000,0.196842,51.827757,143.639124,35.638811,0.700893
18,2.297257,0.516632,0.024442,128.000000,0.196842,55.718613,8.053456,37.936068,0.725335
19,2.317673,0.519037,0.056960,128.000000,0.196842,55.227819,3.455805,40.253741,0.782295
20,2.405913,0.521033,0.001335,128.000000,0.196842,53.202266,147.464347,42.659653,0.783630
21,2.309701,0.520085,0.051302,128.000000,0.196842,55.418419,3.836896,44.969355,0.834932
22,2.411824,0.522657,0.001381,128.000000,0.196842,53.071868,142.540525,47.381178,0.836313
23,2.448191,0.523549,0.001251,128.000000,0.196842,52.283502,157.386626,49.829369,0.837564
24,2.351734,0.529667,0.001222,128.000000,0.196842,54.427931,161.096756,52.181103,0.838786
25,2.300724,0.530386,0.029580,128.000000,0.196842,55.634664,6.654607,54.481827,0.868365
26,2.335567,0.533308,0.012261,128.000000,0.196842,54.804671,16.054349,56.817394,0.880626
27,2.346337,0.529048,0.001250,128.000000,0.196842,54.553117,157.520507,59.163731,0.881876
28,2.424635,0.529542,0.001291,128.000000,0.196842,52.791442,152.483046,61.588367,0.883167
29,2.347504,0.536009,0.001231,128.000000,0.196842,54.526000,159.948608,63.935871,0.884398
30,2.449647,0.526620,0.001246,128.000000,0.196842,52.252432,158.041440,66.385518,0.885643
31,2.454684,0.535448,0.001346,128.000000,0.196842,52.145211,146.284729,68.840201,0.886989
