timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1776258043.347209,0.0,1431,201895,0.000,0.000
1776258046.350432,0.0,1787,201585,74.147,0.000
1776258049.354298,0.0,1808,201585,107.861,0.000
1776258052.357662,0.0,1776,201585,85.238,0.298
1776258055.373209,0.0,1777,201586,84.893,0.000
1776258058.384655,0.0,1781,201587,91.650,0.008
1776258061.387980,0.0,1781,201587,85.239,0.004
1776258064.391344,0.0,1782,201587,90.565,0.004
1776258067.394735,0.0,1709,201588,87.901,0.004
1776258070.398102,0.0,1709,201588,73.251,0.792
1776258073.401570,0.0,1708,201588,82.571,0.008
1776258076.404065,0.0,1711,201589,85.262,0.000
1776258079.406543,0.0,1706,201589,78.602,0.003
1776258082.409847,0.0,1710,201589,69.257,0.005
1776258085.413357,0.0,1709,201590,70.584,0.000
1776258088.416932,0.0,1710,201590,67.919,0.004
1776258091.420381,0.0,1710,201591,79.908,0.000
1776258094.423813,0.0,1710,201591,70.586,0.004
1776258097.427549,0.0,1709,201591,74.574,0.000
1776258100.430795,0.0,1711,201591,85.241,0.004
1776258103.433581,0.0,1711,201592,85.254,1.320
1776258106.436209,0.0,1711,201592,82.594,0.000
1776258109.438700,0.0,1712,201593,70.608,0.009
1776258112.442300,0.0,1708,201593,69.250,0.399
1776258115.445590,0.0,1708,201593,71.921,0.012
1776258118.448837,0.0,1709,201594,71.922,0.000
1776258121.452213,0.0,1709,201594,73.251,0.008
1776258124.455515,0.0,1710,201595,73.253,0.000
1776258127.458830,0.0,1711,201595,83.907,0.004
1776258130.461247,0.0,1713,201595,85.265,0.000
1776258133.463747,0.0,1713,201595,85.262,0.000
1776258136.466184,0.0,1714,201596,73.274,0.004
1776258139.470246,0.0,1712,201596,74.566,0.000
1776258142.473504,0.0,1714,201597,69.258,0.004
1776258145.476835,0.0,1713,201597,66.593,0.005
1776258148.480268,0.0,1714,201597,73.250,1.324
1776258151.485131,0.0,1710,201598,70.552,0.000
1776258154.488421,0.0,1713,201598,83.908,0.009
1776258157.490898,0.0,1714,201598,85.263,0.000
1776258160.493253,0.0,1713,201599,85.266,0.000
1776258163.495634,0.0,1713,201599,71.943,0.004
1776258166.499469,0.0,1714,201599,70.576,0.000
1776258169.503631,0.0,1714,201600,73.232,0.004
1776258172.507807,0.0,1713,201600,70.568,0.000
1776258175.511134,0.0,1715,201600,70.588,0.004
1776258178.513719,0.0,1715,201600,69.274,0.004
1776258181.516183,0.0,1716,201601,66.612,0.009
1776258184.519550,0.0,1716,201601,18.646,1.315
1776258187.522892,0.0,1717,201601,85.238,0.009
1776258190.525316,0.0,1715,201602,85.264,0.000
1776258193.527820,0.0,1716,201602,85.262,0.003
1776258196.530191,0.0,1715,201602,71.943,0.004
1776258199.534235,0.0,1714,201603,70.572,0.000
1776258202.537579,0.0,1716,201603,69.256,0.004
1776258205.540882,0.0,1716,201604,71.921,0.000
1776258208.544242,0.0,1716,201604,75.915,0.004
1776258211.547615,0.0,1716,201604,71.919,0.000
1776258214.550830,0.0,1716,201604,79.914,0.013
1776258217.553275,0.0,1716,201605,85.264,0.000
1776258220.555718,0.0,1718,201605,85.264,1.323
1776258223.558367,0.0,1718,201606,73.269,0.001
1776258226.562666,0.0,1719,201606,69.234,0.001
1776258229.566734,0.0,1720,201606,71.903,0.005
1776258232.571403,0.0,1719,201607,69.226,0.000
1776258235.575749,0.0,1718,201607,73.227,0.004
1776258238.579016,0.0,1719,201608,73.254,0.000
1776258241.582458,0.0,1720,201608,81.240,0.004
1776258244.586010,0.0,1722,201608,85.232,0.000
1776258247.588529,0.0,1721,201608,85.262,0.000
1776258250.590963,0.0,1722,201609,81.267,0.009
1776258253.594805,0.0,1721,201609,71.908,1.453
1776258256.599022,0.0,1722,201610,74.562,0.001
1776258259.602493,0.0,1724,201610,71.917,0.005
1776258262.605884,0.0,1723,201610,73.251,0.004
1776258265.609246,0.0,1724,201611,69.256,0.000
1776258268.612655,0.0,1723,201611,71.918,0.004
1776258271.615993,0.0,1723,201611,82.575,0.000
1776258274.618520,0.0,1725,201612,85.262,0.004
1776258277.621032,0.0,1725,201612,85.262,0.000
1776258280.623530,0.0,1723,201612,74.605,0.007
1776258283.627357,0.0,1724,201613,69.245,0.008
1776258286.632317,0.0,1724,201613,73.212,0.003
1776258289.635730,0.0,1724,201614,73.250,0.118
