timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775508796.127294,0.0,1471,200963,0.000,0.000
1775508799.130122,0.0,1882,200963,3.521,0.000
1775508802.133773,0.0,1753,200963,93.220,0.000
1775508805.136482,0.0,1851,200964,85.256,0.147
1775508808.139172,0.0,1868,200964,82.593,0.000
1775508811.141915,0.0,1866,200965,74.598,0.016
1775508814.145249,0.0,1856,200965,71.920,0.000
1775508817.148918,0.0,1860,200965,74.575,0.008
1775508820.152660,0.0,1821,200966,75.905,0.000
1775508823.156331,0.0,1822,200966,69.249,0.004
1775508826.159977,0.0,1822,200967,79.903,0.000
1775508829.163515,0.0,1819,200967,75.910,0.004
1775508832.167095,0.0,1820,200967,77.241,0.000
1775508835.171067,0.0,1756,200967,85.221,0.004
1775508838.173682,0.0,1764,200968,85.259,1.319
1775508841.176344,0.0,1765,200968,85.258,0.009
1775508844.179062,0.0,1740,200969,75.931,0.000
1775508847.182864,0.0,1861,200969,71.909,0.005
1775508850.186580,0.0,1866,200969,74.574,0.004
1775508853.190233,0.0,1867,200970,70.581,0.000
1775508856.193935,0.0,1869,200970,75.906,0.670
1775508859.197430,0.0,1883,200971,71.916,0.000
1775508862.202948,0.0,1867,200971,71.868,0.009
1775508865.206613,0.0,1853,200971,83.897,0.000
1775508868.209256,0.0,1857,200971,85.258,0.536
1775508871.211960,0.0,1855,200972,85.257,0.001
1775508874.214697,0.0,1855,200972,79.927,0.004
1775508877.218440,0.0,1856,200972,71.910,0.402
1775508880.222178,0.0,1745,200973,67.915,0.000
1775508883.225766,0.0,1851,200973,69.250,0.013
1775508886.229836,0.0,1853,200974,73.234,0.000
1775508889.233498,0.0,1854,200974,71.912,0.411
1775508892.237224,0.0,1862,200974,77.237,0.000
1775508895.239928,0.0,1856,200974,85.256,0.013
1775508898.242677,0.0,1856,200975,85.255,0.398
1775508901.245243,0.0,1856,200975,83.928,0.001
1775508904.247962,0.0,1677,200976,73.267,0.012
1775508907.251741,0.0,1672,200976,66.583,0.007
1775508910.255441,0.0,1671,200976,73.243,0.401
1775508913.258799,0.0,1671,200977,74.583,0.000
1775508916.262470,0.0,1671,200977,66.585,0.008
1775508919.266272,0.0,1670,200978,73.241,0.398
1775508922.271161,0.0,1673,200978,85.194,0.012
1775508925.273840,0.0,1674,200978,85.257,0.000
1775508928.276536,0.0,1676,200978,85.257,0.007
1775508931.279271,0.0,1671,200979,74.599,0.402
1775508934.283279,0.0,1677,200979,74.567,0.276
1775508937.286969,0.0,1677,200979,21.307,0.003
1775508940.289587,0.0,1672,200980,85.259,0.144
1775508943.292265,0.0,1669,200980,41.296,0.000
1775508946.296023,0.0,1673,200980,73.242,0.018
1775508949.299706,0.0,1676,200981,71.912,0.265
1775508952.303345,0.0,1676,200981,74.576,0.008
1775508955.307057,0.0,1684,200982,79.901,0.267
1775508958.310553,0.0,1678,200982,85.234,0.012
1775508961.313254,0.0,1679,200982,85.257,0.265
1775508964.315916,0.0,1678,200982,85.258,0.004
1775508967.319294,0.0,1679,200983,73.251,0.272
1775508970.323100,0.0,1679,200983,73.240,0.003
1775508973.326825,0.0,1679,200984,78.569,0.012
1775508976.330535,0.0,1679,200984,70.579,0.267
1775508979.334999,0.0,1677,200984,74.556,0.010
1775508982.339472,0.0,1678,200985,73.224,0.267
1775508985.343241,0.0,1679,200985,74.573,0.012
1775508988.346755,0.0,1679,200985,78.575,0.265
1775508991.349331,0.0,1675,200986,85.260,0.012
1775508994.351930,0.0,1679,200986,85.259,0.265
1775508997.354488,0.0,1684,200986,82.596,0.000
1775509000.358489,0.0,1681,200987,73.236,0.013
1775509003.362210,0.0,1685,200987,74.574,0.004
1775509006.366248,0.0,1680,200988,70.572,0.008
1775509009.369834,0.0,1681,200988,67.919,0.000
1775509012.373595,0.0,1683,200988,73.242,0.671
1775509015.377279,0.0,1683,200989,73.243,0.000
1775509018.380929,0.0,1686,200989,81.234,0.016
1775509021.383542,0.0,1686,200989,85.260,0.004
1775509024.386456,0.0,1689,200990,85.251,0.397
1775509027.389029,0.0,1693,200990,85.260,0.008
1775509030.392563,0.0,1692,200990,71.915,0.000
1775509033.396212,0.0,1696,200991,71.913,0.004
1775509036.400046,0.0,1693,200991,75.903,0.004
1775509039.403769,0.0,1694,200991,70.579,0.661
1775509042.407639,0.0,1694,200992,73.239,0.009
1775509045.411235,0.0,1693,200992,66.587,0.001
1775509048.415023,0.0,1696,200993,81.231,0.406
1775509051.418852,0.0,1692,200993,85.225,0.000
1775509054.421562,0.0,1693,200993,85.256,0.008
1775509057.424255,0.0,1690,200993,83.925,0.000
1775509060.427026,0.0,1692,200994,70.601,0.004
1775509063.430791,0.0,1689,200994,74.573,0.004
1775509066.434547,0.0,1691,200995,73.242,0.000
1775509069.438430,0.0,1694,200995,71.907,0.004
1775509072.442125,0.0,1694,200995,71.911,0.000
1775509075.445778,0.0,1806,200996,69.249,0.004
1775509078.449349,0.0,1811,200996,81.237,0.000
1775509081.452017,0.0,1813,200996,85.257,1.333
1775509084.454710,0.0,1819,200997,85.257,0.000
1775509087.457305,0.0,1818,200997,85.260,0.016
1775509090.459958,0.0,1822,200997,75.933,0.000
1775509093.463905,0.0,1823,200998,74.569,0.000
1775509096.467411,0.0,1829,200998,74.579,0.004
1775509099.471067,0.0,1824,200999,70.581,0.000
1775509102.475131,0.0,1817,200999,70.571,0.004
1775509105.478724,0.0,1816,200999,73.246,0.000
1775509108.482299,0.0,1786,201000,73.246,0.005
1775509111.485904,0.0,1792,201000,83.899,0.000
1775509114.488588,0.0,1793,201000,85.257,1.327
1775509117.491264,0.0,1801,201001,85.257,0.000
1775509120.494022,0.0,1803,201001,77.262,0.009
