timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775569510.780933,0.0,1497,201280,0.000,0.000
1775569513.785061,0.0,1677,201274,9.751,0.000
1775569516.787511,0.0,1797,201275,18.546,0.000
1775569519.790217,0.0,1786,201275,51.104,0.280
1775569522.793674,0.0,1787,201276,73.770,0.012
1775569525.797505,0.0,1787,201276,75.014,0.001
1775569528.801250,0.0,1905,201277,29.636,0.004
1775569531.804761,0.0,1907,201278,0.000,0.000
1775569534.807248,0.0,1912,201279,0.000,1.192
1775569537.809639,0.0,1910,201280,13.323,0.000
1775569540.812991,0.0,1914,201280,85.238,0.009
1775569543.815456,0.0,1916,201280,85.263,0.000
1775569546.817896,0.0,1905,201281,85.264,0.009
1775569549.820405,0.0,1903,201281,77.269,0.004
1775569552.823838,0.0,1858,201282,73.250,0.921
1775569555.827506,0.0,1860,201282,67.917,0.009
1775569558.830918,0.0,1859,201282,73.250,0.000
1775569561.834311,0.0,1860,201283,73.250,0.012
1775569564.837776,0.0,1860,201283,74.581,0.527
1775569567.841204,0.0,1862,201283,73.250,0.009
1775569570.844583,0.0,1863,201283,83.905,0.265
1775569573.847085,0.0,1863,201284,85.262,0.009
1775569576.849455,0.0,1861,201284,85.266,0.267
1775569579.852166,0.0,1795,201285,73.267,0.000
1775569582.855516,0.0,1790,201285,73.252,0.009
1775569585.858813,0.0,1787,201285,75.917,0.265
1775569588.862068,0.0,1787,201286,71.922,0.009
1775569591.865355,0.0,1787,201286,74.585,0.267
1775569594.868941,0.0,1786,201287,70.582,0.009
1775569597.872396,0.0,1788,201287,71.918,0.265
1775569600.875790,0.0,1788,201287,85.237,0.009
1775569603.878286,0.0,1788,201287,85.262,0.267
1775569606.880782,0.0,1784,201288,79.934,0.012
1775569609.883802,0.0,1780,201288,70.596,0.263
1775569612.887210,0.0,1785,201289,75.914,0.005
1775569615.890619,0.0,1784,201289,70.586,0.009
1775569618.893985,0.0,1784,201289,71.919,0.267
1775569621.897367,0.0,1788,201290,75.914,0.010
1775569624.900322,0.0,1792,201290,66.601,0.265
1775569627.902822,0.0,1914,201290,63.947,0.010
1775569630.925248,0.0,1914,201290,21.175,0.000
1775569633.927701,0.0,1912,201291,85.264,0.267
1775569636.930260,0.0,1914,201291,85.261,0.010
1775569639.932924,0.0,1915,201291,81.261,0.265
1775569642.935579,0.0,1914,201292,71.936,0.004
1775569645.939000,0.0,1916,201292,73.250,0.007
1775569648.942793,0.0,1916,201293,73.241,0.267
1775569651.946667,0.0,1880,201293,70.576,0.010
1775569654.950148,0.0,1805,201293,71.917,0.265
1775569657.953576,0.0,1797,201294,77.245,0.010
1775569660.957013,0.0,1798,201294,77.245,0.267
1775569663.960635,0.0,1800,201294,85.230,0.010
1775569666.963137,0.0,1800,201295,85.262,0.265
1775569669.965565,0.0,1799,201295,85.264,0.010
1775569672.968766,0.0,1799,201295,73.255,0.265
1775569675.972190,0.0,1797,201296,71.918,0.001
1775569678.975592,0.0,1798,201296,73.250,0.010
1775569681.990786,0.0,1800,201297,72.964,0.266
1775569684.994156,0.0,1800,201297,73.251,0.009
1775569687.997613,0.0,1802,201297,73.249,0.267
1775569691.000453,0.0,1799,201298,75.928,0.010
1775569694.003730,0.0,1800,201298,82.576,0.265
1775569697.006341,0.0,1801,201298,85.259,0.010
1775569700.008898,0.0,1800,201299,85.261,0.267
1775569703.011620,0.0,1802,201299,78.595,0.000
1775569706.015503,0.0,1803,201299,73.239,0.274
1775569709.019346,0.0,1799,201300,71.908,0.003
1775569712.022721,0.0,1798,201300,73.251,0.009
1775569715.026072,0.0,1797,201300,71.920,0.267
1775569718.029375,0.0,1798,201301,74.585,0.008
1775569721.032746,0.0,1798,201301,69.256,0.265
