step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.826271,0.657432,0.001630,128.000000,0.196842,70.088178,120.775716,1.826271,0.001630
2,1.341373,0.501279,0.168412,128.000000,0.196842,95.424592,1.168814,3.167644,0.170042
3,1.548793,0.514288,0.008310,128.000000,0.196842,82.645004,23.686690,4.716437,0.178352
4,1.749291,0.501211,0.054652,128.000000,0.196842,73.172511,3.601710,6.465728,0.233004
5,1.674279,0.514295,0.001253,128.000000,0.196842,76.450834,157.088198,8.140007,0.234257
6,1.893801,0.506901,0.029559,128.000000,0.196842,67.588937,6.659339,10.033808,0.263816
7,1.966338,0.498264,0.002115,128.000000,0.196842,65.095627,93.059475,12.000146,0.265932
8,2.002929,0.510902,0.001252,128.000000,0.196842,63.906398,157.261012,14.003075,0.267183
9,1.990120,0.512148,0.012557,128.000000,0.196842,64.317718,15.675297,15.993195,0.279741
10,2.386586,0.505185,0.001330,128.000000,0.196842,53.633087,147.998088,18.379782,0.281071
11,2.336125,0.509702,0.001310,128.000000,0.196842,54.791586,150.237247,20.715907,0.282381
12,2.267185,0.505902,0.118610,128.000000,0.196842,56.457679,1.659574,22.983092,0.400991
13,2.397878,0.508550,0.001256,128.000000,0.196842,53.380535,156.665362,25.380970,0.402247
14,2.485636,0.515197,0.001433,128.000000,0.196842,51.495872,137.352014,27.866606,0.403681
15,2.183844,0.524025,0.195015,128.000000,0.196842,58.612255,1.009369,30.050449,0.598696
16,2.490141,0.525027,0.001325,128.000000,0.196842,51.402714,148.532794,32.540590,0.600021
17,2.307358,0.529227,0.001499,128.000000,0.196842,55.474713,131.292550,34.847948,0.601520
18,2.260510,0.539376,0.127741,128.000000,0.196842,56.624396,1.540948,37.108458,0.729261
19,2.136117,0.543129,0.183266,128.000000,0.196842,59.921823,1.074079,39.244574,0.912527
20,2.160968,0.534543,0.258651,128.000000,0.196842,59.232721,0.761034,41.405542,1.171178
21,2.355195,0.543524,0.001345,128.000000,0.196842,54.347950,146.397986,43.760737,1.172523
