timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775611927.324858,0.0,1362,201895,0.000,0.000
1775611930.328613,0.0,1660,201585,87.450,0.000
1775611933.331600,0.0,1768,201585,91.908,0.000
1775611936.334201,0.0,1768,201585,87.924,0.022
1775611939.336652,0.0,1746,201586,85.264,0.415
1775611942.339204,0.0,1739,201587,87.925,0.009
1775611945.342546,0.0,1773,201587,87.902,0.000
1775611948.345077,0.0,1747,201587,87.926,0.004
1775611951.348470,0.0,1753,201588,86.569,0.540
1775611954.351775,0.0,1776,201588,78.580,0.000
1775611957.354166,0.0,1759,201588,82.601,0.004
1775611960.356729,0.0,1751,201589,85.260,0.000
1775611963.359100,0.0,1772,201589,85.266,0.004
1775611966.361492,0.0,1760,201589,79.936,0.000
1775611969.364100,0.0,1743,201590,73.270,0.003
1775611972.367720,0.0,1742,201590,67.918,0.801
1775611975.371114,0.0,1780,201591,71.919,0.000
1775611978.374347,0.0,1751,201591,65.263,0.007
1775611981.377761,0.0,1751,201591,74.582,0.000
1775611984.381057,0.0,1752,201591,78.580,0.004
1775611987.383398,0.0,1766,201592,85.267,0.000
1775611990.385807,0.0,1747,201592,85.265,0.004
1775611993.388336,0.0,1760,201593,73.272,0.000
1775611996.391746,0.0,1783,201593,73.250,0.956
1775611999.394256,0.0,1748,201593,73.272,0.109
1775612002.397694,0.0,1757,201594,74.581,0.000
1775612005.400741,0.0,1767,201594,70.595,0.007
1775612008.403484,0.0,1745,201595,74.598,0.000
1775612011.406919,0.0,1749,201595,71.918,0.544
1775612014.410402,0.0,1765,201595,85.234,0.000
1775612017.412825,0.0,1743,201595,85.264,0.004
1775612020.415347,0.0,1749,201596,79.933,0.399
1775612023.417880,0.0,1770,201596,71.939,0.000
1775612026.420686,0.0,1749,201597,73.265,0.010
1775612029.424297,0.0,1747,201597,63.923,0.000
1775612032.427678,0.0,1779,201597,77.246,0.410
1775612035.430556,0.0,1755,201598,59.943,0.000
1775612038.433926,0.0,1746,201598,85.238,0.004
1775612041.436299,0.0,1767,201598,85.266,0.401
1775612044.439162,0.0,1751,201599,81.256,0.000
1775612047.442534,0.0,1750,201599,67.924,0.284
1775612050.445802,0.0,1777,201599,70.591,0.000
1775612053.448257,0.0,1761,201600,73.273,0.277
1775612056.450971,0.0,1755,201600,66.606,0.000
1775612059.454354,0.0,1753,201600,74.583,0.144
1775612062.457072,0.0,1775,201600,77.263,0.137
1775612065.459992,0.0,1754,201601,51.949,0.012
1775612068.463359,0.0,1752,201601,33.296,0.000
1775612071.465663,0.0,1783,201601,85.268,0.005
1775612074.468410,0.0,1754,201602,85.255,0.269
1775612077.470990,0.0,1745,201602,73.270,0.010
1775612080.474483,0.0,1778,201602,67.921,0.000
1775612083.476942,0.0,1761,201603,73.273,0.000
1775612086.480424,0.0,1742,201603,67.921,0.004
1775612089.484226,0.0,1755,201604,69.246,0.000
1775612092.487269,0.0,1777,201604,74.591,0.004
1775612095.490072,0.0,1771,201604,85.254,0.000
1775612098.492465,0.0,1752,201604,85.265,0.004
1775612101.494979,0.0,1746,201605,85.262,0.000
1775612104.497344,0.0,1770,201605,71.943,1.188
1775612107.500474,0.0,1755,201606,73.257,0.013
1775612110.503885,0.0,1742,201606,73.250,0.008
1775612113.507163,0.0,1762,201606,59.935,0.004
1775612116.510328,0.0,1749,201607,71.924,0.000
1775612119.513644,0.0,1752,201607,75.916,0.672
1775612122.515980,0.0,1772,201607,85.267,0.000
1775612125.518759,0.0,1754,201608,85.254,0.009
1775612128.521218,0.0,1757,201608,77.270,0.000
1775612131.524536,0.0,1776,201608,70.589,0.398
1775612134.527338,0.0,1747,201609,71.933,0.012
1775612137.530787,0.0,1750,201609,73.249,0.001
1775612140.534089,0.0,1778,201610,69.257,0.407
1775612143.536698,0.0,1752,201610,71.937,0.000
1775612146.540033,0.0,1751,201610,77.247,0.010
1775612149.543333,0.0,1775,201610,85.240,0.001
1775612152.545635,0.0,1750,201611,82.603,0.398
1775612155.548904,0.0,1754,201611,70.590,0.009
1775612158.552220,0.0,1776,201612,70.589,0.000
1775612161.554770,0.0,1774,201612,67.942,0.004
1775612164.557305,0.0,1748,201612,69.275,0.000
1775612167.560476,0.0,1752,201613,73.256,0.004
1775612170.563732,0.0,1773,201613,77.249,0.795
1775612173.566093,0.0,1754,201613,85.266,0.009
1775612176.568698,0.0,1745,201614,85.259,0.000
1775612179.571329,0.0,1771,201614,83.926,0.000
1775612182.574721,0.0,1743,201614,67.923,0.533
1775612185.578206,0.0,1750,201615,78.577,0.000
1775612188.581517,0.0,1765,201615,70.589,0.012
1775612191.584315,0.0,1742,201616,69.269,0.000
1775612194.587706,0.0,1744,201616,71.919,0.411
1775612197.591032,0.0,1772,201616,73.252,0.000
1775612200.593774,0.0,1768,201616,81.259,0.004
1775612203.596213,0.0,1752,201617,85.264,0.399
1775612206.598724,0.0,1751,201617,85.262,0.000
1775612209.601056,0.0,1767,201617,79.938,0.008
1775612212.603559,0.0,1753,201618,47.960,0.005
1775612215.606969,0.0,1749,201618,70.586,0.410
1775612218.610291,0.0,1777,201619,71.920,0.131
1775612221.612664,0.0,1744,201619,70.611,0.151
1775612224.615923,0.0,1747,201619,85.241,0.000
1775612227.618560,0.0,1771,201619,85.258,0.278
1775612230.620928,0.0,1745,201620,83.934,0.000
1775612233.623939,0.0,1747,201620,69.264,0.280
1775612236.627370,0.0,1741,201621,69.254,0.000
1775612239.630770,0.0,1776,201621,73.250,0.012
1775612242.633287,0.0,1741,201621,57.285,0.000
1775612245.636599,0.0,1750,201622,74.584,0.410
1775612248.639956,0.0,1771,201622,83.906,0.135
1775612251.642398,0.0,1757,201622,85.264,0.012
1775612254.644964,0.0,1754,201623,81.264,0.000
1775612257.648285,0.0,1753,201623,70.589,0.403
1775612260.651130,0.0,1762,201623,69.268,0.001
1775612263.653666,0.0,1744,201624,69.275,0.009
1775612266.657003,0.0,1771,201624,71.920,0.000
1775612269.659478,0.0,1761,201625,71.941,0.004
1775612272.662364,0.0,1751,201625,77.259,0.000
1775612275.666027,0.0,1777,201625,85.229,0.004
1775612278.668473,0.0,1744,201625,82.599,0.795
1775612281.672020,0.0,1741,201626,70.583,0.000
1775612284.675339,0.0,1745,201626,67.925,0.009
1775612287.678715,0.0,1770,201627,70.587,0.000
1775612290.681131,0.0,1748,201627,59.952,0.402
1775612293.684802,0.0,1753,201627,74.575,0.000
1775612296.688061,0.0,1775,201627,85.241,0.012
1775612299.690718,0.0,1750,201628,85.258,0.000
1775612302.693160,0.0,1750,201628,85.264,0.004
1775612305.695578,0.0,1774,201629,74.607,0.000
1775612308.698682,0.0,1761,201629,69.262,0.000
1775612311.701100,0.0,1744,201629,74.607,0.004
1775612314.704421,0.0,1775,201630,66.593,0.000
1775612317.706860,0.0,1763,201630,74.606,0.004
1775612320.710324,0.0,1751,201631,69.253,1.182
1775612323.720037,0.0,1745,201631,82.400,0.009
1775612326.722466,0.0,1776,201631,85.264,0.272
1775612329.724870,0.0,1763,201631,85.266,0.000
1775612332.727373,0.0,1751,201632,71.940,0.009
1775612335.730807,0.0,1761,201632,73.249,0.000
1775612338.733824,0.0,1782,201633,66.600,0.004
1775612341.736397,0.0,1753,201633,70.606,0.000
1775612344.740758,0.0,1754,201633,69.233,0.004
1775612347.744187,0.0,1781,201634,74.581,0.000
1775612350.746709,0.0,1755,201634,85.262,0.004
1775612353.749199,0.0,1753,201634,85.263,0.000
1775612356.751645,0.0,1782,201635,85.264,1.193
1775612359.754081,0.0,1769,201635,67.945,0.000
1775612362.756896,0.0,1750,201635,70.600,0.017
1775612365.760240,0.0,1753,201636,73.252,0.000
1775612368.763599,0.0,1779,201636,69.256,0.008
1775612371.766194,0.0,1754,201636,70.606,0.000
1775612374.769954,0.0,1751,201637,74.573,0.004
1775612377.773168,0.0,1779,201637,85.242,0.000
1775612380.775727,0.0,1767,201637,85.261,0.004
1775612383.778616,0.0,1758,201638,81.255,0.000
1775612386.782510,0.0,1750,201638,69.243,0.000
1775612389.786109,0.0,1776,201638,69.250,1.317
1775612392.788542,0.0,1758,201639,70.609,0.000
1775612395.790922,0.0,1746,201639,70.611,0.013
1775612398.794254,0.0,1745,201640,71.920,0.000
1775612401.797535,0.0,1778,201640,78.581,0.014
1775612404.800278,0.0,1747,201640,85.255,0.000
1775612407.802791,0.0,1746,201640,85.262,0.004
1775612410.805277,0.0,1776,201641,74.605,0.000
1775612413.807760,0.0,1765,201641,67.944,0.000
1775612416.810234,0.0,1743,201642,71.941,0.004
1775612419.813593,0.0,1772,201642,71.919,1.057
1775612422.816114,0.0,1741,201642,57.285,0.012
1775612425.819544,0.0,1758,201642,82.572,0.000
1775612428.822015,0.0,1774,201643,85.263,0.004
1775612431.824498,0.0,1755,201643,82.598,0.000
1775612434.827086,0.0,1781,201644,62.613,0.003
1775612437.829890,0.0,1756,201644,71.933,0.001
1775612440.832394,0.0,1751,201644,70.608,0.000
1775612443.835791,0.0,1761,201645,73.250,0.004
1775612446.839194,0.0,1772,201645,73.250,0.000
1775612449.841656,0.0,1757,201646,77.270,1.192
1775612452.843948,0.0,1744,201646,85.268,0.000
1775612455.846446,0.0,1779,201646,85.262,0.020
1775612458.848830,0.0,1764,201646,73.276,0.000
1775612461.852240,0.0,1753,201647,74.582,0.529
1775612464.855673,0.0,1750,201647,69.254,0.009
1775612467.859045,0.0,1778,201648,71.919,0.000
1775612470.861526,0.0,1753,201648,67.944,0.004
1775612473.864650,0.0,1748,201648,73.257,0.000
1775612476.868006,0.0,1753,201648,81.242,0.004
1775612479.870434,0.0,1776,201649,85.264,0.661
1775612482.872795,0.0,1778,201649,85.266,0.150
1775612485.875131,0.0,1760,201650,74.609,0.000
1775612488.877783,0.0,1742,201650,69.272,0.010
1775612491.881133,0.0,1772,201650,73.252,0.000
1775612494.883505,0.0,1752,201651,69.279,0.000
1775612497.887056,0.0,1753,201651,70.583,0.004
1775612500.890396,0.0,1778,201652,71.920,0.000
1775612503.892784,0.0,1750,201652,82.601,0.004
1775612506.895274,0.0,1764,201652,85.263,0.000
1775612509.897742,0.0,1751,201652,85.263,0.004
1775612512.900142,0.0,1767,201653,74.607,0.000
1775612515.904432,0.0,1757,201653,74.560,1.190
1775612518.907736,0.0,1777,201653,70.589,0.012
1775612521.910515,0.0,1747,201654,67.937,0.003
1775612524.913877,0.0,1747,201654,69.256,0.009
1775612527.917273,0.0,1746,201655,75.914,0.000
1775612530.920463,0.0,1761,201655,78.583,0.004
1775612533.923050,0.0,1757,201655,85.260,0.000
1775612536.925714,0.0,1751,201655,85.258,0.004
1775612539.928115,0.0,1770,201656,79.936,0.000
1775612542.931166,0.0,1757,201656,70.595,0.000
1775612545.935181,0.0,1755,201657,70.572,1.186
1775612548.938592,0.0,1774,201657,71.918,0.000
1775612551.941045,0.0,1751,201657,73.273,0.013
1775612554.943974,0.0,1742,201658,69.266,0.007
1775612557.947103,0.0,1773,201658,75.921,0.008
1775612560.949472,0.0,1769,201658,85.266,0.000
1775612563.952088,0.0,1754,201659,85.259,0.807
1775612566.954721,0.0,1753,201659,79.930,0.000
1775612569.958418,0.0,1773,201659,71.911,0.009
1775612572.961015,0.0,1751,201660,69.273,0.000
1775612575.964279,0.0,1752,201660,74.586,0.397
1775612578.967567,0.0,1756,201661,69.257,0.010
1775612581.971257,0.0,1782,201661,70.580,0.004
1775612584.973801,0.0,1754,201661,75.936,0.008
1775612587.976633,0.0,1760,201661,85.253,0.000
1775612590.979277,0.0,1774,201662,83.926,0.673
1775612593.981684,0.0,1744,201662,67.945,0.000
1775612596.985024,0.0,1746,201663,71.920,0.000
1775612599.988356,0.0,1775,201663,74.584,0.004
1775612602.990725,0.0,1744,201663,62.617,0.399
1775612605.994049,0.0,1754,201664,69.257,0.009
1775612608.997313,0.0,1778,201664,81.245,0.000
1775612611.999782,0.0,1782,201664,85.263,0.004
1775612615.002239,0.0,1758,201665,85.263,0.000
1775612618.004717,0.0,1750,201665,75.937,0.671
1775612621.008324,0.0,1776,201665,73.247,0.001
1775612624.011271,0.0,1752,201666,71.929,0.008
1775612627.015087,0.0,1748,201666,70.577,0.000
1775612630.018398,0.0,1778,201667,71.921,0.402
1775612633.021015,0.0,1762,201667,70.605,0.010
1775612636.023853,0.0,1753,201667,77.260,0.000
1775612639.026288,0.0,1776,201667,85.264,0.004
1775612642.028610,0.0,1763,201668,82.603,0.000
1775612645.031204,0.0,1756,201668,70.606,0.000
1775612648.035040,0.0,1756,201669,67.913,0.004
1775612651.038838,0.0,1761,201669,69.246,0.007
1775612654.041172,0.0,1752,201669,71.944,0.929
1775612657.044464,0.0,1751,201670,69.257,0.000
1775612660.047862,0.0,1777,201670,79.909,0.004
1775612663.051699,0.0,1745,201670,85.224,0.000
1775612666.054181,0.0,1745,201670,85.263,0.543
1775612669.056600,0.0,1770,201671,79.936,0.000
1775612672.059044,0.0,1745,201671,67.945,0.000
1775612675.062291,0.0,1749,201672,70.590,0.004
1775612678.065576,0.0,1771,201672,62.598,0.402
1775612681.067955,0.0,1743,201672,66.614,0.010
1775612684.071532,0.0,1772,201672,78.573,0.000
1775612687.074196,0.0,1771,201673,85.258,0.407
1775612690.076537,0.0,1747,201673,81.270,0.131
1775612693.145310,0.0,1747,201674,69.083,0.017
1775612696.149059,0.0,1780,201674,71.910,0.000
1775612699.151898,0.0,1749,201674,62.607,0.000
1775612702.155469,0.0,1748,201675,73.246,0.411
