step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.932498,0.503812,0.001702,128.000000,0.196842,66.235518,115.653938,1.932498,0.001702
2,1.528601,0.564706,0.001247,128.000000,0.196842,83.736706,157.871971,3.461099,0.002949
3,1.701493,0.499417,0.001190,128.000000,0.196842,75.228051,165.415693,5.162592,0.004139
4,1.680552,0.499078,0.028360,128.000000,0.196842,76.165438,6.940862,6.843144,0.032499
5,1.627128,0.493257,0.103877,128.000000,0.196842,78.666216,1.894953,8.470272,0.136376
6,1.948003,0.500103,0.001287,128.000000,0.196842,65.708319,152.961513,10.418275,0.137663
7,2.079960,0.492480,0.001233,128.000000,0.196842,61.539634,159.680281,12.498235,0.138895
8,1.964418,0.503150,0.094187,128.000000,0.196842,65.159249,2.089918,14.462653,0.233082
9,2.112973,0.512421,0.001220,128.000000,0.196842,60.578147,161.409566,16.575626,0.234301
10,2.394978,0.501957,0.001304,128.000000,0.196842,53.445168,150.927371,18.970604,0.235606
11,2.469697,0.509101,0.001291,128.000000,0.196842,51.828216,152.501947,21.440302,0.236896
12,2.323739,0.499456,0.077771,128.000000,0.196842,55.083630,2.531045,23.764041,0.314668
13,2.606065,0.507508,0.001228,128.000000,0.196842,49.116188,160.236358,26.370106,0.315896
14,2.465273,0.508167,0.001329,128.000000,0.196842,51.921234,148.087496,28.835379,0.317225
15,2.351946,0.522855,0.001222,128.000000,0.196842,54.423018,161.079751,31.187325,0.318447
16,2.335520,0.509855,0.039636,128.000000,0.196842,54.805788,4.966205,33.522845,0.358084
17,2.347336,0.506813,0.001235,128.000000,0.196842,54.529894,159.360326,35.870181,0.359319
18,2.403410,0.518582,0.001517,128.000000,0.196842,53.257670,129.720090,38.273591,0.360836
19,2.413017,0.515701,0.001240,128.000000,0.196842,53.045621,158.765855,40.686608,0.362076
20,2.430522,0.513469,0.001232,128.000000,0.196842,52.663589,159.724594,43.117130,0.363308
21,2.377286,0.520155,0.001332,128.000000,0.196842,53.842905,147.792739,45.494416,0.364640
22,2.422186,0.518356,0.001238,128.000000,0.196842,52.844833,159.045635,47.916602,0.365878
23,2.414834,0.525261,0.001243,128.000000,0.196842,53.005721,158.303137,50.331436,0.367121
24,2.411625,0.520684,0.001225,128.000000,0.196842,53.076236,160.639510,52.743061,0.368347
25,2.366628,0.524807,0.001242,128.000000,0.196842,54.085382,158.481316,55.109689,0.369589
26,2.448362,0.524025,0.001372,128.000000,0.196842,52.279856,143.490230,57.558051,0.370961
27,2.354485,0.532465,0.001271,128.000000,0.196842,54.364321,154.911884,59.912537,0.372231
28,2.353073,0.520101,0.001330,128.000000,0.196842,54.396952,148.013001,62.265610,0.373561
29,2.369661,0.527777,0.001284,128.000000,0.196842,54.016174,153.284669,64.635270,0.374845
30,2.138598,0.531668,0.219158,128.000000,0.196842,59.852304,0.898177,66.773868,0.594003
31,2.449703,0.532944,0.001342,128.000000,0.196842,52.251227,146.665559,69.223571,0.595345
32,2.303090,0.534120,0.024597,128.000000,0.196842,55.577496,8.002707,71.526662,0.619942
33,2.294437,0.534090,0.082910,128.000000,0.196842,55.787099,2.374157,73.821099,0.702852
34,2.389688,0.530459,0.017900,128.000000,0.196842,53.563471,10.996693,76.210787,0.720752
35,2.232732,0.536112,0.105617,128.000000,0.196842,57.328876,1.863737,78.443519,0.826369
36,2.365726,0.530635,0.001455,128.000000,0.196842,54.106009,135.318538,80.809245,0.827824
37,2.423990,0.533304,0.001270,128.000000,0.196842,52.805508,155.019853,83.233235,0.829094
38,2.409772,0.529083,0.001215,128.000000,0.196842,53.117060,162.022838,85.643007,0.830309
39,2.391264,0.528377,0.001264,128.000000,0.196842,53.528172,155.769142,88.034271,0.831572
40,2.374879,0.530054,0.001187,128.000000,0.196842,53.897472,165.767012,90.409150,0.832760
41,2.426386,1.664738,0.001356,128.000000,0.196842,52.753353,145.215156,92.835536,0.834115
42,2.234829,1.668231,0.001364,128.000000,0.196842,57.275066,144.315104,95.070366,0.835479
43,2.284707,0.534651,0.090103,128.000000,0.196842,56.024678,2.184635,97.355073,0.925582
