step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.869347,0.496671,0.001667,128.000000,0.196842,68.473106,118.054860,1.869347,0.001667
2,1.522094,0.503687,0.001310,128.000000,0.196842,84.094670,150.215235,3.391441,0.002978
3,1.630991,0.496653,0.032470,128.000000,0.196842,78.479916,6.062319,5.022432,0.035448
4,1.721280,0.497221,0.001191,128.000000,0.196842,74.363266,165.225889,6.743712,0.036639
5,1.496247,0.516205,0.167621,128.000000,0.196842,85.547387,1.174328,8.239958,0.204260
6,1.937025,0.493857,0.071969,128.000000,0.196842,66.080714,2.735101,10.176983,0.276229
7,1.976925,0.491603,0.001406,128.000000,0.196842,64.747032,139.984137,12.153908,0.277635
8,2.011535,0.513986,0.018680,128.000000,0.196842,63.632998,10.537759,14.165443,0.296315
9,1.935839,0.502051,0.129448,128.000000,0.196842,66.121206,1.520629,16.101282,0.425763
10,2.376681,0.499862,0.001315,128.000000,0.196842,53.856628,149.718459,18.477962,0.427078
11,2.427233,0.506982,0.001269,128.000000,0.196842,52.734941,155.118314,20.905196,0.428346
12,2.318553,0.506385,0.004487,128.000000,0.196842,55.206839,43.865054,23.223749,0.432834
13,2.308081,0.506805,0.047115,128.000000,0.196842,55.457330,4.177883,25.531830,0.479949
14,2.188723,0.508868,0.265303,128.000000,0.196842,58.481576,0.741954,27.720553,0.745252
15,2.247188,0.512309,0.073231,128.000000,0.196842,56.960070,2.687967,29.967742,0.818483
16,2.340008,0.513762,0.030413,128.000000,0.196842,54.700676,6.472234,32.307749,0.848896
17,2.434727,0.517636,0.001306,128.000000,0.196842,52.572634,150.688320,34.742476,0.850202
18,2.405513,0.518056,0.001260,128.000000,0.196842,53.211107,156.191609,37.147989,0.851463
19,2.360404,0.521214,0.001420,128.000000,0.196842,54.228001,138.667844,39.508393,0.852882
20,2.277730,0.528090,0.087983,128.000000,0.196842,56.196296,2.237265,41.786123,0.940865
21,2.372322,0.527441,0.012530,128.000000,0.196842,53.955575,15.709499,44.158445,0.953396
22,2.295731,0.529705,0.035833,128.000000,0.196842,55.755666,5.493371,46.454176,0.989228
23,2.313831,0.528909,0.022559,128.000000,0.196842,55.319518,8.725767,48.768007,1.011787
24,2.359518,0.531173,0.001262,128.000000,0.196842,54.248362,155.968719,51.127525,1.013049
