timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1775957601.055407,0.0,1446,201895,0.000,0.000
1775957604.064425,0.0,1779,201585,80.651,0.000
1775957607.068405,0.0,1829,201585,101.199,0.135
1775957610.071992,0.0,1832,201585,85.231,0.018
1775957613.074764,0.0,1789,201586,85.255,0.000
1775957616.077813,0.0,1791,201587,89.243,0.017
1775957619.081255,0.0,1791,201587,87.899,0.004
1775957622.084686,0.0,1793,201587,83.904,0.000
1775957625.088104,0.0,1719,201588,83.904,0.004
1775957628.091617,0.0,1719,201588,83.902,0.000
1775957631.095036,0.0,1720,201588,82.573,0.004
1775957634.097545,0.0,1718,201589,85.262,0.000
1775957637.100079,0.0,1718,201589,85.261,0.004
1775957640.102590,0.0,1721,201589,71.940,0.000
1775957643.105956,0.0,1721,201590,70.587,1.450
1775957646.109687,0.0,1721,201590,67.916,0.009
1775957649.113139,0.0,1723,201591,73.249,0.000
1775957652.116580,0.0,1723,201591,75.913,0.008
1775957655.120026,0.0,1723,201591,69.254,0.000
1775957658.123467,0.0,1724,201591,82.572,0.004
1775957661.126014,0.0,1724,201592,85.261,0.000
1775957664.128535,0.0,1725,201592,85.262,0.004
1775957667.131081,0.0,1721,201593,77.268,0.000
1775957670.133636,0.0,1720,201593,70.607,0.000
1775957673.137046,0.0,1721,201593,69.255,1.193
1775957676.140852,0.0,1721,201594,69.245,0.000
1775957679.144365,0.0,1719,201594,70.584,0.008
1775957682.147768,0.0,1720,201595,74.582,0.000
1775957685.151087,0.0,1721,201595,79.912,0.008
1775957688.153578,0.0,1722,201595,85.263,0.660
1775957691.156081,0.0,1724,201595,83.930,0.008
1775957694.158569,0.0,1723,201596,75.937,0.000
1775957697.161865,0.0,1720,201596,67.925,0.004
1775957700.165264,0.0,1720,201597,71.919,0.532
1775957703.168705,0.0,1721,201597,73.249,0.000
1775957706.172130,0.0,1721,201597,70.586,0.010
1775957709.175583,0.0,1722,201598,73.249,0.265
1775957712.179035,0.0,1724,201598,79.908,0.010
1775957715.181511,0.0,1724,201598,85.263,0.265
1775957718.184034,0.0,1724,201599,85.262,0.009
1775957721.186603,0.0,1725,201599,73.271,0.264
1775957724.190010,0.0,1725,201599,69.255,0.003
1775957727.193400,0.0,1726,201600,70.587,0.007
1775957730.196803,0.0,1726,201600,73.250,0.265
1775957733.200454,0.0,1727,201600,69.249,0.009
1775957736.203887,0.0,1726,201600,70.586,0.264
1775957739.206441,0.0,1726,201601,63.946,0.009
