step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.824295,0.496179,0.039607,128.000000,0.196842,70.164091,4.969822,1.824295,0.039607
2,1.493681,0.508801,0.001480,128.000000,0.196842,85.694312,133.018918,3.317976,0.041087
3,1.623889,0.501362,0.136067,128.000000,0.196842,78.823108,1.446651,4.941866,0.177155
4,1.700054,0.511404,0.001337,128.000000,0.196842,75.291716,147.180317,6.641920,0.178492
5,1.478349,0.495383,0.407190,128.000000,0.196842,86.583051,0.483416,8.120269,0.585682
6,1.932587,0.498398,0.014915,128.000000,0.196842,66.232470,13.197706,10.052856,0.600597
7,2.109200,0.500236,0.001214,128.000000,0.196842,60.686510,162.168066,12.162056,0.601811
8,2.127385,0.501367,0.001170,128.000000,0.196842,60.167771,168.202375,14.289441,0.602981
9,1.922032,0.510589,0.138563,128.000000,0.196842,66.596198,1.420593,16.211473,0.741544
10,2.338241,0.502415,0.001232,128.000000,0.196842,54.741995,159.760114,18.549714,0.742777
11,2.373655,0.505427,0.001289,128.000000,0.196842,53.925280,152.756749,20.923369,0.744065
12,2.357922,0.504610,0.036933,128.000000,0.196842,54.285087,5.329747,23.281291,0.780998
13,3.224065,0.505595,0.001341,128.000000,0.196842,39.701438,146.803490,26.505356,0.782339
14,2.638037,0.510068,0.181120,128.000000,0.196842,48.520924,1.086807,29.143393,0.963459
15,2.396606,0.513243,0.001253,128.000000,0.196842,53.408861,157.043080,31.539999,0.964712
16,2.440773,0.515307,0.001291,128.000000,0.196842,52.442404,152.502774,33.980772,0.966003
17,2.373816,0.518611,0.004278,128.000000,0.196842,53.921622,46.013679,36.354588,0.970281
18,2.461048,0.519351,0.001236,128.000000,0.196842,52.010353,159.253702,38.815636,0.971517
19,2.388805,0.522618,0.001233,128.000000,0.196842,53.583284,159.679504,41.204441,0.972749
20,2.259652,0.523709,0.048021,128.000000,0.196842,56.645884,4.099095,43.464093,1.020770
21,2.339183,0.527342,0.001373,128.000000,0.196842,54.719968,143.328181,45.803276,1.022144
22,2.451372,0.531657,0.119620,128.000000,0.196842,52.215664,1.645560,48.254647,1.141764
23,2.241825,0.534669,0.001260,128.000000,0.196842,57.096351,156.167569,50.496472,1.143024
24,2.371983,0.531048,0.012568,128.000000,0.196842,53.963291,15.662572,52.868455,1.155592
25,2.325668,0.533954,0.001265,128.000000,0.196842,55.037955,155.653235,55.194122,1.156857
26,2.323389,0.531547,0.029829,128.000000,0.196842,55.091933,6.598943,57.517512,1.186686
27,2.422715,0.535849,0.001279,128.000000,0.196842,52.833283,153.893093,59.940227,1.187965
28,2.422272,0.536818,0.001231,128.000000,0.196842,52.842955,159.930154,62.362499,1.189196
29,2.278687,0.536971,0.138627,128.000000,0.196842,56.172708,1.419946,64.641185,1.327822
30,2.468874,0.537075,0.001245,128.000000,0.196842,51.845494,158.166778,67.110059,1.329067
31,2.447786,0.545206,0.001303,128.000000,0.196842,52.292148,151.042834,69.557846,1.330370
32,2.235028,0.541358,0.088635,128.000000,0.196842,57.269970,2.220829,71.792874,1.419005
33,2.430591,0.541355,0.001239,128.000000,0.196842,52.662088,158.812737,74.223465,1.420244
34,2.285828,0.546161,0.073960,128.000000,0.196842,55.997204,2.661480,76.509293,1.494204
35,2.223643,0.540407,0.059318,128.000000,0.196842,57.563197,3.318444,78.732936,1.553521
36,2.179610,0.544008,0.149147,128.000000,0.196842,58.726090,1.319785,80.912547,1.702669
37,2.327240,0.536094,0.024809,128.000000,0.196842,55.000781,7.934351,83.239787,1.727477
38,2.440149,0.543861,0.013802,128.000000,0.196842,52.455812,14.261730,85.679936,1.741280
39,2.300319,0.542156,0.035269,128.000000,0.196842,55.644462,5.581214,87.980254,1.776548
40,2.349642,0.542219,0.001218,128.000000,0.196842,54.476390,161.667806,90.329896,1.777766
41,2.347397,1.693736,0.001376,128.000000,0.196842,54.528477,143.060886,92.677293,1.779142
42,2.383268,1.683114,0.001294,128.000000,0.196842,53.707768,152.062989,95.060561,1.780436
43,2.384363,0.540888,0.001228,128.000000,0.196842,53.683091,160.337511,97.444925,1.781664
44,2.395282,0.537931,0.001258,128.000000,0.196842,53.438377,156.512642,99.840207,1.782922
45,2.387278,0.538665,0.001236,128.000000,0.196842,53.617548,159.282052,102.227485,1.784157
46,2.213074,0.539367,0.084333,128.000000,0.196842,57.838099,2.334102,104.440559,1.868491
47,2.300154,0.538078,0.062577,128.000000,0.196842,55.648439,3.145592,106.740714,1.931068
48,2.151744,0.540612,0.178517,128.000000,0.196842,59.486629,1.102652,108.892458,2.109585
49,2.390399,0.538197,0.001362,128.000000,0.196842,53.547547,144.493605,111.282857,2.110947
50,2.314460,0.538939,0.001353,128.000000,0.196842,55.304475,145.537255,113.597317,2.112300
51,2.322371,0.537826,0.001292,128.000000,0.196842,55.116082,152.388844,115.919688,2.113591
52,2.336335,0.538811,0.319042,128.000000,0.196842,54.786664,0.616980,118.256023,2.432633
53,2.021731,0.536850,0.001434,128.000000,0.196842,63.312073,137.305356,120.277754,2.434067
54,2.393887,0.539053,0.001234,128.000000,0.196842,53.469531,159.518786,122.671641,2.435301
55,2.316502,0.534755,0.047453,128.000000,0.196842,55.255734,4.148164,124.988143,2.482753
56,2.363835,0.540423,0.001370,128.000000,0.196842,54.149301,143.670471,127.351977,2.484123
57,2.412367,0.541621,0.001340,128.000000,0.196842,53.059926,146.930383,129.764344,2.485463
58,2.404599,0.541846,0.001306,128.000000,0.196842,53.231321,150.713010,132.168943,2.486769
59,2.351231,0.541309,0.001243,128.000000,0.196842,54.439557,158.350383,134.520175,2.488012
60,2.332836,0.541819,0.012603,128.000000,0.196842,54.868848,15.618358,136.853010,2.500616
61,2.345033,0.537915,0.001216,128.000000,0.196842,54.583464,161.869882,139.198043,2.501832
62,2.376793,0.539012,0.001266,128.000000,0.196842,53.854083,155.440837,141.574836,2.503098
63,2.372102,0.544124,0.001260,128.000000,0.196842,53.960578,156.223715,143.946938,2.504358
64,2.276739,0.540069,0.034140,128.000000,0.196842,56.220750,5.765764,146.223677,2.538498
65,2.291923,0.541634,0.015999,128.000000,0.196842,55.848299,12.303368,148.515600,2.554497
66,2.354611,0.539197,0.001303,128.000000,0.196842,54.361421,151.031941,150.870211,2.555800
67,2.341345,0.536723,0.001228,128.000000,0.196842,54.669436,160.288028,153.211556,2.557028
68,2.297554,0.536576,0.016790,128.000000,0.196842,55.711411,11.724008,155.509111,2.573818
69,2.419416,0.541352,0.001792,128.000000,0.196842,52.905328,109.823218,157.928527,2.575610
70,2.347041,0.542440,0.036102,128.000000,0.196842,54.536762,5.452439,160.275567,2.611712
71,2.138178,0.541805,0.211286,128.000000,0.196842,59.864057,0.931639,162.413745,2.822998
72,2.355645,0.543387,0.001212,128.000000,0.196842,54.337558,162.447776,164.769390,2.824210
73,2.397140,0.543215,0.001387,128.000000,0.196842,53.396956,141.931874,167.166531,2.825596
74,2.411214,0.535167,0.001329,128.000000,0.196842,53.085287,148.134636,169.577745,2.826925
75,2.409063,0.538177,0.001236,128.000000,0.196842,53.132683,159.284888,171.986808,2.828161
76,2.350111,0.537449,0.001308,128.000000,0.196842,54.465505,150.452900,174.336920,2.829469
77,2.220995,0.542211,0.199064,128.000000,0.196842,57.631827,0.988838,176.557915,3.028533
78,2.351075,0.542170,0.010900,128.000000,0.196842,54.443175,18.058516,178.908990,3.039434
79,2.394872,0.541289,0.001247,128.000000,0.196842,53.447531,157.791610,181.303862,3.040681
80,2.385389,0.540863,0.001301,128.000000,0.196842,53.660017,151.283012,183.689251,3.041982
81,2.258182,0.541672,0.162069,128.000000,0.196842,56.682757,1.214559,185.947433,3.204051
82,2.229732,0.536742,0.169408,128.000000,0.196842,57.406007,1.161944,188.177165,3.373459
83,2.161273,0.537317,0.166551,128.000000,0.196842,59.224362,1.181871,190.338438,3.540010
84,2.268215,0.534455,0.061778,128.000000,0.196842,56.432036,3.186272,192.606653,3.601788
85,2.324959,0.538861,0.001190,128.000000,0.196842,55.054735,165.423339,194.931612,3.602978
86,2.432126,0.537843,0.001230,128.000000,0.196842,52.628845,160.044193,197.363738,3.604208
87,2.351892,0.539890,0.001385,128.000000,0.196842,54.424265,142.082780,199.715630,3.605594
88,2.324917,0.540643,0.001201,128.000000,0.196842,55.055730,163.947176,202.040547,3.606794
89,2.308854,0.535549,0.021724,128.000000,0.196842,55.438770,9.061249,204.349401,3.628518
90,2.305436,0.540899,0.001277,128.000000,0.196842,55.520943,154.116843,206.654837,3.629795
91,2.316770,0.541163,0.011385,128.000000,0.196842,55.249326,17.289938,208.971607,3.641180
92,2.330459,0.541992,0.038763,128.000000,0.196842,54.924813,5.078037,211.302066,3.679943
93,2.384121,0.539453,0.001333,128.000000,0.196842,53.688556,147.695265,213.686187,3.681276
94,2.217178,0.544510,0.104229,128.000000,0.196842,57.731033,1.888559,215.903365,3.785505
95,2.345875,0.543042,0.001198,128.000000,0.196842,54.563862,164.279801,218.249240,3.786703
96,2.419888,0.536122,0.001245,128.000000,0.196842,52.895010,158.092846,220.669128,3.787948
97,2.232560,0.541295,0.057379,128.000000,0.196842,57.333284,3.430576,222.901688,3.845327
98,2.362748,0.543513,0.001281,128.000000,0.196842,54.174200,153.606316,225.264437,3.846608
99,2.314119,0.540576,0.032284,128.000000,0.196842,55.312626,6.097222,227.578556,3.878892
100,2.193975,0.537602,0.132067,128.000000,0.196842,58.341599,1.490471,229.772530,4.010959
101,2.338037,0.540369,0.001182,128.000000,0.196842,54.746778,166.514141,232.110567,4.012142
102,2.399341,0.541254,0.001282,128.000000,0.196842,53.347978,153.548682,234.509909,4.013423
103,2.424946,0.541812,0.001327,128.000000,0.196842,52.784690,148.293777,236.934854,4.014751
104,2.422981,0.542338,0.001252,128.000000,0.196842,52.827493,157.182904,239.357835,4.016003
105,2.321104,0.543418,0.010264,128.000000,0.196842,55.146175,19.178178,241.678939,4.026267
106,2.433749,0.543805,0.001308,128.000000,0.196842,52.593752,150.509960,244.112688,4.027575
107,2.354020,0.538255,0.001238,128.000000,0.196842,54.375068,159.040880,246.466708,4.028813
108,2.408861,0.537386,0.001297,128.000000,0.196842,53.137155,151.805343,248.875569,4.030109
109,2.314935,0.540902,0.040265,128.000000,0.196842,55.293131,4.888652,251.190504,4.070374
110,2.386990,0.539160,0.001306,128.000000,0.196842,53.624017,150.708395,253.577494,4.071680
111,2.261116,0.537883,0.050630,128.000000,0.196842,56.609217,3.887866,255.838610,4.122310
112,2.352214,0.542233,0.001302,128.000000,0.196842,54.416820,151.163466,258.190824,4.123613
113,2.385095,0.537471,0.001473,128.000000,0.196842,53.666624,133.651680,260.575919,4.125085
114,2.362313,0.542147,0.001262,128.000000,0.196842,54.184182,155.944624,262.938232,4.126348
115,2.413254,0.542529,0.001252,128.000000,0.196842,53.040414,157.228855,265.351486,4.127600
116,2.398539,0.540023,0.001388,128.000000,0.196842,53.365822,141.812136,267.750025,4.128988
117,2.323037,0.538509,0.001295,128.000000,0.196842,55.100280,152.050186,270.073062,4.130282
118,2.359610,0.542114,0.001310,128.000000,0.196842,54.246259,150.292996,272.432672,4.131592
119,2.387217,0.542176,0.001378,128.000000,0.196842,53.618914,142.817482,274.819889,4.132970
120,2.494989,0.540612,0.001320,128.000000,0.196842,51.302832,149.128071,277.314878,4.134290
121,2.377227,0.533938,0.001227,128.000000,0.196842,53.844258,160.396042,279.692105,4.135517
122,2.290528,0.539436,0.001261,128.000000,0.196842,55.882300,156.144404,281.982633,4.136778
123,2.342431,0.534661,0.001297,128.000000,0.196842,54.644078,151.740162,284.325064,4.138075
124,2.386161,0.538806,0.001237,128.000000,0.196842,53.642649,159.126121,286.711225,4.139312
125,2.327086,0.540609,0.001246,128.000000,0.196842,55.004408,157.977006,289.038312,4.140558
126,2.356884,0.535098,0.001247,128.000000,0.196842,54.308994,157.850069,291.395196,4.141805
127,2.416839,0.532713,0.001276,128.000000,0.196842,52.961751,154.257305,293.812034,4.143081
128,2.339605,0.537590,0.001231,128.000000,0.196842,54.710086,159.904820,296.151639,4.144312
129,2.398300,0.537542,0.001312,128.000000,0.196842,53.371129,149.998776,298.549940,4.145625
130,2.382231,0.541674,0.001257,128.000000,0.196842,53.731137,156.619365,300.932171,4.146881
131,2.371851,0.543340,0.001206,128.000000,0.196842,53.966289,163.167653,303.304022,4.148088
132,2.345452,0.542363,0.004774,128.000000,0.196842,54.573699,41.233012,305.649474,4.152862
133,2.369963,0.539394,0.001242,128.000000,0.196842,54.009289,158.466516,308.019437,4.154104
134,2.353400,0.536818,0.001273,128.000000,0.196842,54.389383,154.576497,310.372838,4.155377
135,2.323296,0.542711,0.070202,128.000000,0.196842,55.094140,2.803943,312.696134,4.225579
136,2.437779,0.538832,0.001290,128.000000,0.196842,52.506807,152.584697,315.133913,4.226869
137,2.354238,0.537035,0.005500,128.000000,0.196842,54.370042,35.792737,317.488150,4.232369
138,2.379648,0.542417,0.003203,128.000000,0.196842,53.789464,61.460867,319.867799,4.235572
139,2.360393,0.543305,0.001254,128.000000,0.196842,54.228262,156.942160,322.228191,4.236826
140,2.212871,0.539799,0.136630,128.000000,0.196842,57.843414,1.440693,324.441062,4.373456
141,2.025433,0.537764,0.219999,128.000000,0.196842,63.196369,0.894741,326.466495,4.593455
142,2.393552,0.541932,0.001371,128.000000,0.196842,53.477001,143.536792,328.860047,4.594826
143,2.380260,0.540523,0.001262,128.000000,0.196842,53.775647,155.944624,331.240307,4.596089
144,2.183425,0.540774,0.090826,128.000000,0.196842,58.623489,2.167249,333.423732,4.686914
145,2.223381,0.542081,0.118309,128.000000,0.196842,57.569992,1.663796,335.647113,4.805224
146,2.357143,0.538696,0.001263,128.000000,0.196842,54.303027,155.878926,338.004256,4.806486
147,2.324713,0.541501,0.018140,128.000000,0.196842,55.060555,10.851227,340.328969,4.824626
148,2.429528,0.543751,0.001265,128.000000,0.196842,52.685134,155.620994,342.758497,4.825891
149,2.267518,0.542743,0.117452,128.000000,0.196842,56.449390,1.675938,345.026015,4.943343
150,2.309955,0.539204,0.048061,128.000000,0.196842,55.412344,4.095705,347.335969,4.991404
151,2.441022,0.536088,0.001261,128.000000,0.196842,52.437062,156.157782,349.776991,4.992665
152,2.349227,0.539948,0.001289,128.000000,0.196842,54.486009,152.669549,352.126218,4.993954
153,2.366812,0.534325,0.001253,128.000000,0.196842,54.081177,157.133968,354.493030,4.995207
154,2.251398,0.539774,0.096200,128.000000,0.196842,56.853560,2.046181,356.744428,5.091406
155,2.222166,0.537532,0.135680,128.000000,0.196842,57.601457,1.450783,358.966594,5.227086
156,2.385789,0.540905,0.001321,128.000000,0.196842,53.651012,149.028264,361.352383,5.228407
157,2.341975,0.537813,0.001252,128.000000,0.196842,54.654726,157.238526,363.694358,5.229659
158,2.360494,0.539615,0.001324,128.000000,0.196842,54.225933,148.689197,366.054853,5.230983
159,2.365955,0.538551,0.001268,128.000000,0.196842,54.100776,155.197198,368.420808,5.232251
160,2.458974,0.540376,0.001324,128.000000,0.196842,52.054224,148.681335,370.879782,5.233575
161,2.408253,0.539894,0.001302,128.000000,0.196842,53.150551,151.200622,373.288035,5.234877
162,2.422936,0.540245,0.001417,128.000000,0.196842,52.828471,138.890829,375.710971,5.236294
163,2.369789,0.542430,0.001235,128.000000,0.196842,54.013239,159.383423,378.080761,5.237529
164,2.086830,0.538918,0.295307,128.000000,0.196842,61.337038,0.666568,380.167591,5.532836
165,2.382028,0.542059,0.001233,128.000000,0.196842,53.735718,159.638193,382.549619,5.534069
166,2.321454,0.542375,0.001444,128.000000,0.196842,55.137868,136.355552,384.871073,5.535513
167,2.397600,0.545506,0.001313,128.000000,0.196842,53.386716,149.937877,387.268673,5.536826
168,2.252403,0.542748,0.046455,128.000000,0.196842,56.828205,4.237263,389.521076,5.583281
169,2.411585,0.541203,0.001430,128.000000,0.196842,53.077127,137.613487,391.932661,5.584711
170,2.313703,0.538393,0.022886,128.000000,0.196842,55.322563,8.601000,394.246364,5.607597
171,2.404567,0.540017,0.001283,128.000000,0.196842,53.232030,153.441317,396.650931,5.608880
172,2.414825,0.540455,0.001292,128.000000,0.196842,53.005902,152.411852,399.065757,5.610171
173,2.237068,0.536519,0.113136,128.000000,0.196842,57.217746,1.739869,401.302825,5.723308
174,2.347359,0.539470,0.012559,128.000000,0.196842,54.529365,15.673990,403.650184,5.735866
