timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1776000426.884104,0.0,1423,201895,0.000,0.000
1776000429.887525,0.0,1756,201585,83.489,0.000
1776000432.890815,0.0,1831,201585,98.559,0.000
1776000435.893407,0.0,1836,201585,85.260,0.159
1776000438.896059,0.0,1840,201586,85.258,0.000
1776000441.898620,0.0,1808,201587,87.925,0.005
1776000444.901987,0.0,1811,201587,85.238,0.004
1776000447.905407,0.0,1812,201587,85.236,0.000
1776000450.908786,0.0,1742,201587,82.574,0.004
1776000453.911279,0.0,1741,201588,85.262,0.000
1776000456.913656,0.0,1742,201588,85.266,0.004
1776000459.916102,0.0,1742,201589,85.264,0.000
1776000462.918567,0.0,1741,201589,77.270,0.004
1776000465.922095,0.0,1741,201589,50.607,0.001
1776000468.925779,0.0,1741,201590,63.921,1.460
1776000471.929740,0.0,1741,201590,63.916,0.010
1776000474.932162,0.0,1742,201590,85.264,0.000
1776000477.934593,0.0,1742,201591,85.264,0.004
1776000480.936940,0.0,1742,201591,74.608,0.000
1776000483.940926,0.0,1742,201591,73.236,0.000
1776000486.944301,0.0,1741,201592,66.592,0.004
1776000489.947726,0.0,1742,201592,73.250,0.000
1776000492.951290,0.0,1742,201593,74.578,0.004
1776000495.954476,0.0,1743,201593,67.928,0.000
1776000498.957290,0.0,1743,201593,81.257,0.004
1776000501.959811,0.0,1743,201593,85.262,1.189
1776000504.962285,0.0,1744,201594,85.263,0.010
1776000507.964802,0.0,1741,201594,75.936,0.000
1776000510.968274,0.0,1741,201595,75.912,0.000
1776000513.971704,0.0,1742,201595,69.254,0.004
1776000516.975133,0.0,1741,201595,69.254,0.000
1776000519.978583,0.0,1742,201596,70.585,0.004
1776000522.981974,0.0,1742,201596,69.255,0.000
1776000525.985247,0.0,1743,201596,81.245,0.004
1776000528.987706,0.0,1743,201597,85.263,0.000
1776000531.990218,0.0,1744,201597,85.262,1.327
1776000534.992748,0.0,1745,201597,70.607,0.000
1776000537.996204,0.0,1744,201598,70.585,0.000
1776000540.999603,0.0,1745,201598,71.919,0.008
1776000544.002993,0.0,1745,201599,74.582,0.000
1776000547.006390,0.0,1736,201599,71.919,0.004
1776000550.009831,0.0,1737,201599,71.918,0.000
1776000553.012724,0.0,1733,201599,79.923,0.004
1776000556.015212,0.0,1733,201600,85.263,0.000
1776000559.017704,0.0,1734,201600,85.263,0.004
1776000562.020265,0.0,1734,201600,74.603,0.000
1776000565.024224,0.0,1734,201601,13.316,0.000
1776000568.027633,0.0,1733,201601,82.573,1.324
1776000571.030157,0.0,1734,201601,51.956,0.000
1776000574.050094,0.0,1734,201602,74.174,0.012
1776000577.053482,0.0,1732,201602,67.923,0.000
1776000580.056650,0.0,1734,201602,74.588,0.012
1776000583.059981,0.0,1734,201603,73.252,0.000
1776000586.063254,0.0,1735,201603,83.908,0.004
1776000589.065828,0.0,1735,201603,85.260,0.000
1776000592.068385,0.0,1735,201604,85.261,0.004
1776000595.070971,0.0,1735,201604,74.602,0.000
1776000598.074319,0.0,1734,201604,74.583,0.000
1776000601.078064,0.0,1734,201605,69.247,0.004
1776000604.081404,0.0,1734,201605,74.584,1.319
1776000607.084738,0.0,1735,201606,73.252,0.009
1776000610.088041,0.0,1735,201606,67.925,0.000
