timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1776023734.346330,0.0,1421,201895,0.000,0.000
1776023737.350575,0.0,1800,201585,71.459,0.000
1776023740.355179,0.0,1811,201585,110.497,0.000
1776023743.357586,0.0,1814,201585,85.265,0.018
1776023746.360071,0.0,1813,201586,85.263,0.398
1776023749.362541,0.0,1778,201587,91.924,0.022
1776023752.365910,0.0,1779,201587,83.906,0.004
1776023755.369226,0.0,1703,201587,82.575,0.000
1776023758.372499,0.0,1704,201588,89.236,0.004
1776023761.375737,0.0,1703,201588,82.578,0.000
1776023764.379152,0.0,1697,201589,81.241,0.004
1776023767.382480,0.0,1698,201589,85.239,0.000
1776023770.385010,0.0,1698,201589,85.261,0.004
1776023773.387710,0.0,1699,201589,78.596,0.000
1776023776.391865,0.0,1700,201590,70.569,0.000
1776023779.395177,0.0,1700,201590,63.929,1.324
1776023782.398426,0.0,1700,201591,75.918,0.000
1776023785.401761,0.0,1700,201591,71.920,0.008
1776023788.405053,0.0,1701,201591,74.585,0.000
1776023791.408367,0.0,1700,201592,75.916,0.008
1776023794.411335,0.0,1702,201592,85.249,0.000
1776023797.413950,0.0,1701,201592,85.259,0.004
1776023800.416592,0.0,1701,201593,82.594,0.000
1776023803.420070,0.0,1702,201593,69.253,0.000
1776023806.423388,0.0,1702,201593,73.252,0.004
1776023809.427124,0.0,1702,201594,70.579,1.317
1776023812.430417,0.0,1695,201594,67.925,0.009
1776023815.433792,0.0,1694,201595,75.915,0.000
1776023818.437050,0.0,1695,201595,71.922,0.008
1776023821.440458,0.0,1697,201595,85.237,0.000
1776023824.442920,0.0,1697,201595,85.263,0.004
1776023827.445270,0.0,1697,201596,85.267,0.000
1776023830.447596,0.0,1696,201596,77.273,0.000
1776023833.451493,0.0,1697,201597,71.907,0.004
1776023836.455650,0.0,1698,201597,67.906,0.000
1776023839.458959,0.0,1698,201597,75.916,0.004
1776023842.462274,0.0,1700,201598,71.921,0.000
1776023845.465565,0.0,1701,201598,70.589,1.328
1776023848.468920,0.0,1702,201599,75.915,0.000
1776023851.472447,0.0,1702,201599,85.233,0.008
1776023854.474928,0.0,1703,201599,85.263,0.000
1776023857.477325,0.0,1703,201599,82.601,0.000
1776023860.480774,0.0,1704,201600,71.917,0.004
1776023863.484220,0.0,1704,201600,73.249,0.000
1776023866.487676,0.0,1704,201600,67.922,0.004
1776023869.491115,0.0,1699,201600,45.281,0.000
1776023872.493571,0.0,1699,201601,85.264,0.004
1776023875.496086,0.0,1699,201601,23.980,0.000
1776023878.499666,0.0,1699,201602,69.251,1.187
1776023881.503646,0.0,1700,201602,77.231,0.009
1776023884.506963,0.0,1701,201602,85.239,0.000
1776023887.509444,0.0,1702,201602,85.263,0.009
1776023890.511863,0.0,1702,201603,81.268,0.000
1776023893.514991,0.0,1703,201603,71.925,0.000
1776023896.518518,0.0,1704,201604,70.584,0.004
1776023899.522246,0.0,1699,201604,71.911,0.000
1776023902.525647,0.0,1699,201604,70.587,0.004
1776023905.529052,0.0,1700,201605,71.918,0.000
1776023908.532470,0.0,1700,201605,73.250,0.004
1776023911.535788,0.0,1701,201605,85.239,1.319
1776023914.538314,0.0,1702,201606,85.262,0.009
1776023917.540756,0.0,1703,201606,85.264,0.000
1776023920.543515,0.0,1700,201606,71.934,0.005
1776023923.547067,0.0,1700,201607,69.251,0.004
1776023926.550568,0.0,1701,201607,67.921,0.000
1776023929.553999,0.0,1702,201608,73.250,0.004
