step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.985460,0.496669,0.061151,128.000000,0.196842,64.468673,3.218932,1.985460,0.061151
2,1.525623,0.496871,0.001345,128.000000,0.196842,83.900132,146.304626,3.511084,0.062497
3,1.654580,0.492966,0.011357,128.000000,0.196842,77.361042,17.332424,5.165663,0.073854
4,1.711867,0.502564,0.008241,128.000000,0.196842,74.772184,23.884871,6.877530,0.082095
5,1.469909,0.494625,0.378453,128.000000,0.196842,87.080242,0.520123,8.347439,0.460548
6,1.889807,0.496528,0.057776,128.000000,0.196842,67.731795,3.406971,10.237245,0.518324
7,2.226275,0.497980,0.001473,128.000000,0.196842,57.495140,133.654765,12.463520,0.519797
8,2.061776,0.500922,0.001326,128.000000,0.196842,62.082396,148.500746,14.525297,0.521122
9,2.090727,0.500244,0.001232,128.000000,0.196842,61.222728,159.731723,16.616023,0.522355
10,2.378797,0.501983,0.001360,128.000000,0.196842,53.808701,144.711476,18.994821,0.523715
11,2.347162,0.497282,0.001324,128.000000,0.196842,54.533955,148.616901,21.341982,0.525039
12,2.317185,0.500374,0.092753,128.000000,0.196842,55.239435,2.122225,23.659167,0.617792
13,2.508784,0.506004,0.059437,128.000000,0.196842,51.020725,3.311766,26.167952,0.677229
14,2.786388,0.508623,0.001395,128.000000,0.196842,45.937607,141.123522,28.954340,0.678624
15,2.319779,0.508301,0.028018,128.000000,0.196842,55.177662,7.025548,31.274119,0.706642
16,2.380408,0.514345,0.001370,128.000000,0.196842,53.772298,143.672673,33.654527,0.708012
17,2.275612,0.512044,0.073867,128.000000,0.196842,56.248616,2.664809,35.930139,0.781880
18,2.471736,0.516645,0.001264,128.000000,0.196842,51.785464,155.768279,38.401875,0.783143
19,2.314834,0.514863,0.020927,128.000000,0.196842,55.295545,9.406210,40.716709,0.804070
20,2.405860,0.521044,0.001419,128.000000,0.196842,53.203430,138.704877,43.122569,0.805489
21,2.436404,0.523418,0.001287,128.000000,0.196842,52.536439,152.909231,45.558973,0.806777
22,2.403073,0.523180,0.001245,128.000000,0.196842,53.265140,158.139459,47.962045,0.808021
23,2.307548,0.530040,0.001179,128.000000,0.196842,55.470130,166.919814,50.269594,0.809201
24,2.410471,0.530555,0.001237,128.000000,0.196842,53.101654,159.091782,52.680065,0.810438
25,2.373191,0.535876,0.001361,128.000000,0.196842,53.935810,144.619616,55.053256,0.811799
