step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,1.981933,0.495289,0.006379,128.000000,0.196842,64.583416,30.856757,1.981933,0.006379
2,1.548089,0.498443,0.001506,128.000000,0.196842,82.682608,130.729006,3.530022,0.007885
3,1.615425,0.496258,0.001207,128.000000,0.196842,79.236119,163.071139,5.145446,0.009092
4,1.780083,0.497354,0.001315,128.000000,0.196842,71.906759,149.740098,6.925529,0.010407
5,1.554012,0.501464,0.233125,128.000000,0.196842,82.367429,0.844365,8.479542,0.243531
6,1.830788,0.501255,0.114937,128.000000,0.196842,69.915235,1.712617,10.310330,0.358468
7,1.998574,0.499427,0.018572,128.000000,0.196842,64.045665,10.598845,12.308904,0.377040
8,2.032234,0.499809,0.001239,128.000000,0.196842,62.984882,158.835291,14.341138,0.378279
9,1.979701,0.494726,0.188388,128.000000,0.196842,64.656233,1.044877,16.320839,0.566667
10,2.339047,0.498636,0.001228,128.000000,0.196842,54.723138,160.292335,18.659886,0.567895
11,2.481346,0.503977,0.001391,128.000000,0.196842,51.584909,141.504772,21.141232,0.569286
12,2.452644,0.501488,0.001361,128.000000,0.196842,52.188568,144.637894,23.593876,0.570647
13,2.472886,0.502760,0.001202,128.000000,0.196842,51.761376,163.797791,26.066762,0.571849
14,2.405101,0.502676,0.001358,128.000000,0.196842,53.220229,144.970032,28.471863,0.573207
15,2.425228,0.505491,0.001234,128.000000,0.196842,52.778536,159.565984,30.897091,0.574440
16,2.389025,0.514302,0.001298,128.000000,0.196842,53.578336,151.631572,33.286117,0.575738
17,2.399735,0.511728,0.001261,128.000000,0.196842,53.339230,156.089800,35.685851,0.576999
18,2.415293,0.523393,0.001248,128.000000,0.196842,52.995641,157.711710,38.101144,0.578248
19,2.387022,0.520881,0.001372,128.000000,0.196842,53.623312,143.468163,40.488166,0.579620
20,2.349427,0.526294,0.001246,128.000000,0.196842,54.481359,158.010104,42.837593,0.580865
21,2.335088,0.527646,0.034163,128.000000,0.196842,54.815929,5.761931,45.172681,0.615028
22,2.431335,0.527125,0.001373,128.000000,0.196842,52.645982,143.315450,47.604016,0.616401
23,2.341691,0.524232,0.018968,128.000000,0.196842,54.661345,10.377590,49.945707,0.635369
24,2.431818,0.530768,0.001365,128.000000,0.196842,52.635510,144.206841,52.377525,0.636734
25,2.239761,0.530806,0.101378,128.000000,0.196842,57.148953,1.941664,54.617286,0.738112
26,2.197135,0.529748,0.167245,128.000000,0.196842,58.257686,1.176968,56.814421,0.905358
27,2.338457,0.539891,0.026818,128.000000,0.196842,54.736950,7.339956,59.152878,0.932175
28,2.389315,0.531887,0.001241,128.000000,0.196842,53.571841,158.668593,61.542193,0.933416
29,2.243696,0.535931,0.079707,128.000000,0.196842,57.048737,2.469572,63.785889,1.013123
30,2.329561,0.533675,0.008694,128.000000,0.196842,54.945966,22.641006,66.115450,1.021817
31,2.198265,0.549120,0.178863,128.000000,0.196842,58.227727,1.100518,68.313716,1.200680
32,2.388641,0.543273,0.001260,128.000000,0.196842,53.586961,156.254594,70.702356,1.201940
33,2.410419,0.546262,0.001253,128.000000,0.196842,53.102797,157.133090,73.112776,1.203193
34,2.333404,0.544291,0.017584,128.000000,0.196842,54.855472,11.194375,75.446180,1.220777
35,2.361945,0.545098,0.001338,128.000000,0.196842,54.192626,147.144560,77.808125,1.222115
36,2.417753,0.543079,0.001320,128.000000,0.196842,52.941727,149.088425,80.225878,1.223435
37,2.366965,0.542580,0.001419,128.000000,0.196842,54.077684,138.704486,82.592843,1.224854
38,2.150490,0.541507,0.234840,128.000000,0.196842,59.521324,0.838198,84.743333,1.459694
39,2.375106,0.540544,0.001257,128.000000,0.196842,53.892331,156.595193,87.118439,1.460951
40,2.381031,0.537310,0.001238,128.000000,0.196842,53.758214,158.941356,89.499470,1.462189
41,2.361553,1.689804,0.001400,128.000000,0.196842,54.201617,140.603575,91.861023,1.463589
42,2.367681,1.679807,0.001311,128.000000,0.196842,54.061330,150.183259,94.228705,1.464900
