timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1776278617.440362,0.0,1321,201895,0.000,0.000
1776278620.444039,0.0,1654,201585,82.122,0.000
1776278623.447717,0.0,1685,201585,99.878,0.000
1776278626.450243,0.0,1685,201585,85.262,0.020
1776278629.452724,0.0,1685,201586,85.263,0.398
1776278632.455282,0.0,1685,201587,90.589,0.023
1776278635.458879,0.0,1684,201587,89.226,0.003
1776278638.462700,0.0,1685,201587,85.225,0.001
1776278641.466161,0.0,1685,201588,85.235,0.004
1776278644.469787,0.0,1684,201588,77.240,0.000
1776278647.473174,0.0,1686,201588,83.905,0.004
1776278650.475682,0.0,1685,201589,85.262,0.000
1776278653.478180,0.0,1685,201589,85.262,0.000
1776278656.480912,0.0,1686,201589,75.931,0.004
1776278659.484365,0.0,1684,201590,62.595,0.000
1776278662.487806,0.0,1685,201590,74.581,1.324
1776278665.491266,0.0,1685,201591,69.253,0.000
1776278668.494745,0.0,1685,201591,74.580,0.008
1776278671.498207,0.0,1685,201591,71.917,0.004
1776278674.501613,0.0,1685,201591,82.573,0.004
1776278677.504126,0.0,1686,201592,85.262,0.000
1776278680.506651,0.0,1686,201592,85.262,0.000
1776278683.509224,0.0,1686,201593,77.267,0.004
1776278686.512638,0.0,1687,201593,69.255,0.000
1776278689.516101,0.0,1687,201593,67.922,0.004
1776278692.519566,0.0,1687,201594,74.581,1.319
1776278695.523000,0.0,1686,201594,70.586,0.008
1776278698.526496,0.0,1691,201595,73.248,0.000
1776278701.530130,0.0,1691,201595,78.571,0.008
1776278704.533584,0.0,1690,201595,85.235,0.000
1776278707.536023,0.0,1688,201595,85.264,0.000
1776278710.538516,0.0,1689,201596,79.934,0.007
1776278713.541858,0.0,1689,201596,74.584,0.658
1776278716.545687,0.0,1689,201597,67.913,0.008
1776278719.549125,0.0,1690,201597,70.586,0.001
1776278722.552573,0.0,1690,201597,69.254,0.533
1776278725.556030,0.0,1691,201598,74.581,0.003
1776278728.559509,0.0,1692,201598,74.580,0.009
1776278731.563043,0.0,1690,201598,85.233,0.000
1776278734.565578,0.0,1688,201599,85.261,0.005
1776278737.568117,0.0,1689,201599,79.932,0.004
1776278740.571548,0.0,1689,201599,70.586,0.000
1776278743.575112,0.0,1691,201600,71.915,0.004
1776278746.578903,0.0,1692,201600,73.241,0.000
1776278749.582318,0.0,1692,201600,66.591,0.004
1776278752.585699,0.0,1692,201600,63.928,0.000
1776278755.588185,0.0,1692,201601,70.608,0.004
1776278758.591638,0.0,1693,201601,17.313,1.189
1776278761.595023,0.0,1693,201601,82.573,0.000
1776278764.597856,0.0,1693,201602,85.253,0.010
1776278767.600310,0.0,1695,201602,85.264,0.007
1776278770.602714,0.0,1694,201602,73.275,0.004
1776278773.606039,0.0,1695,201603,70.588,0.000
1776278776.609374,0.0,1693,201603,70.588,0.004
1776278779.612847,0.0,1694,201604,69.253,0.000
1776278782.616461,0.0,1694,201604,77.240,0.004
1776278785.619833,0.0,1691,201604,75.915,0.000
1776278788.623104,0.0,1691,201605,74.585,0.004
1776278791.625986,0.0,1693,201605,85.251,1.319
1776278794.628540,0.0,1693,201605,85.261,0.000
1776278797.631303,0.0,1694,201606,78.594,0.009
1776278800.634731,0.0,1695,201606,70.586,0.003
1776278803.637785,0.0,1694,201606,69.263,0.007
1776278806.641019,0.0,1695,201607,71.922,0.000
1776278809.644833,0.0,1694,201607,70.577,0.004
1776278812.648239,0.0,1694,201608,77.246,0.000
1776278815.651539,0.0,1693,201608,73.253,0.004
1776278818.655090,0.0,1692,201608,85.232,0.000
1776278821.657593,0.0,1693,201608,85.262,0.003
1776278824.660131,0.0,1693,201609,85.261,1.322
1776278827.662510,0.0,1711,201609,74.607,0.008
1776278830.665142,0.0,1980,201610,73.269,0.001
1776278833.667591,0.0,2232,201610,63.948,0.003
1776278836.670060,0.0,2307,201610,70.609,0.007
1776278839.673420,0.0,2280,201611,70.588,0.000
1776278842.676657,0.0,2277,201611,73.254,0.004
1776278845.679852,0.0,2276,201611,85.243,0.000
1776278848.682407,0.0,2266,201612,85.261,0.000
1776278851.685021,0.0,2268,201612,85.259,0.004
1776278854.687412,0.0,2266,201612,74.607,0.000
1776278857.691206,0.0,2268,201613,66.582,1.323
1776278860.694604,0.0,2228,201613,74.582,0.000
1776278863.697329,0.0,2222,201614,70.603,0.008
1776278866.700578,0.0,2221,201614,71.922,0.000
1776278869.703853,0.0,2219,201614,74.585,0.008
1776278872.707111,0.0,2218,201615,78.581,0.000
1776278875.710252,0.0,2220,201615,85.244,0.004
1776278878.712599,0.0,2220,201615,85.267,0.000
1776278881.715034,0.0,2221,201616,79.935,0.003
1776278884.718613,0.0,2221,201616,69.251,0.001
1776278887.721819,0.0,2221,201616,70.591,0.000
1776278890.725028,0.0,2221,201617,69.259,1.323
1776278893.727905,0.0,2221,201617,73.263,0.000
1776278896.731289,0.0,2221,201617,71.919,0.008
1776278899.735571,0.0,2224,201617,74.560,0.000
1776278902.738122,0.0,2224,201618,51.956,0.008
1776278905.741511,0.0,2222,201618,71.919,0.000
1776278908.745007,0.0,2222,201619,70.584,0.000
1776278911.748346,0.0,2221,201619,70.588,0.004
1776278914.751579,0.0,2220,201619,78.582,0.000
1776278917.754127,0.0,2222,201619,85.261,0.004
1776278920.756556,0.0,2221,201620,85.264,0.000
1776278923.758988,0.0,2221,201620,73.274,0.000
1776278926.762604,0.0,2220,201621,70.582,1.194
1776278929.765909,0.0,2221,201621,67.925,0.000
