step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.560136,0.497261,0.102204,128.000000,0.196842,49.997343,1.925974,2.560136,0.102204
2,2.278201,0.528981,0.012688,128.000000,0.196842,56.184686,15.514502,4.838337,0.114892
3,2.501287,0.503295,0.001354,128.000000,0.196842,51.173648,145.395678,7.339624,0.116245
4,2.517134,0.497741,0.001282,128.000000,0.196842,50.851482,153.564614,9.856758,0.117527
5,2.297710,0.502449,0.001207,128.000000,0.196842,55.707647,163.062088,12.154468,0.118734
6,2.414873,0.527827,0.001307,128.000000,0.196842,53.004861,150.648417,14.569341,0.120041
7,2.495675,0.505243,0.001609,128.000000,0.196842,51.288721,122.302113,17.065016,0.121651
8,2.404411,0.501753,0.001220,128.000000,0.196842,53.235487,161.288420,19.469428,0.122871
9,2.433839,0.511764,0.001272,128.000000,0.196842,52.591820,154.810275,21.903266,0.124142
10,2.524272,0.507858,0.001342,128.000000,0.196842,50.707690,146.716173,24.427538,0.125484
11,2.370339,0.503296,0.001326,128.000000,0.196842,54.000717,148.484727,26.797877,0.126810
12,2.154197,0.513112,0.271461,128.000000,0.196842,59.418891,0.725120,28.952074,0.398271
13,2.313079,0.515131,0.001337,128.000000,0.196842,55.337507,147.233930,31.265153,0.399608
14,2.352141,0.524900,0.001285,128.000000,0.196842,54.418507,153.207359,33.617293,0.400893
15,2.308188,0.523607,0.002095,128.000000,0.196842,55.454748,93.980338,35.925482,0.402988
16,2.296441,0.513982,0.075524,128.000000,0.196842,55.738434,2.606357,38.221922,0.478511
17,2.584676,0.512991,0.001335,128.000000,0.196842,49.522655,147.502470,40.806598,0.479846
18,2.425760,0.532463,0.001241,128.000000,0.196842,52.766978,158.612849,43.232358,0.481087
19,2.168926,0.518416,0.122167,128.000000,0.196842,59.015379,1.611255,45.401284,0.603254
20,2.274729,0.523385,0.169587,128.000000,0.196842,56.270438,1.160718,47.676013,0.772841
21,2.421381,0.522603,0.001351,128.000000,0.196842,52.862393,145.693988,50.097394,0.774192
22,2.401251,0.525967,0.001294,128.000000,0.196842,53.305540,152.124921,52.498645,0.775486
23,2.404306,0.525496,0.018136,128.000000,0.196842,53.237817,10.853566,54.902951,0.793622
24,2.317624,0.524880,0.001266,128.000000,0.196842,55.228978,155.491549,57.220575,0.794888
25,2.434464,0.539516,0.001296,128.000000,0.196842,52.578316,151.921686,59.655039,0.796183
26,2.300441,0.530448,0.059764,128.000000,0.196842,55.641498,3.293664,61.955480,0.855947
27,2.433219,0.529259,0.001274,128.000000,0.196842,52.605204,154.555864,64.388699,0.857221
28,2.225131,0.529679,0.105241,128.000000,0.196842,57.524707,1.870401,66.613830,0.962461
29,2.431595,0.548505,0.001301,128.000000,0.196842,52.640343,151.262435,69.045425,0.963763
30,2.281171,0.553435,0.012037,128.000000,0.196842,56.111536,16.353655,71.326596,0.975799
31,2.643959,0.555164,0.203518,128.000000,0.196842,48.412257,0.967196,73.970555,1.179318
32,2.288315,0.563799,0.051319,128.000000,0.196842,55.936346,3.835641,76.258870,1.230637
33,2.242728,0.570380,0.031342,128.000000,0.196842,57.073339,6.280539,78.501599,1.261979
34,2.454197,0.544791,0.001272,128.000000,0.196842,52.155558,154.748814,80.955795,1.263251
35,2.338514,0.557758,0.001267,128.000000,0.196842,54.735607,155.415310,83.294310,1.264517
36,2.381352,0.559960,0.001475,128.000000,0.196842,53.750988,133.492247,85.675661,1.265992
37,2.285625,0.772172,0.001758,128.000000,0.196842,56.002195,111.987994,87.961286,1.267749
38,2.479645,0.552859,0.001284,128.000000,0.196842,51.620302,153.288847,90.440930,1.269034
39,2.396707,0.539138,0.001393,128.000000,0.196842,53.406615,141.351132,92.837637,1.270426
40,2.285071,0.540117,0.159457,128.000000,0.196842,56.015759,1.234454,95.122708,1.429883
41,2.273468,1.688228,0.001386,128.000000,0.196842,56.301655,142.027933,97.396176,1.431269
42,2.375707,1.696655,0.001443,128.000000,0.196842,53.878706,136.450452,99.771883,1.432712
43,2.036657,0.556842,0.222434,128.000000,0.196842,62.848100,0.884946,101.808540,1.655146
44,2.527503,0.545541,0.001290,128.000000,0.196842,50.642867,152.640426,104.336043,1.656435
45,2.285836,0.540930,0.155566,128.000000,0.196842,55.997007,1.265328,106.621879,1.812001
46,2.301790,0.534114,0.046898,128.000000,0.196842,55.608893,4.197261,108.923669,1.858899
47,2.378398,0.548642,0.001258,128.000000,0.196842,53.817747,156.427070,111.302067,1.860158
48,2.402809,0.551174,0.001277,128.000000,0.196842,53.270983,154.103089,113.704876,1.861435
49,2.284083,0.561778,0.185859,128.000000,0.196842,56.039987,1.059092,115.988959,2.047294
50,2.184106,0.553596,0.099286,128.000000,0.196842,58.605205,1.982586,118.173065,2.146580
51,2.629554,0.540981,0.001378,128.000000,0.196842,48.677454,142.827949,120.802620,2.147958
52,2.472645,0.539484,0.001410,128.000000,0.196842,51.766434,139.629744,123.275264,2.149368
53,2.368488,0.534454,0.001304,128.000000,0.196842,54.042911,150.980506,125.643753,2.150672
54,2.284272,0.550840,0.248501,128.000000,0.196842,56.035364,0.792119,127.928024,2.399172
55,2.281159,0.536608,0.060275,128.000000,0.196842,56.111830,3.265761,130.209183,2.459447
56,2.319951,0.543211,0.001334,128.000000,0.196842,55.173580,147.529223,132.529134,2.460781
57,2.398171,0.551227,0.001263,128.000000,0.196842,53.374002,155.840793,134.927305,2.462044
58,2.281493,0.545083,0.037667,128.000000,0.196842,56.103612,5.225861,137.208799,2.499711
59,2.284255,0.539350,0.001339,128.000000,0.196842,56.035781,146.956490,139.493053,2.501051
60,2.364506,0.552715,0.001330,128.000000,0.196842,54.133929,148.013335,141.857559,2.502381
61,2.202173,0.538528,0.190084,128.000000,0.196842,58.124401,1.035553,144.059733,2.692465
62,2.263517,0.552107,0.064473,128.000000,0.196842,56.549177,3.053105,146.323249,2.756937
63,2.205825,0.552305,0.109338,128.000000,0.196842,58.028172,1.800313,148.529074,2.866275
64,2.597139,0.546003,0.001289,128.000000,0.196842,49.285009,152.718350,151.126213,2.867564
65,2.465718,0.539093,0.056535,128.000000,0.196842,51.911851,3.481796,153.591931,2.924099
66,2.260338,0.546677,0.139245,128.000000,0.196842,56.628709,1.413638,155.852269,3.063344
67,2.323033,0.561947,0.025009,128.000000,0.196842,55.100373,7.870712,158.175302,3.088353
68,2.520064,0.545282,0.001268,128.000000,0.196842,50.792360,155.178234,160.695366,3.089622
69,2.269039,0.557687,0.098094,128.000000,0.196842,56.411543,2.006675,162.964405,3.187715
70,2.308753,0.555180,0.001254,128.000000,0.196842,55.441173,157.014644,165.273159,3.188969
71,2.354488,0.546495,0.001342,128.000000,0.196842,54.364262,146.649934,167.627647,3.190311
72,2.377783,0.552846,0.001273,128.000000,0.196842,53.831653,154.569092,170.005430,3.191585
73,2.371555,0.555484,0.001293,128.000000,0.196842,53.973026,152.207615,172.376985,3.192878
74,2.450102,0.536383,0.001303,128.000000,0.196842,52.242728,151.023134,174.827087,3.194182
75,2.242738,0.537624,0.125712,128.000000,0.196842,57.073107,1.565813,177.069824,3.319894
76,2.405857,0.536707,0.001400,128.000000,0.196842,53.203502,140.605584,179.475681,3.321294
77,2.485672,0.556700,0.001288,128.000000,0.196842,51.495123,152.828265,181.961353,3.322582
78,2.449144,0.556177,0.001295,128.000000,0.196842,52.263164,151.977401,184.410497,3.323877
79,2.217986,0.557513,0.180354,128.000000,0.196842,57.710010,1.091420,186.628483,3.504231
80,2.471817,0.558338,0.001302,128.000000,0.196842,51.783776,151.198067,189.100300,3.505533
81,2.406492,0.545986,0.001360,128.000000,0.196842,53.189455,144.712859,191.506792,3.506893
82,2.299757,0.538251,0.087465,128.000000,0.196842,55.658057,2.250533,193.806548,3.594358
83,2.301444,0.539770,0.001216,128.000000,0.196842,55.617265,161.934466,196.107992,3.595574
84,2.548297,0.545706,0.001312,128.000000,0.196842,50.229615,150.023355,198.656290,3.596886
85,2.555061,0.542902,0.001290,128.000000,0.196842,50.096649,152.541065,201.211351,3.598176
86,2.282869,0.552962,0.096248,128.000000,0.196842,56.069804,2.045146,203.494219,3.694425
87,2.330162,0.556941,0.015614,128.000000,0.196842,54.931807,12.606703,205.824381,3.710039
88,2.472712,0.540162,0.001276,128.000000,0.196842,51.765033,154.238812,208.297093,3.711315
89,2.317692,0.553832,0.012369,128.000000,0.196842,55.227362,15.914453,210.614785,3.723684
90,2.441679,0.554491,0.001423,128.000000,0.196842,52.422949,138.377251,213.056463,3.725106
91,2.359246,0.550776,0.001326,128.000000,0.196842,54.254623,148.459978,215.415709,3.726432
92,2.436257,0.538441,0.001370,128.000000,0.196842,52.539611,143.638705,217.851966,3.727803
93,2.268707,0.546961,0.114617,128.000000,0.196842,56.419804,1.717391,220.120673,3.842420
94,2.157611,0.556646,0.273235,128.000000,0.196842,59.324866,0.720414,222.278285,4.115654
95,2.295555,0.551571,0.082720,128.000000,0.196842,55.759929,2.379620,224.573840,4.198374
96,2.317381,0.551124,0.001373,128.000000,0.196842,55.234774,143.375055,226.891221,4.199747
97,2.239255,0.554782,0.047262,128.000000,0.196842,57.161868,4.164883,229.130476,4.247010
98,2.390527,0.546741,0.001314,128.000000,0.196842,53.544677,149.829000,231.521003,4.248323
99,2.327384,0.551977,0.016314,128.000000,0.196842,54.997366,12.065819,233.848387,4.264637
