timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1777842151.776043,0.0,1481,281605,0.000,0.000
1777842154.778287,0.0,1874,281605,62.496,0.000
1777842157.781981,0.0,1856,281605,75.907,0.000
1777842160.786226,0.0,1855,281605,75.893,0.150
1777842163.789708,0.0,1854,281606,69.253,0.009
1777842166.793179,0.0,1862,281606,69.253,0.008
1777842169.797022,0.0,1863,281606,85.224,0.007
1777842172.799491,0.0,1863,281606,85.263,0.000
1777842175.801986,0.0,1861,281607,81.266,0.007
1777842178.804717,0.0,1863,281607,73.267,0.000
1777842181.808116,0.0,1866,281608,69.255,0.000
1777842184.811491,0.0,1863,281608,70.587,0.004
1777842187.815496,0.0,1863,281608,67.909,0.000
1777842190.818944,0.0,1795,281609,73.249,0.004
1777842193.822482,0.0,1795,281609,75.910,0.000
1777842196.826020,0.0,1806,281609,85.233,1.459
1777842199.828519,0.0,1789,281610,85.262,0.000
1777842202.831042,0.0,1792,281610,85.262,0.012
1777842205.833656,0.0,1792,281610,71.939,0.000
1777842208.837354,0.0,1794,281611,74.575,0.000
1777842211.840821,0.0,1800,281611,62.594,0.004
1777842214.845040,0.0,1797,281612,70.567,0.000
1777842217.848487,0.0,1792,281612,74.581,0.004
1777842220.851957,0.0,1797,281612,71.917,0.000
1777842223.855227,0.0,1793,281612,85.240,0.004
1777842226.857930,0.0,1787,281613,85.257,0.000
1777842229.860776,0.0,1786,281613,81.256,0.004
1777842232.864244,0.0,1790,281614,70.585,1.450
1777842235.867770,0.0,1799,281614,70.584,0.000
1777842238.871138,0.0,1791,281614,75.915,0.010
1777842241.874634,0.0,1795,281615,70.584,0.004
1777842244.878151,0.0,1793,281615,70.584,0.005
1777842247.881681,0.0,1793,281616,73.247,0.000
1777842250.885097,0.0,1796,281616,83.904,0.004
1777842253.887612,0.0,1789,281616,85.262,0.000
1777842256.890196,0.0,1909,281616,78.599,0.004
1777842259.893917,0.0,1908,281617,57.262,0.000
1777842262.898188,0.0,1909,281617,71.898,0.000
1777842265.901760,0.0,1907,281618,73.246,0.004
1777842268.905294,0.0,1907,281618,69.252,1.319
1777842271.909245,0.0,1909,281618,75.900,0.009
1777842274.912490,0.0,1913,281618,85.241,0.001
1777842277.914951,0.0,1807,281619,85.263,0.009
1777842280.917353,0.0,1829,281619,63.949,0.000
1777842283.921535,0.0,1821,281620,67.905,0.000
1777842286.925165,0.0,1808,281620,70.581,0.004
1777842289.929827,0.0,1809,281620,69.226,0.000
1777842292.933222,0.0,1809,281620,69.255,0.004
1777842295.935695,0.0,1809,281621,63.947,0.000
1777842298.939213,0.0,1812,281621,22.640,0.000
1777842301.942632,0.0,1812,281621,83.904,0.004
1777842304.945190,0.0,1805,281622,85.261,1.318
1777842307.947664,0.0,1806,281622,81.266,0.009
1777842310.950818,0.0,1808,281622,71.924,0.001
1777842313.954592,0.0,1809,281623,67.915,0.005
1777842316.958367,0.0,1804,281623,71.910,0.004
1777842319.961843,0.0,1807,281623,67.921,0.000
1777842322.965385,0.0,1807,281624,67.920,0.004
1777842325.968792,0.0,1809,281624,82.573,0.000
1777842328.971426,0.0,1807,281624,85.258,0.004
1777842331.974195,0.0,1798,281625,82.590,0.000
1777842334.977197,0.0,1803,281625,69.264,0.000
1777842337.981210,0.0,1805,281625,70.572,0.004
1777842340.985304,0.0,1811,281626,63.913,1.320
1777842343.990238,0.0,1801,281626,73.213,0.009
1777842346.993701,0.0,1802,281627,74.581,0.000
1777842349.997124,0.0,1798,281627,77.245,0.009
1777842352.999618,0.0,1803,281627,85.262,0.000
1777842356.002102,0.0,1805,281627,85.263,0.666
1777842359.004719,0.0,1806,281628,83.927,0.000
1777842362.008432,0.0,1806,281628,70.579,0.012
1777842365.011916,0.0,1799,281629,71.918,0.000
1777842368.015335,0.0,1800,281629,67.923,0.004
1777842371.018857,0.0,1804,281629,71.916,0.004
1777842374.022291,0.0,1823,281630,65.259,0.661
1777842377.025679,0.0,1804,281630,79.910,0.010
1777842380.028347,0.0,1801,281630,85.258,0.265
1777842383.031080,0.0,1804,281631,83.924,0.010
1777842386.034084,0.0,1739,281631,71.928,0.000
1777842389.039131,0.0,1736,281631,63.893,0.003
1777842392.042585,0.0,1736,281632,71.917,0.004
1777842395.045946,0.0,1740,281632,70.588,0.000
1777842398.049332,0.0,1742,281633,71.919,0.004
1777842401.052782,0.0,1744,281633,77.244,0.000
1777842404.055839,0.0,1749,281633,85.246,0.004
1777842407.058313,0.0,1740,281633,85.263,0.000
1777842410.060787,0.0,1745,281634,79.934,0.000
1777842413.065175,0.0,1746,281634,70.563,1.324
1777842416.068779,0.0,1747,281635,67.918,0.000
1777842419.072121,0.0,1746,281635,69.256,0.009
1777842422.076315,0.0,1750,281635,69.237,0.003
1777842425.079756,0.0,1746,281636,70.586,0.007
1777842428.083081,0.0,1755,281636,83.907,0.000
1777842431.085832,0.0,1746,281636,85.255,0.669
1777842434.088283,0.0,1749,281637,81.267,0.000
1777842437.091601,0.0,1753,281637,70.589,0.014
1777842440.095774,0.0,1751,281637,71.900,0.000
1777842443.099156,0.0,1751,281638,66.592,0.410
1777842446.102542,0.0,1750,281638,67.923,0.000
1777842449.106076,0.0,1770,281639,69.252,0.009
1777842452.109621,0.0,1753,281639,83.901,0.000
1777842455.112060,0.0,1751,281639,85.264,0.539
1777842458.114604,0.0,1750,281639,81.264,0.000
1777842461.119136,0.0,1754,281640,71.891,0.005
1777842464.123085,0.0,1754,281640,69.242,0.272
1777842467.127738,0.0,1752,281641,69.226,0.007
1777842470.131158,0.0,1754,281641,70.586,0.267
1777842473.134676,0.0,1754,281641,67.920,0.000
1777842476.138012,0.0,1756,281641,81.243,0.274
1777842479.140607,0.0,1756,281642,85.260,0.007
1777842482.143316,0.0,1753,281642,85.256,0.273
1777842485.146050,0.0,1753,281642,74.599,0.000
1777842488.149472,0.0,1754,281643,71.918,0.009
1777842491.152937,0.0,1749,281643,74.581,0.265
1777842494.156747,0.0,1739,281644,69.245,0.007
1777842497.160199,0.0,1740,281644,66.590,0.267
1777842500.163683,0.0,1741,281644,71.916,0.009
1777842503.167005,0.0,1740,281644,82.575,0.265
1777842506.169752,0.0,1740,281645,85.255,0.007
1777842509.172132,0.0,1741,281645,85.266,0.267
1777842512.174645,0.0,1738,281646,70.608,0.000
1777842515.178012,0.0,1749,281646,73.251,0.009
1777842518.182325,0.0,1742,281646,74.559,0.268
1777842521.205391,0.0,1742,281647,71.451,0.006
1777842524.208777,0.0,1741,281647,69.255,0.267
1777842527.212742,0.0,1742,281648,67.910,0.009
