step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.640830,0.498133,0.008047,128.000000,0.196842,48.469618,24.462614,2.640830,0.008047
2,2.145691,0.500619,0.201117,128.000000,0.196842,59.654445,0.978745,4.786520,0.209164
3,2.361934,0.509958,0.001321,128.000000,0.196842,54.192870,149.041579,7.148455,0.210484
4,2.443893,0.496594,0.001420,128.000000,0.196842,52.375460,138.591593,9.592347,0.211905
5,2.324905,0.497246,0.001237,128.000000,0.196842,55.056012,159.142459,11.917252,0.213142
6,2.347778,0.501147,0.001241,128.000000,0.196842,54.519624,158.607865,14.265031,0.214383
7,2.523969,0.510618,0.001287,128.000000,0.196842,50.713777,152.955807,16.789000,0.215670
8,2.491474,0.507213,0.001288,128.000000,0.196842,51.375220,152.801928,19.280473,0.216958
9,2.282864,0.524436,0.147497,128.000000,0.196842,56.069916,1.334550,21.563338,0.364455
10,2.422252,0.504551,0.001311,128.000000,0.196842,52.843393,150.168250,23.985589,0.365766
11,2.358655,0.520809,0.001278,128.000000,0.196842,54.268208,154.056414,26.344245,0.367043
12,2.323524,0.509072,0.001266,128.000000,0.196842,55.088728,155.526071,28.667769,0.368309
13,2.387699,0.508527,0.001292,128.000000,0.196842,53.608092,152.397575,31.055468,0.369601
14,2.391915,0.516291,0.001351,128.000000,0.196842,53.513606,145.739617,33.447383,0.370951
15,2.358799,0.525313,0.001295,128.000000,0.196842,54.264895,151.991718,35.806183,0.372246
16,2.506948,0.514499,0.001202,128.000000,0.196842,51.058104,163.739611,38.313130,0.373449
17,2.495477,0.524217,0.001290,128.000000,0.196842,51.292799,152.641137,40.808607,0.374738
18,2.477679,0.521301,0.001307,128.000000,0.196842,51.661249,150.640924,43.286287,0.376045
19,2.419319,0.542315,0.001316,128.000000,0.196842,52.907456,149.568975,45.705605,0.377361
20,2.273935,0.538998,0.074348,128.000000,0.196842,56.290078,2.647595,47.979541,0.451708
21,2.444982,0.523538,0.001370,128.000000,0.196842,52.352134,143.727643,50.424522,0.453078
22,2.335951,0.531539,0.067869,128.000000,0.196842,54.795675,2.900307,52.760473,0.520947
23,2.401232,0.541768,0.001301,128.000000,0.196842,53.305968,151.271619,55.161705,0.522249
24,2.315616,0.546978,0.001341,128.000000,0.196842,55.276869,146.737281,57.477321,0.523590
25,2.247222,0.549164,0.076910,128.000000,0.196842,56.959217,2.559369,59.724543,0.600501
26,2.420134,0.533792,0.001286,128.000000,0.196842,52.889637,153.067017,62.144677,0.601787
27,2.541785,0.551320,0.001362,128.000000,0.196842,50.358321,144.547826,64.686461,0.603148
28,2.264872,0.548460,0.001491,128.000000,0.196842,56.515328,131.994135,66.951334,0.604640
29,2.379852,0.554058,0.001420,128.000000,0.196842,53.784853,138.648798,69.331186,0.606059
30,2.281500,0.538253,0.009748,128.000000,0.196842,56.103452,20.193301,71.612685,0.615807
31,2.261222,0.552606,0.043003,128.000000,0.196842,56.606569,4.577389,73.873907,0.658810
32,2.270265,0.561096,0.039572,128.000000,0.196842,56.381072,4.974317,76.144172,0.698382
33,2.328035,0.560793,0.001245,128.000000,0.196842,54.981991,158.114435,78.472207,0.699627
34,2.366854,0.545276,0.044112,128.000000,0.196842,54.080232,4.462361,80.839061,0.743739
35,2.272964,0.539573,0.068294,128.000000,0.196842,56.314129,2.882261,83.112025,0.812033
36,2.410423,0.540871,0.001285,128.000000,0.196842,53.102706,153.238488,85.522449,0.813318
37,2.174023,0.553783,0.128924,128.000000,0.196842,58.877019,1.526806,87.696472,0.942242
38,2.450381,0.541824,0.001247,128.000000,0.196842,52.236779,157.833616,90.146853,0.943489
39,2.409582,0.550618,0.001365,128.000000,0.196842,53.121237,144.179695,92.556435,0.944854
40,2.275931,0.535520,0.372065,128.000000,0.196842,56.240723,0.529053,94.832366,1.316919
41,2.450285,1.678286,0.001301,128.000000,0.196842,52.238816,151.295570,97.282651,1.318221
42,2.366346,1.688831,0.001271,128.000000,0.196842,54.091844,154.862769,99.648997,1.319492
43,2.218766,0.532068,0.154436,128.000000,0.196842,57.689720,1.274584,101.867763,1.473928
44,2.558106,0.556597,0.001380,128.000000,0.196842,50.037019,142.612505,104.425869,1.475308
45,2.288483,0.533905,0.236374,128.000000,0.196842,55.932242,0.832759,106.714352,1.711682
46,2.247328,0.553282,0.034383,128.000000,0.196842,56.956527,5.724986,108.961680,1.746065
47,2.370835,0.536322,0.001298,128.000000,0.196842,53.989418,151.641852,111.332515,1.747363
48,2.430403,0.566723,0.001298,128.000000,0.196842,52.666172,151.637062,113.762918,1.748661
49,2.426849,0.535014,0.001324,128.000000,0.196842,52.743294,148.644958,116.189767,1.749985
50,2.393007,0.536971,0.001365,128.000000,0.196842,53.489193,144.209799,118.582773,1.751350
51,2.339320,0.548695,0.006721,128.000000,0.196842,54.716756,29.286589,120.922093,1.758072
52,2.383738,0.540547,0.001304,128.000000,0.196842,53.697170,150.942995,123.305832,1.759376
53,2.343835,0.543300,0.001376,128.000000,0.196842,54.611355,143.039574,125.649667,1.760752
54,2.237513,0.546657,0.196885,128.000000,0.196842,57.206382,0.999785,127.887179,1.957636
55,2.290274,0.536761,0.001294,128.000000,0.196842,55.888518,152.071330,130.177453,1.958931
56,2.271018,0.539889,0.044686,128.000000,0.196842,56.362378,4.405041,132.448471,2.003616
57,2.317660,0.540518,0.001289,128.000000,0.196842,55.228115,152.722023,134.766131,2.004905
58,2.501778,0.539566,0.001336,128.000000,0.196842,51.163613,147.295958,137.267909,2.006242
59,2.321425,0.537508,0.001296,128.000000,0.196842,55.138553,151.861559,139.589334,2.007538
60,2.331690,0.542516,0.136480,128.000000,0.196842,54.895812,1.442279,141.921024,2.144018
61,2.254963,0.557775,0.015002,128.000000,0.196842,56.763677,13.120763,144.175987,2.159020
62,2.119224,0.540084,0.418903,128.000000,0.196842,60.399455,0.469899,146.295211,2.577924
63,2.334398,0.537519,0.001281,128.000000,0.196842,54.832134,153.698070,148.629609,2.579204
64,2.567357,0.545094,0.001364,128.000000,0.196842,49.856726,144.335315,151.196966,2.580568
65,2.468848,0.536040,0.029337,128.000000,0.196842,51.846037,6.709757,153.665814,2.609905
66,2.235050,0.542555,0.193142,128.000000,0.196842,57.269400,1.019158,155.900864,2.803047
67,2.454294,0.563491,0.001348,128.000000,0.196842,52.153494,146.078141,158.355158,2.804394
68,2.232730,0.553173,0.104517,128.000000,0.196842,57.328913,1.883352,160.587889,2.908911
69,2.163134,0.547626,0.307331,128.000000,0.196842,59.173407,0.640489,162.751022,3.216242
70,2.292091,0.539885,0.001463,128.000000,0.196842,55.844212,134.563050,165.043113,3.217705
71,2.326442,0.542389,0.130352,128.000000,0.196842,55.019648,1.510087,167.369555,3.348057
72,2.416266,0.547073,0.001285,128.000000,0.196842,52.974311,153.151811,169.785820,3.349342
73,2.260028,0.553792,0.005165,128.000000,0.196842,56.636471,38.108997,172.045848,3.354507
74,2.247393,0.541611,0.074987,128.000000,0.196842,56.954876,2.625025,174.293241,3.429494
75,2.171176,0.539381,0.211991,128.000000,0.196842,58.954223,0.928542,176.464417,3.641485
76,2.422581,0.541546,0.001303,128.000000,0.196842,52.836204,151.043530,178.886999,3.642788
77,2.356403,0.557779,0.001316,128.000000,0.196842,54.320070,149.608308,181.243402,3.644104
78,2.099568,0.556454,0.221922,128.000000,0.196842,60.964933,0.886987,183.342970,3.866026
79,2.316839,0.547633,0.027309,128.000000,0.196842,55.247696,7.207875,185.659808,3.893335
80,2.338580,0.558093,0.001326,128.000000,0.196842,54.734079,148.399315,187.998388,3.894662
81,2.392065,0.551617,0.001402,128.000000,0.196842,53.510243,140.413713,190.390453,3.896064
82,3.015245,0.538358,0.102451,128.000000,0.196842,42.450949,1.921323,193.405698,3.998515
83,2.149802,0.553845,0.258142,128.000000,0.196842,59.540379,0.762536,195.555500,4.256657
84,2.338174,0.537714,0.018789,128.000000,0.196842,54.743569,10.476206,197.893674,4.275446
85,3.062443,0.542920,0.001393,128.000000,0.196842,41.796692,141.260750,200.956117,4.276839
86,2.322171,0.550811,0.010167,128.000000,0.196842,55.120837,19.361024,203.278288,4.287006
87,2.287977,0.535836,0.091342,128.000000,0.196842,55.944625,2.155007,205.566265,4.378348
88,2.348573,0.559228,0.001308,128.000000,0.196842,54.501172,150.546450,207.914838,4.379656
89,2.363995,0.555446,0.003440,128.000000,0.196842,54.145631,57.213601,210.278833,4.383096
90,2.444496,0.534912,0.001416,128.000000,0.196842,52.362523,139.016383,212.723329,4.384512
91,2.182082,0.539136,0.240829,128.000000,0.196842,58.659561,0.817352,214.905412,4.625341
92,2.416997,0.544809,0.001288,128.000000,0.196842,52.958269,152.883578,217.322409,4.626629
93,2.379997,0.544750,0.001314,128.000000,0.196842,53.781584,149.848390,219.702406,4.627942
94,2.159951,0.566920,0.233987,128.000000,0.196842,59.260592,0.841254,221.862358,4.861929
95,2.238411,0.556219,0.127492,128.000000,0.196842,57.183430,1.543960,224.100768,4.989421
96,2.309490,0.567587,0.001294,128.000000,0.196842,55.423484,152.091187,226.410259,4.990715
97,2.344383,0.561858,0.001386,128.000000,0.196842,54.598592,142.071192,228.754641,4.992101
98,2.257711,0.540701,0.055198,128.000000,0.196842,56.694592,3.566081,231.012352,5.047299
99,2.297229,0.560383,0.021736,128.000000,0.196842,55.719309,9.056015,233.309581,5.069035
100,2.484733,0.554203,0.001430,128.000000,0.196842,51.514593,137.618297,235.794314,5.070465
101,2.288735,0.538925,0.001236,128.000000,0.196842,55.926082,159.214801,238.083049,5.071702
102,2.370749,0.554789,0.018482,128.000000,0.196842,53.991386,10.650286,240.453798,5.090184
103,2.429889,0.539696,0.001309,128.000000,0.196842,52.677297,150.379339,242.883687,5.091493
104,2.260039,0.549834,0.028667,128.000000,0.196842,56.636189,6.866521,245.143726,5.120160
105,2.348235,0.556947,0.001437,128.000000,0.196842,54.509029,136.972767,247.491961,5.121597
106,2.292735,0.543508,0.001308,128.000000,0.196842,55.828521,150.494310,249.784696,5.122905
107,2.159735,0.541005,0.256245,128.000000,0.196842,59.266531,0.768179,251.944431,5.379150
108,2.388758,0.551955,0.001297,128.000000,0.196842,53.584328,151.780411,254.333189,5.380447
109,2.385843,0.540429,0.001299,128.000000,0.196842,53.649811,151.517073,256.719032,5.381746
110,2.480714,0.541644,0.001397,128.000000,0.196842,51.598057,140.912178,259.199745,5.383143
111,2.290586,0.547648,0.036669,128.000000,0.196842,55.880897,5.368130,261.490331,5.419812
112,2.364718,0.564906,0.001313,128.000000,0.196842,54.129071,149.935136,263.855049,5.421125
113,2.253146,0.558622,0.011164,128.000000,0.196842,56.809449,17.631380,266.108196,5.432289
114,2.499209,0.545508,0.001311,128.000000,0.196842,51.216213,150.184175,268.607404,5.433600
