timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb
1777847117.963494,0.0,1356,282040,0.000,0.000
1777847120.967000,0.0,1735,281605,69.159,0.000
1777847123.970502,0.0,1750,281605,75.911,0.000
1777847126.973687,0.0,1749,281605,71.924,0.157
1777847129.976922,0.0,1751,281606,75.918,0.155
1777847132.980423,0.0,1749,281606,70.584,0.000
1777847135.983933,0.0,1749,281607,74.579,0.004
1777847138.987331,0.0,1744,281607,85.237,0.000
1777847141.989863,0.0,1744,281607,85.261,0.004
1777847144.992425,0.0,1746,281607,82.596,0.000
1777847147.994970,0.0,1749,281608,67.942,0.000
1777847150.998516,0.0,1750,281608,71.915,0.004
1777847154.002122,0.0,1752,281609,65.255,0.000
1777847157.005667,0.0,1751,281609,75.910,0.004
1777847160.009244,0.0,1753,281609,71.914,0.000
1777847163.012860,0.0,1751,281610,77.240,1.329
1777847166.016305,0.0,1753,281610,83.904,0.000
1777847169.018787,0.0,1752,281610,85.263,0.004
1777847172.021334,0.0,1758,281611,85.261,0.000
1777847175.024768,0.0,1761,281611,71.918,0.000
1777847178.028298,0.0,1759,281611,63.925,0.004
1777847181.031789,0.0,1761,281612,69.253,0.000
1777847184.035309,0.0,1758,281612,67.920,0.004
1777847187.038877,0.0,1758,281613,73.246,0.000
1777847190.042390,0.0,1761,281613,79.906,0.004
1777847193.046062,0.0,1760,281613,85.229,0.007
1777847196.048575,0.0,1760,281613,85.262,1.330
1777847199.051192,0.0,1760,281614,78.598,0.000
1777847202.054759,0.0,1761,281614,71.914,0.000
1777847205.058225,0.0,1759,281615,74.581,0.004
1777847208.061697,0.0,1761,281615,69.253,0.000
1777847211.065239,0.0,1760,281615,66.588,0.004
1777847214.068999,0.0,1759,281616,74.573,0.000
1777847217.072647,0.0,1757,281616,75.908,0.004
1777847220.075919,0.0,1759,281616,85.240,0.000
1777847223.078418,0.0,1759,281616,85.262,0.004
1777847226.080963,0.0,1761,281617,83.929,0.000
1777847229.083730,0.0,1766,281617,71.934,1.324
1777847232.087174,0.0,1769,281618,70.586,0.009
1777847235.090621,0.0,1768,281618,69.254,0.000
