step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.681367,0.147771,0.156451,64.000000,0.099186,23.868422,0.633974,2.681367,0.156451
2,2.167856,0.146285,0.312781,64.000000,0.099186,29.522255,0.317110,4.849223,0.469232
3,2.263706,0.149012,0.124958,64.000000,0.099186,28.272216,0.793752,7.112930,0.594190
4,2.086425,0.147142,0.291189,64.000000,0.099186,30.674480,0.340624,9.199354,0.885379
5,2.236696,0.151389,0.255766,64.000000,0.099186,28.613633,0.387799,11.436050,1.141146
6,2.123947,0.163112,0.187517,64.000000,0.099186,30.132578,0.528942,13.559998,1.328663
7,2.204970,0.148053,0.251173,64.000000,0.099186,29.025336,0.394890,15.764968,1.579837
8,2.374496,0.147932,0.155579,64.000000,0.099186,26.953087,0.637529,18.139464,1.735415
9,2.001868,0.149158,0.489741,64.000000,0.099186,31.970138,0.202527,20.141332,2.225156
10,2.440282,0.148731,0.347992,64.000000,0.099186,26.226481,0.285024,22.581614,2.573148
11,2.442953,0.148836,0.165526,64.000000,0.099186,26.197802,0.599217,25.024567,2.738674
12,2.061226,0.148904,0.459132,64.000000,0.099186,31.049487,0.216029,27.085792,3.197806
13,2.198376,0.147164,0.297186,64.000000,0.099186,29.112406,0.333750,29.284168,3.494992
14,2.161761,0.150249,0.336579,64.000000,0.099186,29.605499,0.294689,31.445928,3.831571
15,2.466823,0.146672,0.090618,64.000000,0.099186,25.944301,1.094547,33.912751,3.922189
16,2.264554,0.148363,0.273619,64.000000,0.099186,28.261641,0.362497,36.177305,4.195808
17,2.233022,0.147359,0.231239,64.000000,0.099186,28.660713,0.428932,38.410327,4.427047
18,2.447364,0.149918,0.197356,64.000000,0.099186,26.150582,0.502574,40.857691,4.624403
19,2.202397,0.150074,0.267245,64.000000,0.099186,29.059246,0.371143,43.060088,4.891648
20,2.421083,0.146110,0.210398,64.000000,0.099186,26.434450,0.471421,45.481171,5.102046
