timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb,net_rx_mb,net_tx_mb
1777987113.365353,0.0,1538,282041,0.000,0.000,0.000,0.000
1777987116.368804,0.0,1856,281605,66.496,0.000,68.497,0.729
1777987119.372807,0.0,1744,281605,83.888,0.000,87.291,0.936
1777987122.376452,0.0,1734,281605,82.829,0.161,91.051,1.178
1777987125.380059,0.0,1735,281606,94.290,0.005,95.381,1.090
1777987128.383722,0.0,1736,281606,83.898,0.026,90.479,1.047
1777987131.387421,0.0,1737,281607,87.892,0.000,93.399,1.038
1777987134.391034,0.0,1750,281607,94.553,0.004,95.536,1.063
1777987137.394823,0.0,1760,281607,91.884,0.000,95.160,1.072
1777987140.398463,0.0,1760,281608,89.527,0.004,93.045,1.040
1777987143.402049,0.0,1760,281608,87.593,0.000,92.316,1.011
1777987146.405559,0.0,1761,281609,86.565,0.004,91.899,0.921
1777987149.408761,0.0,1762,281609,85.242,0.000,89.449,1.000
1777987152.412017,0.0,1759,281609,85.241,1.458,90.617,2.505
1777987155.415718,0.0,1758,281610,85.228,0.012,89.442,1.056
1777987158.418910,0.0,1760,281610,85.243,0.000,89.373,1.027
1777987161.422552,0.0,1767,281611,85.230,0.007,89.361,1.020
1777987164.426161,0.0,1767,281611,90.558,0.004,93.427,1.046
1777987167.429861,0.0,1768,281612,87.892,0.004,91.234,1.018
1777987170.433646,0.0,1769,281612,91.884,0.000,96.738,1.084
1777987173.437426,0.0,1767,281613,89.221,0.004,94.325,1.044
1777987176.440975,0.0,1770,281613,90.560,0.000,92.247,1.057
1777987179.444730,0.0,1767,281613,90.553,0.004,96.200,1.126
1777987182.448357,0.0,1768,281614,87.894,0.000,91.080,0.997
1777987185.452043,0.0,1769,281614,87.892,1.466,94.731,2.609
1777987188.455770,0.0,1771,281615,87.891,0.000,92.781,1.013
1777987191.459297,0.0,1772,281615,94.555,0.012,94.715,1.091
1777987194.462991,0.0,1771,281615,87.892,0.527,92.125,1.598
1777987197.466719,0.0,1772,281616,90.554,0.012,98.507,1.094
1777987200.470399,0.0,1774,281616,90.556,0.001,92.585,1.056
1777987203.474047,0.0,1773,281617,90.557,0.009,94.855,1.062
1777987206.477705,0.0,1771,281617,90.556,0.531,95.459,1.595
1777987209.481522,0.0,1772,281617,89.220,0.010,92.232,1.062
1777987212.485261,0.0,1772,281618,87.890,0.004,93.692,1.066
1777987215.488222,0.0,1772,281618,91.909,0.265,93.251,1.368
1777987218.490807,0.0,1772,281618,86.592,0.277,94.011,1.388
1777987221.493995,0.0,1774,281619,85.243,0.000,90.805,1.037
1777987224.497206,0.0,1774,281619,85.242,0.277,87.396,1.268
1777987227.500404,0.0,1774,281620,85.242,0.000,92.971,1.031
1777987230.503560,0.0,1775,281620,85.244,0.278,89.375,1.295
1777987233.506731,0.0,1774,281620,85.243,0.000,89.373,0.956
1777987236.509908,0.0,1774,281621,85.243,0.276,89.376,1.275
1777987239.513169,0.0,1776,281621,85.241,0.000,86.580,0.904
1777987242.515719,0.0,1769,281622,85.261,0.281,90.060,1.320
1777987245.518948,0.0,1769,281622,85.242,0.000,91.500,0.952
1777987248.522467,0.0,1770,281622,85.233,0.280,89.366,1.311
1777987251.525680,0.0,1766,281623,85.242,0.000,87.977,0.946
1777987254.528882,0.0,1765,281623,85.242,0.276,89.836,1.274
1777987257.532109,0.0,1767,281624,85.242,0.000,88.913,0.979
1777987260.535298,0.0,1766,281624,85.243,0.277,90.774,1.328
1777987263.538517,0.0,1765,281624,85.242,0.000,89.374,0.992
1777987266.541851,0.0,1767,281625,85.239,0.277,89.370,1.276
1777987269.544981,0.0,1768,281626,86.576,0.000,89.374,1.047
1777987272.548705,0.0,1768,281626,91.886,0.276,89.461,1.281
1777987275.552261,0.0,1770,281626,89.228,0.000,95.015,1.102
1777987278.555948,0.0,1770,281627,83.897,0.277,87.992,1.279
1777987281.560417,0.0,1770,281627,86.538,0.000,93.579,1.078
1777987284.563967,0.0,1769,281628,91.891,0.277,90.362,1.286
1777987287.567640,0.0,1768,281628,85.229,0.000,93.186,1.029
1777987290.571306,0.0,1768,281628,85.229,0.280,88.332,1.315
1777987293.575008,0.0,1768,281629,89.223,0.000,92.170,1.074
1777987296.578949,0.0,1766,281629,86.553,0.277,90.684,1.268
1777987299.582660,0.0,1767,281630,87.891,0.000,92.342,1.043
1777987302.585949,0.0,1770,281630,87.904,0.014,90.157,0.985
1777987305.589679,0.0,1770,281630,85.227,0.000,89.894,0.975
1777987308.593721,0.0,1770,281631,88.399,0.544,94.133,1.584
1777987311.597855,0.0,1769,281631,86.030,0.000,90.786,1.048
1777987314.601582,0.0,1766,281632,93.218,0.281,96.050,1.417
1777987317.605282,0.0,1768,281632,87.892,0.000,91.435,1.042
1777987320.608935,0.0,1769,281632,87.893,0.278,92.490,1.344
1777987323.612726,0.0,1769,281633,89.221,0.000,92.268,1.080
1777987326.616328,0.0,1769,281633,83.899,0.276,90.141,1.257
1777987329.619998,0.0,1770,281634,91.888,0.007,95.022,1.066
1777987332.623637,0.0,1768,281634,87.893,0.010,92.803,1.069
1777987335.627327,0.0,1768,281634,90.555,0.529,96.011,1.655
1777987338.631010,0.0,1768,281635,86.560,0.010,89.345,0.992
1777987341.634604,0.0,1768,281635,85.231,0.001,87.766,0.987
1777987344.638349,0.0,1768,281636,85.227,0.010,91.651,1.064
1777987347.642032,0.0,1765,281636,89.224,0.000,92.985,1.047
1777987350.645679,0.0,1766,281636,93.220,0.004,93.942,1.072
1777987353.648800,0.0,1768,281637,89.240,0.662,95.153,1.773
1777987356.651619,0.0,1766,281637,87.917,0.010,91.431,1.047
1777987359.654817,0.0,1767,281638,86.574,0.004,94.007,1.108
1777987362.658040,0.0,1768,281638,85.242,0.531,89.478,1.521
1777987365.661238,0.0,1768,281638,85.242,0.014,88.645,0.945
1777987368.664501,0.0,1768,281639,81.245,0.000,89.802,1.041
1777987371.667020,0.0,1767,281639,87.926,0.004,85.169,0.970
1777987374.670133,0.0,1766,281639,85.245,0.532,91.189,1.647
1777987377.674290,0.0,1767,281640,86.547,0.010,95.012,1.083
1777987380.677499,0.0,1768,281640,85.242,0.001,91.704,1.019
1777987383.681510,0.0,1768,281641,85.219,0.408,93.541,1.501
