timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb,net_rx_mb,net_tx_mb
1778016369.105443,0.0,1495,282041,0.000,0.000,0.000,0.000
1778016372.108962,0.0,1842,281605,70.490,0.000,39.198,0.445
1778016375.113452,0.0,1842,281605,89.200,0.000,94.374,1.067
1778016378.117809,0.0,1842,281605,94.529,0.161,96.666,1.312
1778016381.121432,0.0,1834,281606,87.894,0.009,92.125,1.020
1778016384.125184,0.0,1837,281606,85.227,0.000,90.506,1.048
1778016387.127778,0.0,1837,281607,94.585,0.000,96.439,1.091
1778016390.131016,0.0,1836,281607,86.573,0.004,95.953,1.133
1778016393.134327,0.0,1842,281607,85.239,0.000,91.988,1.089
1778016396.137661,0.0,1841,281608,85.239,0.004,93.864,1.061
1778016399.141005,0.0,1841,281608,85.238,0.000,91.951,1.013
1778016402.144218,0.0,1842,281609,85.242,0.004,87.526,0.883
1778016405.147464,0.0,1843,281609,85.241,0.004,114.294,1.280
1778016408.150711,0.0,1851,281609,85.241,1.357,89.387,2.543
1778016411.154001,0.0,1851,281610,86.572,0.126,92.010,1.086
1778016414.156626,0.0,1851,281611,85.259,0.000,90.296,1.034
1778016417.160199,0.0,1852,281611,85.232,0.004,87.579,0.991
1778016420.163883,0.0,1850,281611,89.224,0.000,93.196,1.031
1778016423.167520,0.0,1852,281612,83.898,0.004,90.140,1.009
1778016426.171184,0.0,1850,281612,89.224,0.792,93.480,1.902
1778016429.174778,0.0,1860,281613,91.890,0.009,94.149,1.074
1778016432.178854,0.0,1857,281613,87.881,0.001,92.626,1.022
1778016435.182127,0.0,1858,281613,89.236,0.004,93.092,1.079
1778016438.185821,0.0,1860,281614,89.223,0.000,94.947,1.153
1778016441.189456,0.0,1857,281614,91.889,0.670,95.551,1.801
1778016444.193181,0.0,1858,281615,90.554,0.007,94.825,1.082
1778016447.196889,0.0,1859,281615,86.560,0.008,90.977,1.042
1778016450.200507,0.0,1858,281615,87.894,0.000,92.119,1.085
1778016453.204321,0.0,1860,281616,91.883,0.541,97.347,1.720
1778016456.208054,0.0,1857,281616,89.222,0.000,91.938,1.057
1778016459.211701,0.0,1857,281617,90.557,0.004,93.733,1.085
1778016462.215353,0.0,1860,281617,89.225,0.001,94.911,1.087
1778016465.219392,0.0,1858,281617,86.550,0.540,90.887,1.628
1778016468.223041,0.0,1860,281618,85.230,0.000,90.016,1.042
1778016471.226735,0.0,1857,281618,90.555,0.005,94.778,1.116
1778016474.230481,0.0,1858,281618,89.222,0.531,93.358,1.678
1778016477.234147,0.0,1859,281619,93.219,0.017,94.804,1.115
1778016480.236901,0.0,1859,281619,89.251,0.005,93.330,1.373
1778016483.240156,0.0,1857,281620,86.573,0.267,93.412,1.097
1778016486.243375,0.0,1858,281620,85.242,0.009,89.373,1.054
1778016489.246618,0.0,1864,281620,85.241,0.000,89.380,1.015
1778016492.249829,0.0,1867,281621,85.242,0.542,89.378,1.527
1778016495.253234,0.0,1864,281622,85.237,0.000,89.371,1.008
1778016498.259710,0.0,1865,281622,85.150,0.005,89.278,1.026
1778016501.263742,0.0,1864,281622,86.550,0.000,89.352,1.024
1778016504.268751,0.0,1864,281623,89.184,0.541,91.161,1.599
1778016507.271796,0.0,1864,281623,89.243,0.000,94.950,1.038
1778016510.275449,0.0,1865,281624,91.888,0.277,96.261,1.413
1778016513.279208,0.0,1865,281624,91.885,0.008,94.875,1.128
1778016516.283463,0.0,1865,281624,89.207,0.272,93.867,1.362
1778016519.287202,0.0,1867,281625,89.222,0.000,95.653,1.043
1778016522.290879,0.0,1865,281625,91.887,0.010,97.640,1.127
