step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.752626,0.152809,0.239605,64.000000,0.099186,23.250523,0.413956,2.752626,0.239605
2,2.477991,0.148361,0.213027,64.000000,0.099186,25.827375,0.465604,5.230617,0.452631
3,2.453661,0.150124,0.053241,64.000000,0.099186,26.083474,1.862960,7.684278,0.505872
4,2.340934,0.147519,0.260389,64.000000,0.099186,27.339519,0.380915,10.025212,0.766261
5,2.283787,0.148446,0.218529,64.000000,0.099186,28.023629,0.453879,12.308999,0.984790
6,2.260212,0.150001,0.224656,64.000000,0.099186,28.315927,0.441502,14.569211,1.209446
7,2.304137,0.152733,0.159456,64.000000,0.099186,27.776130,0.622029,16.873348,1.368902
8,2.368413,0.148898,0.155379,64.000000,0.099186,27.022310,0.638347,19.241761,1.524281
9,2.251835,0.149788,0.248971,64.000000,0.099186,28.421268,0.398383,21.493596,1.773252
10,2.045562,0.173596,0.371503,64.000000,0.099186,31.287241,0.266986,23.539158,2.144755
11,2.347856,0.149469,0.180536,64.000000,0.099186,27.258907,0.549398,25.887014,2.325291
12,2.081185,0.172978,0.310813,64.000000,0.099186,30.751712,0.319118,27.968199,2.636104
13,2.228660,0.149944,0.197549,64.000000,0.099186,28.716813,0.502082,30.196859,2.833653
14,2.070076,0.149467,0.311648,64.000000,0.099186,30.916744,0.318263,32.266935,3.145301
15,2.310537,0.149315,0.279740,64.000000,0.099186,27.699191,0.354564,34.577471,3.425041
16,2.332536,0.147885,0.213577,64.000000,0.099186,27.437948,0.464404,36.910007,3.638618
17,2.290364,0.150153,0.218569,64.000000,0.099186,27.943151,0.453797,39.200372,3.857187
18,2.224437,0.148351,0.214091,64.000000,0.099186,28.771322,0.463288,41.424809,4.071278
19,2.268552,0.148046,0.175672,64.000000,0.099186,28.211834,0.564610,43.693361,4.246950
20,2.245600,0.149969,0.289418,64.000000,0.099186,28.500173,0.342709,45.938961,4.536367
21,2.268357,0.148839,0.343551,64.000000,0.099186,28.214252,0.288708,48.207318,4.879918
22,2.151656,0.149128,0.325815,64.000000,0.099186,29.744531,0.304424,50.358974,5.205733
