timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb,net_rx_mb,net_tx_mb
1778594694.794421,0.0,1299,281784,0.000,0.000,0.000,0.000
1778594697.797653,0.0,1633,281349,30.539,0.000,22.206,0.242
1778594700.801382,0.0,1631,281349,85.227,0.000,91.823,1.011
1778594703.805148,0.0,1628,281349,86.558,0.164,88.377,1.122
1778594706.841051,0.0,1633,281350,86.959,0.000,91.742,1.031
1778594709.865965,0.0,1626,281350,85.953,0.027,90.286,0.989
1778594712.869640,0.0,1628,281351,89.224,0.000,91.723,1.045
1778594715.873282,0.0,1629,281351,93.220,0.009,97.585,1.138
1778594718.876930,0.0,1630,281351,97.215,0.000,102.166,1.178
1778594721.880600,0.0,1630,281352,89.224,0.004,95.314,1.171
1778594724.884169,0.0,1630,281352,97.218,0.000,99.227,1.200
1778594727.887376,0.0,1629,281353,95.897,0.004,101.470,1.209
1778594730.902229,0.0,1630,281353,84.913,0.000,95.817,1.124
1778594733.911279,0.0,1630,281354,85.077,1.460,93.140,2.520
1778594736.916306,0.0,1630,281354,90.515,0.009,89.326,1.174
1778594739.919835,0.0,1632,281355,90.560,0.001,89.366,1.057
1778594742.922807,0.0,1631,281355,93.241,0.004,96.639,1.145
1778594745.926422,0.0,1630,281355,95.884,0.005,100.367,1.181
1778594748.930068,0.0,1628,281356,95.883,0.004,97.986,1.143
1778594751.933757,0.0,1629,281356,94.550,0.797,98.887,2.026
1778594754.937462,0.0,1629,281357,89.223,0.009,96.218,1.160
1778594757.941071,0.0,1630,281357,94.553,0.000,99.141,1.119
1778594760.944736,0.0,1630,281357,94.551,0.009,99.392,1.141
1778594763.948187,0.0,1631,281358,94.558,0.531,97.474,1.768
1778594766.951481,0.0,1632,281358,89.235,0.008,100.685,1.241
1778594769.966081,0.0,1627,281359,84.920,0.004,94.475,1.135
1778594772.974081,0.0,1626,281359,85.106,0.535,90.632,1.589
1778594775.977702,0.0,1628,281360,86.562,0.010,89.361,1.083
1778594778.981414,0.0,1627,281360,91.886,0.000,89.359,1.061
1778594781.985141,0.0,1627,281361,91.886,0.009,89.420,1.109
1778594784.988833,0.0,1629,281361,91.887,0.532,95.731,1.681
1778594787.992477,0.0,1628,281361,87.893,0.009,92.586,1.072
1778594790.996058,0.0,1628,281362,74.578,0.001,79.704,0.772
1778594793.999558,0.0,1626,281362,71.916,0.008,76.806,0.861
1778594797.014139,0.0,1628,281362,84.921,0.394,97.348,1.444
1778594800.040549,0.0,1628,281363,84.589,0.010,87.429,0.955
1778594803.048644,0.0,1627,281363,86.433,0.000,94.711,1.020
1778594806.052288,0.0,1627,281364,87.893,0.009,89.359,0.976
1778594809.055932,0.0,1626,281364,93.220,0.000,89.361,1.056
1778594812.059293,0.0,1628,281365,93.229,0.003,91.903,1.067
1778594815.062441,0.0,1628,281365,97.231,0.001,101.102,1.202
1778594818.066070,0.0,1627,281365,87.894,0.004,91.240,1.020
1778594821.069657,0.0,1630,281366,90.558,0.000,96.656,1.154
1778594824.073293,0.0,1628,281366,89.225,0.004,93.132,1.121
1778594827.076939,0.0,1626,281367,91.888,1.460,94.556,2.645
1778594830.080723,0.0,1627,281367,87.889,0.013,94.954,1.123
1778594833.084439,0.0,1626,281367,90.555,0.000,93.847,1.107
1778594836.088137,0.0,1627,281368,91.887,0.012,96.143,1.147
1778594839.091677,0.0,1628,281368,90.560,0.000,93.739,1.062
1778594842.094247,0.0,1629,281368,87.925,0.004,93.603,1.091
1778594845.098263,0.0,1625,281369,91.877,0.000,93.964,1.015
1778594848.101515,0.0,1626,281369,90.568,0.004,94.630,1.154
1778594851.105116,0.0,1627,281370,85.231,0.000,95.863,1.083
1778594854.118247,0.0,1628,281370,84.961,0.004,96.190,1.061
1778594857.120927,0.0,1626,281371,85.257,1.470,95.934,2.443
1778594860.124684,0.0,1626,281371,91.885,0.000,90.854,1.214
1778594863.128312,0.0,1627,281372,87.894,0.009,89.362,1.051
1778594866.131912,0.0,1628,281372,91.890,0.000,89.366,1.053
1778594869.135179,0.0,1628,281372,87.904,0.005,89.416,1.010
1778594872.138828,0.0,1629,281373,86.561,0.001,90.885,1.043
1778594875.142403,0.0,1630,281373,90.559,0.004,92.886,1.069
1778594878.145970,0.0,1628,281374,90.559,0.000,93.378,1.061
1778594881.149368,0.0,1629,281374,86.569,0.004,92.294,1.062
1778594884.152911,0.0,1630,281374,83.901,0.000,86.122,0.853
1778594887.156471,0.0,1628,281375,89.227,0.004,94.592,1.087
1778594890.160078,0.0,1627,281375,70.582,1.459,75.350,2.295
1778594893.163805,0.0,1627,281376,73.242,0.010,89.360,0.950
1778594896.167373,0.0,1627,281376,89.227,0.000,89.368,0.955
1778594899.170973,0.0,1628,281376,89.226,0.009,89.364,1.026
1778594902.174541,0.0,1629,281377,89.227,0.000,89.361,1.045
1778594905.178107,0.0,1626,281377,87.896,0.675,89.365,1.614
1778594908.181651,0.0,1629,281378,90.560,0.000,96.987,1.124
1778594911.185249,0.0,1630,281378,89.226,0.009,93.733,1.102
1778594914.188839,0.0,1628,281378,82.568,0.001,87.662,0.935
1778594917.192401,0.0,1628,281379,81.237,0.004,81.780,0.788
1778594920.196100,0.0,1625,281379,91.887,0.010,94.852,1.099
1778594923.199238,0.0,1626,281380,91.905,0.800,96.381,1.970
1778594926.202545,0.0,1628,281380,91.899,0.000,97.387,1.103
1778594929.206136,0.0,1628,281380,93.222,0.004,97.156,1.096
1778594932.209499,0.0,1627,281381,91.897,0.000,96.965,1.138
1778594935.212987,0.0,1627,281381,94.557,0.004,97.661,1.170
1778594938.215775,0.0,1626,281382,93.247,0.000,97.810,1.131
1778594941.219179,0.0,1628,281382,85.237,0.004,90.613,1.050
1778594944.221892,0.0,1628,281382,42.628,0.000,59.341,0.669
1778594947.225621,0.0,1629,281383,91.886,0.004,79.956,0.875
1778594950.229335,0.0,1630,281383,89.223,0.000,95.852,1.090
1778594953.232927,0.0,1629,281384,87.895,0.022,89.836,1.011
1778594956.236493,0.0,1629,281384,94.554,0.003,97.792,1.096
