step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,3.225404,0.147223,0.267023,64.000000,0.099186,19.842476,0.371452,3.225404,0.267023
2,2.433004,0.148545,0.264490,64.000000,0.099186,26.304934,0.375009,5.658408,0.531512
3,2.271595,0.147771,0.283864,64.000000,0.099186,28.174040,0.349414,7.930002,0.815376
4,2.303129,0.145697,0.182752,64.000000,0.099186,27.788287,0.542736,10.233131,0.998128
5,2.302251,0.147878,0.262722,64.000000,0.099186,27.798881,0.377532,12.535382,1.260850
6,2.471772,0.149352,0.088587,64.000000,0.099186,25.892354,1.119640,15.007154,1.349437
7,2.235553,0.148611,0.201383,64.000000,0.099186,28.628261,0.492524,17.242707,1.550820
8,2.411163,0.147081,0.060149,64.000000,0.099186,26.543207,1.648999,19.653870,1.610969
9,2.437772,0.145066,0.083737,64.000000,0.099186,26.253478,1.184500,22.091643,1.694706
10,2.225970,0.146198,0.223310,64.000000,0.099186,28.751514,0.444163,24.317612,1.918016
11,2.206319,0.146982,0.300524,64.000000,0.099186,29.007592,0.330044,26.523931,2.218540
12,2.030879,0.172730,0.410148,64.000000,0.099186,31.513452,0.241830,28.554810,2.628687
13,2.428783,0.145854,0.125579,64.000000,0.099186,26.350647,0.789831,30.983593,2.754266
14,1.838223,0.144173,0.620721,64.000000,0.099186,34.816230,0.159792,32.821816,3.374987
15,2.397905,0.145811,0.153780,64.000000,0.099186,26.689970,0.644986,35.219721,3.528767
16,2.179894,0.145838,0.349860,64.000000,0.099186,29.359226,0.283502,37.399615,3.878627
17,2.428887,0.146044,0.104091,64.000000,0.099186,26.349520,0.952880,39.828501,3.982718
18,2.207739,0.145193,0.279866,64.000000,0.099186,28.988930,0.354405,42.036241,4.262584
19,2.150612,0.146145,0.302173,64.000000,0.099186,29.758977,0.328242,44.186852,4.564757
20,2.229279,0.146365,0.214973,64.000000,0.099186,28.708831,0.461388,46.416131,4.779730
21,2.298755,0.145074,0.365794,64.000000,0.099186,27.841162,0.271153,48.714886,5.145524
22,2.071509,0.146636,0.381495,64.000000,0.099186,30.895357,0.259993,50.786395,5.527018
23,2.354967,0.148234,0.166110,64.000000,0.099186,27.176604,0.597110,53.141361,5.693128
24,2.224463,0.146541,0.221950,64.000000,0.099186,28.770983,0.446884,55.365825,5.915078
25,2.262968,0.146519,0.215112,64.000000,0.099186,28.281442,0.461090,57.628793,6.130190
26,2.276207,0.145698,0.253203,64.000000,0.099186,28.116949,0.391725,59.905000,6.383393
27,2.299767,0.146280,0.205070,64.000000,0.099186,27.828905,0.483669,62.204767,6.588463
28,2.322880,0.145762,0.156430,64.000000,0.099186,27.551999,0.634061,64.527648,6.744893
29,2.343042,0.145109,0.193535,64.000000,0.099186,27.314915,0.512495,66.870690,6.938428
30,2.417543,0.146038,0.101584,64.000000,0.099186,26.473158,0.976396,69.288233,7.040012
31,2.359793,0.146343,0.131466,64.000000,0.099186,27.121018,0.754461,71.648026,7.171478
32,2.427064,0.144576,0.127031,64.000000,0.099186,26.369304,0.780798,74.075091,7.298509
33,2.168458,0.161761,0.397658,64.000000,0.099186,29.514059,0.249425,76.243549,7.696167
34,2.289736,0.146282,0.189029,64.000000,0.099186,27.950822,0.524714,78.533285,7.885196
35,2.265697,0.147990,0.242498,64.000000,0.099186,28.247382,0.409018,80.798981,8.127694
36,2.458927,0.149816,0.272417,64.000000,0.099186,26.027610,0.364096,83.257909,8.400111
37,2.424630,0.145279,0.187030,64.000000,0.099186,26.395777,0.530321,85.682539,8.587141
38,2.581337,0.145992,0.049990,64.000000,0.099186,24.793353,1.984121,88.263876,8.637131
39,2.161409,0.149135,0.301467,64.000000,0.099186,29.610320,0.329011,90.425285,8.938598
40,2.383807,0.146522,0.094388,64.000000,0.099186,26.847814,1.050835,92.809091,9.032986
41,2.357945,0.149433,0.142106,64.000000,0.099186,27.142282,0.697971,95.167036,9.175092
42,2.056144,0.148439,0.279251,64.000000,0.099186,31.126228,0.355185,97.223180,9.454343
43,2.351242,0.148444,0.145462,64.000000,0.099186,27.219662,0.681870,99.574421,9.599805
44,2.456673,0.146036,0.229579,64.000000,0.099186,26.051490,0.432035,102.031095,9.829383
45,1.985947,0.145753,0.445285,64.000000,0.099186,32.226433,0.222747,104.017042,10.274668
46,2.316890,0.147502,0.195443,64.000000,0.099186,27.623239,0.507494,106.333932,10.470110
47,2.259920,0.145452,0.118360,64.000000,0.099186,28.319589,0.838005,108.593852,10.588470
48,2.006313,0.150600,0.404944,64.000000,0.099186,31.899315,0.244937,110.600164,10.993414
49,2.296712,0.145492,0.185695,64.000000,0.099186,27.865919,0.534134,112.896877,11.179109
50,2.261852,0.146109,0.191712,64.000000,0.099186,28.295398,0.517369,115.158728,11.370821
51,2.296983,0.145816,0.264847,64.000000,0.099186,27.862640,0.374503,117.455711,11.635668
52,2.142380,0.145942,0.407748,64.000000,0.099186,29.873315,0.243253,119.598091,12.043416
53,2.119099,0.147018,0.418201,64.000000,0.099186,30.201522,0.237173,121.717190,12.461617
54,2.293403,0.146530,0.217172,64.000000,0.099186,27.906124,0.456716,124.010593,12.678789
55,2.377246,0.145679,0.232213,64.000000,0.099186,26.921909,0.427133,126.387839,12.911002
56,2.225010,0.147044,0.216697,64.000000,0.099186,28.763909,0.457717,128.612850,13.127699
57,2.276161,0.149009,0.253916,64.000000,0.099186,28.117521,0.390624,130.889011,13.381616
58,2.215777,0.145996,0.180291,64.000000,0.099186,28.883776,0.550145,133.104787,13.561906
59,2.302689,0.146803,0.181502,64.000000,0.099186,27.793587,0.546473,135.407477,13.743408
60,2.240388,0.147473,0.278830,64.000000,0.099186,28.566476,0.355722,137.647865,14.022238
61,2.301033,0.146137,0.227657,64.000000,0.099186,27.813598,0.435681,139.948898,14.249896
62,2.393039,0.148759,0.154752,64.000000,0.099186,26.744232,0.640936,142.341937,14.404647
63,2.300770,0.146618,0.236840,64.000000,0.099186,27.816774,0.418789,144.642707,14.641487
64,2.320616,0.148791,0.177268,64.000000,0.099186,27.578881,0.559526,146.963324,14.818755
65,2.647854,0.149195,0.003550,64.000000,0.099186,24.170516,27.937562,149.611178,14.822306
66,2.280686,0.148395,0.223911,64.000000,0.099186,28.061735,0.442970,151.891863,15.046217
67,2.441112,0.148275,0.257325,64.000000,0.099186,26.217562,0.385450,154.332975,15.303542
68,2.434296,0.148457,0.313111,64.000000,0.099186,26.290965,0.316776,156.767272,15.616653
69,2.173437,0.143360,0.646823,64.000000,0.099186,29.446449,0.153343,158.940709,16.263476
70,2.020921,0.145816,0.408400,64.000000,0.099186,31.668735,0.242864,160.961629,16.671876
71,2.514761,0.146864,0.201511,64.000000,0.099186,25.449737,0.492211,163.476390,16.873387
72,2.466871,0.146932,0.194077,64.000000,0.099186,25.943796,0.511064,165.943261,17.067464
73,2.349026,0.147061,0.233895,64.000000,0.099186,27.245334,0.424061,168.292287,17.301360
74,2.175849,0.146831,0.364828,64.000000,0.099186,29.413801,0.271870,170.468136,17.666188
75,2.642503,0.148806,0.379978,64.000000,0.099186,24.219464,0.261031,173.110639,18.046166
76,2.455585,0.148309,0.041510,64.000000,0.099186,26.063031,2.389435,175.566225,18.087676
77,2.213496,0.148058,0.375731,64.000000,0.099186,28.913542,0.263982,177.779720,18.463407
78,2.350044,0.148552,0.171159,64.000000,0.099186,27.233537,0.579497,180.129764,18.634566
79,2.330779,0.149114,0.189831,64.000000,0.099186,27.458636,0.522496,182.460543,18.824397
80,2.277901,0.144876,0.278685,64.000000,0.099186,28.096046,0.355907,184.738443,19.103081
81,2.397765,0.149022,0.040058,64.000000,0.099186,26.691527,2.476085,187.136208,19.143139
82,2.273048,0.148386,0.203129,64.000000,0.099186,28.156032,0.488291,189.409255,19.346268
83,2.111129,0.147166,0.345923,64.000000,0.099186,30.315537,0.286729,191.520384,19.692190
84,2.306961,0.145988,0.220771,64.000000,0.099186,27.742127,0.449270,193.827345,19.912961
85,2.272958,0.145583,0.313161,64.000000,0.099186,28.157144,0.316725,196.100303,20.226123
