timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb,net_rx_mb,net_tx_mb
1778624862.394068,0.0,1245,281784,0.000,0.000,0.000,0.000
1778624865.397232,0.0,1692,281349,26.544,0.000,28.376,0.326
1778624868.400306,0.0,1633,281349,73.258,0.000,75.716,0.834
1778624871.403967,0.0,1635,281349,82.566,0.164,87.141,1.074
1778624874.406607,0.0,1639,281349,85.258,0.003,89.402,1.167
1778624877.409336,0.0,1642,281350,78.595,0.157,80.544,1.009
1778624880.413097,0.0,1641,281350,73.242,0.001,77.196,0.852
1778624883.417090,0.0,1636,281351,67.910,0.000,70.642,0.754
1778624886.420877,0.0,1637,281351,71.909,0.007,74.714,0.830
1778624889.424579,0.0,1639,281351,74.575,0.000,77.689,0.897
1778624892.428274,0.0,1649,281352,67.916,0.004,74.615,0.851
1778624895.432189,0.0,1649,281352,77.233,0.000,80.804,0.975
1778624898.435769,0.0,1655,281352,85.232,0.004,89.369,1.063
1778624901.438403,0.0,1659,281353,85.258,0.000,89.396,1.014
1778624904.441056,0.0,1655,281353,85.258,0.000,89.393,1.054
1778624907.443790,0.0,1651,281353,74.599,1.323,74.571,2.312
1778624910.450383,0.0,1653,281354,71.842,0.000,76.818,0.933
1778624913.454127,0.0,1654,281354,73.242,0.009,75.787,0.909
1778624916.458363,0.0,1655,281355,70.567,0.001,76.728,0.926
1778624919.462104,0.0,1654,281355,77.237,0.008,75.660,0.914
1778624922.465882,0.0,1657,281355,67.914,0.000,73.516,0.830
1778624925.469971,0.0,1655,281356,75.897,0.004,83.049,0.973
1778624928.473643,0.0,1657,281356,85.229,0.000,89.363,1.120
1778624931.476203,0.0,1675,281356,85.261,0.000,89.400,1.116
1778624934.478944,0.0,1660,281357,83.923,0.004,82.472,1.021
1778624937.482449,0.0,1678,281357,69.252,0.000,72.887,0.830
1778624940.486904,0.0,1674,281357,70.562,0.004,74.868,2.254
1778624943.491319,0.0,1676,281358,69.231,1.320,74.608,0.920
1778624946.495015,0.0,1677,281358,74.575,0.009,76.998,0.913
1778624949.498769,0.0,1680,281358,65.252,0.000,69.225,0.850
1778624952.502400,0.0,1677,281359,78.572,0.009,85.131,1.062
1778624955.506465,0.0,1674,281359,85.218,0.000,89.352,1.009
1778624958.509110,0.0,1674,281359,85.258,0.004,89.261,0.959
1778624961.511823,0.0,1675,281360,77.263,0.000,74.691,0.883
1778624964.515552,0.0,1679,281360,70.579,0.000,73.974,0.952
1778624967.519257,0.0,1679,281360,70.580,0.004,75.771,0.929
1778624970.522944,0.0,1678,281361,70.580,0.000,72.297,0.816
1778624973.526670,0.0,1683,281361,65.252,0.004,68.018,2.144
1778624976.529896,0.0,1680,281362,71.923,1.319,82.259,0.790
1778624979.533488,0.0,1676,281362,85.231,0.009,89.367,1.050
1778624982.536215,0.0,1680,281362,79.927,0.000,77.664,0.916
1778624985.539963,0.0,1673,281362,58.593,0.001,63.649,0.656
1778624988.543682,0.0,1676,281363,51.936,0.008,52.811,0.495
1778624991.547853,0.0,1677,281363,70.569,0.000,73.993,0.800
1778624994.551503,0.0,1671,281363,79.903,0.004,89.363,1.040
1778624997.554160,0.0,1675,281364,85.258,0.000,89.396,1.004
1778625000.556802,0.0,1670,281364,85.258,0.000,86.072,1.031
1778625003.559490,0.0,1677,281364,75.932,0.004,72.381,0.897
1778625006.563363,0.0,1675,281365,13.316,0.000,20.343,0.161
1778625009.567000,0.0,1675,281365,81.235,1.195,89.371,2.265
1778625012.589849,0.0,1678,281365,48.960,0.000,44.670,0.553
1778625015.593279,0.0,1677,281366,62.595,0.013,66.133,0.814
1778625018.596986,0.0,1679,281366,73.243,0.000,73.121,0.872
1778625021.600637,0.0,1678,281366,71.912,0.004,83.899,0.955
1778625024.604275,0.0,1681,281366,83.898,0.000,89.368,1.089
1778625027.606899,0.0,1681,281367,85.259,0.003,89.394,1.099
1778625030.609647,0.0,1684,281367,81.259,0.001,75.686,0.897
1778625033.613399,0.0,1683,281368,71.910,0.003,72.907,0.865
1778625036.617573,0.0,1679,281368,71.900,0.001,76.258,0.861
1778625039.621311,0.0,1683,281368,67.915,0.000,70.740,0.809
1778625042.625133,0.0,1683,281369,69.245,0.009,73.179,2.042
1778625045.628882,0.0,1683,281369,67.915,1.182,78.077,0.836
1778625048.632441,0.0,1683,281369,81.237,0.013,89.366,1.074
1778625051.635068,0.0,1683,281370,85.259,0.000,89.391,1.011
1778625054.637732,0.0,1682,281370,85.258,0.013,81.719,0.972
1778625057.640429,0.0,1682,281370,75.932,0.000,75.632,0.814
1778625060.644174,0.0,1675,281371,67.915,0.000,71.042,0.772
1778625063.647854,0.0,1676,281371,69.248,0.004,74.062,0.853
1778625066.651420,0.0,1676,281372,69.251,0.000,72.873,0.856
1778625069.655223,0.0,1672,281372,67.914,0.004,72.436,0.873
1778625072.658959,0.0,1672,281372,75.905,0.003,88.468,1.040
1778625075.662620,0.0,1674,281372,85.229,1.195,89.376,2.255
1778625078.665245,0.0,1674,281373,85.259,0.000,79.077,0.993
1778625081.667815,0.0,1672,281373,74.603,0.010,75.176,0.948
1778625084.671727,0.0,1673,281374,69.243,0.000,76.655,0.916
1778625087.675652,0.0,1673,281374,69.243,0.000,71.278,0.777
1778625090.679368,0.0,1674,281374,71.911,0.004,72.259,0.804
1778625093.683114,0.0,1676,281375,69.247,0.000,73.819,0.866
1778625096.686884,0.0,1682,281375,71.910,0.004,87.959,0.940
1778625099.690688,0.0,1670,281375,85.225,0.000,88.227,0.903
1778625102.693383,0.0,1667,281376,83.925,0.000,73.468,0.861
1778625105.696845,0.0,1670,281376,69.253,1.191,75.593,2.184
1778625108.700552,0.0,1671,281376,67.916,0.000,69.940,0.787
1778625111.704563,0.0,1670,281377,66.578,0.008,70.450,0.781
1778625114.708316,0.0,1671,281377,63.920,0.000,69.177,0.779
1778625117.711512,0.0,1672,281377,74.587,0.008,89.377,1.072
1778625120.715122,0.0,1672,281377,85.231,0.000,89.365,1.074
1778625123.717778,0.0,1673,281378,85.258,0.004,80.188,0.844
1778625126.720577,0.0,1673,281378,70.601,0.000,70.604,0.722
1778625129.724278,0.0,1673,281379,65.253,0.000,69.963,0.787
1778625132.728037,0.0,1681,281379,73.242,0.004,75.304,0.838
1778625135.731773,0.0,1678,281379,70.579,1.187,71.890,2.070
1778625138.735512,0.0,1678,281380,71.910,0.008,78.925,0.922
1778625141.739249,0.0,1677,281380,74.574,0.000,89.360,1.000
1778625144.743046,0.0,1677,281380,77.236,0.008,80.986,0.961
1778625147.746816,0.0,1676,281381,33.292,0.000,17.705,0.145
1778625150.750543,0.0,1677,281381,66.584,0.000,80.041,0.817
1778625153.754264,0.0,1678,281381,78.569,0.004,89.364,1.071
1778625156.758051,0.0,1677,281381,85.226,0.795,89.361,1.815
1778625159.760710,0.0,1678,281382,85.258,0.009,78.511,0.921
1778625162.763372,0.0,1678,281382,66.608,0.001,65.740,0.677
1778625165.767323,0.0,1679,281383,63.916,0.004,67.147,0.627
1778625168.771019,0.0,1679,281383,63.921,0.007,66.563,0.715
1778625171.775265,0.0,1679,281383,69.235,0.000,79.526,0.908
1778625174.778877,0.0,1679,281383,77.240,0.668,89.368,1.656
1778625177.781528,0.0,1679,281384,85.258,0.000,85.608,0.912
1778625180.784245,0.0,1680,281384,79.928,0.007,69.376,0.753
1778625183.787896,0.0,1680,281385,66.586,0.001,71.075,0.784
1778625186.808870,0.0,1680,281385,67.528,0.001,70.213,0.803
1778625189.812541,0.0,1680,281385,70.580,0.004,73.512,0.856
1778625192.816318,0.0,1680,281386,66.583,0.000,76.678,0.886
1778625195.820066,0.0,1680,281386,74.573,0.004,89.358,0.956
1778625198.823656,0.0,1681,281386,85.231,0.000,89.363,0.936
1778625201.826251,0.0,1681,281387,85.260,0.003,73.163,0.792
1778625204.828963,0.0,1681,281387,65.274,0.001,66.544,0.690
1778625207.832638,0.0,1681,281387,62.590,1.187,64.989,1.868
1778625210.836609,0.0,1682,281388,50.600,0.008,63.446,0.561
1778625213.840254,0.0,1676,281388,77.239,0.000,89.362,1.000
1778625216.842881,0.0,1676,281388,85.259,0.007,71.178,0.707
1778625219.845639,0.0,1677,281389,70.602,0.001,70.578,0.686
