step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.799799,0.152130,0.166873,64.000000,0.099186,22.858781,0.594381,2.799799,0.166873
2,2.404570,0.147957,0.105635,64.000000,0.099186,26.615985,0.938949,5.204369,0.272508
3,2.223009,0.154691,0.338063,64.000000,0.099186,28.789807,0.293394,7.427378,0.610571
4,2.175701,0.161789,0.353977,64.000000,0.099186,29.415806,0.280205,9.603079,0.964548
5,2.146477,0.149170,0.357471,64.000000,0.099186,29.816303,0.277466,11.749556,1.322019
6,2.037248,0.147756,0.480983,64.000000,0.099186,31.414930,0.206215,13.786804,1.803002
7,2.298758,0.147852,0.304982,64.000000,0.099186,27.841125,0.325219,16.085562,2.107984
8,2.513864,0.147073,0.064931,64.000000,0.099186,25.458816,1.527552,18.599426,2.172916
9,2.321381,0.149250,0.244130,64.000000,0.099186,27.569795,0.406283,20.920807,2.417046
10,2.413745,0.148898,0.185150,64.000000,0.099186,26.514819,0.535706,23.334551,2.602196
11,2.183845,0.149331,0.466498,64.000000,0.099186,29.306115,0.212618,25.518396,3.068694
12,2.422200,0.151395,0.087669,64.000000,0.099186,26.422263,1.131366,27.940596,3.156363
13,2.149608,0.146876,0.484308,64.000000,0.099186,29.772866,0.204799,30.090204,3.640671
14,2.546484,0.146323,0.245512,64.000000,0.099186,25.132692,0.403997,32.636688,3.886183
15,2.268348,0.145151,0.255209,64.000000,0.099186,28.214369,0.388645,34.905036,4.141392
16,2.159592,0.145737,0.272497,64.000000,0.099186,29.635222,0.363989,37.064628,4.413889
17,2.381330,0.146137,0.288900,64.000000,0.099186,26.875743,0.343322,39.445958,4.702789
18,2.419459,0.147096,0.154770,64.000000,0.099186,26.452197,0.640861,41.865416,4.857559
19,2.287322,0.147738,0.294202,64.000000,0.099186,27.980321,0.337135,44.152738,5.151761
20,2.158610,0.148236,0.469321,64.000000,0.099186,29.648713,0.211339,46.311348,5.621082
21,2.235672,0.150796,0.218486,64.000000,0.099186,28.626736,0.453969,48.547020,5.839568
22,2.336148,0.148002,0.264644,64.000000,0.099186,27.395528,0.374790,50.883168,6.104212
23,2.541020,0.145834,0.099712,64.000000,0.099186,25.186737,0.994721,53.424188,6.203924
24,2.245248,0.147976,0.229780,64.000000,0.099186,28.504642,0.431656,55.669436,6.433705
25,2.366997,0.147577,0.145158,64.000000,0.099186,27.038478,0.683297,58.036434,6.578862
26,2.089858,0.151282,0.446321,64.000000,0.099186,30.624089,0.222230,60.126292,7.025184
27,2.298184,0.147723,0.223232,64.000000,0.099186,27.848078,0.444318,62.424475,7.248415
28,2.261820,0.159007,0.306233,64.000000,0.099186,28.295792,0.323891,64.686296,7.554648
29,2.521675,0.149363,0.244796,64.000000,0.099186,25.379954,0.405177,67.207971,7.799444
30,2.275145,0.150689,0.219555,64.000000,0.099186,28.130074,0.451759,69.483116,8.018999
31,2.448965,0.150343,0.144493,64.000000,0.099186,26.133493,0.686441,71.932081,8.163492
32,2.612412,0.149566,0.317454,64.000000,0.099186,24.498436,0.312442,74.544492,8.480947
33,2.343086,0.146011,0.207107,64.000000,0.099186,27.314405,0.478913,76.887578,8.688053
34,2.409525,0.146174,0.264579,64.000000,0.099186,26.561249,0.374882,79.297104,8.952632
35,2.541854,0.149684,0.219247,64.000000,0.099186,25.178476,0.452393,81.838957,9.171879
36,2.263519,0.146470,0.308324,64.000000,0.099186,28.274554,0.321693,84.102476,9.480204
37,2.404123,0.159595,0.290066,64.000000,0.099186,26.620930,0.341943,86.506600,9.770270
38,2.126918,0.154866,0.443506,64.000000,0.099186,30.090493,0.223641,88.633517,10.213776
39,2.233947,0.149483,0.304161,64.000000,0.099186,28.648841,0.326097,90.867465,10.517936
40,2.591631,0.149081,0.013712,64.000000,0.099186,24.694875,7.233724,93.459096,10.531648
41,2.238911,0.146525,0.206627,64.000000,0.099186,28.585320,0.480024,95.698007,10.738275
42,2.283927,0.150387,0.052832,64.000000,0.099186,28.021910,1.877381,97.981934,10.791107
43,2.387516,0.147471,0.165996,64.000000,0.099186,26.806108,0.597521,100.369450,10.957103
44,2.343812,0.146478,0.252034,64.000000,0.099186,27.305946,0.393542,102.713261,11.209137
45,2.288175,0.148093,0.271687,64.000000,0.099186,27.969887,0.365075,105.001437,11.480824
46,2.080308,0.153676,0.466854,64.000000,0.099186,30.764673,0.212456,107.081745,11.947678
47,2.197084,0.147354,0.307112,64.000000,0.099186,29.129524,0.322963,109.278828,12.254790
48,2.191396,0.146991,0.373599,64.000000,0.099186,29.205131,0.265488,111.470224,12.628389
49,2.274177,0.147284,0.198880,64.000000,0.099186,28.142047,0.498724,113.744401,12.827268
50,2.347023,0.146985,0.303894,64.000000,0.099186,27.268582,0.326383,116.091425,13.131162
51,2.162434,0.144693,0.479640,64.000000,0.099186,29.596275,0.206793,118.253859,13.610802
52,2.309278,0.146608,0.226018,64.000000,0.099186,27.714294,0.438841,120.563137,13.836820
53,2.494837,0.147213,0.132202,64.000000,0.099186,25.652982,0.750258,123.057973,13.969022
54,2.066441,0.148201,0.421586,64.000000,0.099186,30.971127,0.235269,125.124414,14.390608
55,2.337794,0.147789,0.163776,64.000000,0.099186,27.376232,0.605620,127.462208,14.554384
56,2.140307,0.146241,0.382234,64.000000,0.099186,29.902256,0.259490,129.602515,14.936618
57,2.417058,0.147846,0.158110,64.000000,0.099186,26.478468,0.627323,132.019573,15.094728
58,2.093964,0.157986,0.353271,64.000000,0.099186,30.564043,0.280764,134.113537,15.447999
