timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb,net_rx_mb,net_tx_mb
1778694807.508017,0.0,1455,281348,0.000,0.000,0.000,0.000
1778694810.510360,0.0,1807,281348,66.529,0.000,56.601,0.660
1778694813.514351,0.0,1787,281349,82.557,0.012,88.517,0.992
1778694816.518217,0.0,1784,281349,90.550,0.001,93.972,1.099
1778694819.521881,0.0,1784,281350,85.229,0.284,89.292,1.343
1778694822.525570,0.0,1789,281350,87.892,0.000,92.172,1.044
1778694825.529317,0.0,1798,281350,86.559,0.007,92.135,0.994
1778694828.532979,0.0,1800,281351,89.224,0.000,91.168,1.035
1778694831.536130,0.0,1802,281351,86.576,0.004,88.995,0.858
1778694834.540761,0.0,1800,281352,86.533,0.000,91.393,0.950
1778694837.544506,0.0,1726,281352,81.232,0.004,87.980,0.963
1778694840.548263,0.0,1727,281352,90.553,0.000,91.642,1.021
1778694843.551977,0.0,1735,281353,83.896,0.004,88.277,0.880
1778694846.556060,0.0,1735,281353,86.549,0.000,91.130,0.961
1778694849.559745,0.0,1745,281353,77.238,0.005,87.066,0.840
1778694852.563426,0.0,1749,281354,85.229,1.458,86.596,2.448
1778694855.567155,0.0,1749,281354,89.222,0.009,91.652,1.027
1778694858.570877,0.0,1753,281355,93.218,0.000,94.510,1.049
1778694861.574603,0.0,1747,281355,82.564,0.004,88.156,0.943
1778694864.578714,0.0,1748,281355,86.548,0.000,90.476,0.979
1778694867.582510,0.0,1750,281356,85.225,0.792,88.753,1.808
1778694870.586262,0.0,1748,281356,85.227,0.005,90.693,1.027
1778694873.589895,0.0,1747,281357,89.225,0.009,93.732,1.074
1778694876.592862,0.0,1746,281357,86.581,0.009,89.630,0.973
1778694879.595521,0.0,1748,281357,87.922,0.004,90.343,1.151
1778694882.600009,0.0,1748,281358,90.531,0.529,94.170,1.476
1778694885.603233,0.0,1755,281358,85.242,0.009,91.974,1.003
1778694888.606441,0.0,1748,281359,85.242,0.000,90.047,1.005
1778694891.609689,0.0,1749,281359,85.241,0.004,91.011,0.942
1778694894.612941,0.0,1749,281359,85.241,0.003,87.944,0.916
1778694897.616169,0.0,1746,281360,84.474,0.001,90.556,0.976
1778694900.619416,0.0,1744,281360,86.008,0.004,88.219,0.898
1778694903.622674,0.0,1748,281361,82.577,0.000,84.362,0.813
1778694906.625689,0.0,1749,281361,81.252,0.000,83.629,0.877
1778694909.629783,0.0,1748,281361,87.880,0.004,94.449,0.975
1778694912.632680,0.0,1748,281362,78.591,1.250,80.918,1.812
1778694915.650329,0.0,1748,281362,87.485,0.214,89.576,1.493
1778694918.653648,0.0,1748,281363,77.248,0.008,81.881,0.838
1778694921.658113,0.0,1749,281363,86.538,0.005,92.547,0.967
1778694924.661803,0.0,1747,281363,89.224,0.000,91.848,0.989
1778694927.665669,0.0,1748,281364,82.560,0.004,87.359,0.943
1778694930.669371,0.0,1750,281364,87.892,0.000,90.528,0.986
1778694933.673051,0.0,1751,281365,87.892,0.004,92.511,1.024
1778694936.675849,0.0,1750,281365,87.918,0.000,92.495,1.033
1778694939.678511,0.0,1748,281365,90.586,0.004,92.205,0.988
1778694942.681796,0.0,1747,281366,85.240,0.004,92.762,1.067
