step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,2.576707,0.102402,0.002845,32.000000,0.050358,12.418951,17.700339,2.576707,0.002845
2,2.377897,0.103067,0.123953,32.000000,0.050358,13.457271,0.406264,4.954604,0.126798
3,2.191799,0.078958,0.433081,32.000000,0.050358,14.599879,0.116278,7.146403,0.559879
4,2.202206,0.078067,0.515317,32.000000,0.050358,14.530883,0.097722,9.348609,1.075197
5,2.050972,0.075542,0.577170,32.000000,0.050358,15.602357,0.087250,11.399581,1.652367
6,2.588605,0.109915,0.232338,32.000000,0.050358,12.361871,0.216744,13.988186,1.884705
7,2.291176,0.086343,0.378252,32.000000,0.050358,13.966626,0.133133,16.279362,2.262957
8,2.287739,0.100768,0.814850,32.000000,0.050358,13.987612,0.061800,18.567101,3.077808
9,2.075887,0.103242,0.002654,32.000000,0.050358,15.415099,18.972273,20.642988,3.080462
10,2.656125,0.102305,0.001852,32.000000,0.050358,12.047628,27.193191,23.299112,3.082314
11,2.166142,0.099034,0.559928,32.000000,0.050358,14.772811,0.089936,25.465254,3.642241
12,2.116409,0.079655,0.492243,32.000000,0.050358,15.119950,0.102303,27.581663,4.134485
13,2.408691,0.092771,0.313420,32.000000,0.050358,13.285223,0.160672,29.990354,4.447905
14,2.395258,0.100416,0.090666,32.000000,0.050358,13.359731,0.555419,32.385612,4.538571
15,2.560474,0.100106,0.140417,32.000000,0.050358,12.497688,0.358630,34.946086,4.678989
16,1.999280,0.075007,0.676374,32.000000,0.050358,16.005761,0.074453,36.945366,5.355362
17,2.383346,0.100090,0.248684,32.000000,0.050358,13.426501,0.202497,39.328712,5.604047
18,2.423579,0.100251,0.144832,32.000000,0.050358,13.203612,0.347698,41.752291,5.748879
19,2.670726,0.100144,0.147261,32.000000,0.050358,11.981760,0.341963,44.423017,5.896140
20,2.344467,0.100327,0.320670,32.000000,0.050358,13.649157,0.157040,46.767484,6.216809
21,2.308149,0.100155,0.141440,32.000000,0.050358,13.863922,0.356036,49.075634,6.358250
22,2.341501,0.101877,0.275316,32.000000,0.050358,13.666445,0.182909,51.417135,6.633566
23,2.492576,0.100594,0.178701,32.000000,0.050358,12.838125,0.281799,53.909711,6.812267
24,2.269208,0.106711,0.336683,32.000000,0.050358,14.101837,0.149570,56.178919,7.148950
25,2.302191,0.103740,0.295848,32.000000,0.050358,13.899800,0.170215,58.481110,7.444798
26,2.049667,0.075553,0.559954,32.000000,0.050358,15.612292,0.089932,60.530777,8.004752
27,2.518251,0.100188,0.135973,32.000000,0.050358,12.707230,0.370352,63.049029,8.140725
28,2.340246,0.076957,0.498892,32.000000,0.050358,13.673778,0.100939,65.389274,8.639617
29,2.465320,0.100418,0.051978,32.000000,0.050358,12.980057,0.968828,67.854595,8.691595
30,2.656334,0.102864,0.010810,32.000000,0.050358,12.046679,4.658636,70.510928,8.702405
31,2.472813,0.102342,0.164999,32.000000,0.050358,12.940728,0.305202,72.983741,8.867404
32,2.417258,0.101989,0.233879,32.000000,0.050358,13.238139,0.215315,75.400999,9.101283
33,2.519782,0.111370,0.221590,32.000000,0.050358,12.699514,0.227256,77.920781,9.322873
34,2.650034,0.100188,0.294540,32.000000,0.050358,12.075315,0.170971,80.570815,9.617413
35,2.278594,0.077091,0.485703,32.000000,0.050358,14.043749,0.103680,82.849409,10.103116
36,2.294339,0.079821,0.448847,32.000000,0.050358,13.947370,0.112194,85.143748,10.551963
37,2.649012,0.103743,0.005670,32.000000,0.050358,12.079976,8.881443,87.792760,10.557633
38,2.515125,0.100519,0.080344,32.000000,0.050358,12.723025,0.626775,90.307885,10.637977
39,2.511572,0.104373,0.234902,32.000000,0.050358,12.741023,0.214378,92.819458,10.872879
40,2.499458,0.102645,0.043080,32.000000,0.050358,12.802777,1.168948,95.318916,10.915958
41,2.137278,0.086504,0.469385,32.000000,0.050358,14.972314,0.107285,97.456194,11.385343
42,2.319237,0.103871,0.122098,32.000000,0.050358,13.797642,0.412439,99.775431,11.507441
43,2.412984,0.122469,0.214789,32.000000,0.050358,13.261587,0.234452,102.188415,11.722230
44,2.446080,0.100489,0.116651,32.000000,0.050358,13.082154,0.431698,104.634495,11.838881
45,2.862702,0.109922,0.029474,32.000000,0.050358,11.178249,1.708538,107.497198,11.868355
46,2.270079,0.100693,0.309917,32.000000,0.050358,14.096424,0.162488,109.767277,12.178272
47,1.854365,0.071501,0.743485,32.000000,0.050358,17.256577,0.067732,111.621642,12.921757
48,2.195897,0.091841,0.528066,32.000000,0.050358,14.572635,0.095363,113.817539,13.449823
49,2.510575,0.102840,0.072305,32.000000,0.050358,12.746086,0.696464,116.328114,13.522128
50,2.369560,0.075238,0.473309,32.000000,0.050358,13.504618,0.106395,118.697673,13.995437
51,2.572308,0.101580,0.179880,32.000000,0.050358,12.440190,0.279952,121.269981,14.175317
52,2.638508,0.104724,0.068957,32.000000,0.050358,12.128066,0.730278,123.908489,14.244274
53,2.914187,0.100066,0.002555,32.000000,0.050358,10.980763,19.708708,126.822676,14.246829
54,2.366667,0.075834,0.429513,32.000000,0.050358,13.521123,0.117244,129.189344,14.676342
55,2.348939,0.101486,0.225774,32.000000,0.050358,13.623173,0.223045,131.538283,14.902116
56,2.510943,0.102665,0.221731,32.000000,0.050358,12.744218,0.227113,134.049225,15.123847
57,2.463211,0.107710,0.217304,32.000000,0.050358,12.991171,0.231739,136.512437,15.341151
58,2.042806,0.075271,0.617172,32.000000,0.050358,15.664725,0.081594,138.555243,15.958323
59,2.296799,0.079923,0.481570,32.000000,0.050358,13.932432,0.104570,140.852042,16.439893
60,2.481698,0.080487,0.533213,32.000000,0.050358,12.894399,0.094442,143.333740,16.973106
61,2.692527,0.102372,0.151577,32.000000,0.050358,11.884745,0.332225,146.026267,17.124683
62,2.534300,0.100123,0.062540,32.000000,0.050358,12.626761,0.805212,148.560567,17.187223
63,2.696135,0.100022,0.131190,32.000000,0.050358,11.868842,0.383854,151.256702,17.318413
64,2.340042,0.093011,0.414821,32.000000,0.050358,13.674965,0.121397,153.596744,17.733234
65,2.519980,0.108642,0.166985,32.000000,0.050358,12.698512,0.301571,156.116725,17.900219
66,2.524107,0.103002,0.176263,32.000000,0.050358,12.677751,0.285697,158.640832,18.076482
67,2.117127,0.075386,0.598759,32.000000,0.050358,15.114825,0.084104,160.757958,18.675241
68,2.446649,0.102209,0.194385,32.000000,0.050358,13.079112,0.259062,163.204608,18.869626
69,2.378934,0.100456,0.197035,32.000000,0.050358,13.451403,0.255579,165.583542,19.066661
70,2.139497,0.073938,0.749543,32.000000,0.050358,14.956787,0.067185,167.723038,19.816204
71,2.012157,0.073621,0.775184,32.000000,0.050358,15.903328,0.064962,169.735196,20.591388
72,2.485601,0.102566,0.151947,32.000000,0.050358,12.874148,0.331417,172.220797,20.743335
73,2.124233,0.077069,0.528000,32.000000,0.050358,15.064259,0.095375,174.345031,21.271335
74,2.503880,0.076167,0.515586,32.000000,0.050358,12.780167,0.097671,176.848910,21.786921
75,2.450432,0.101209,0.158167,32.000000,0.050358,13.058922,0.318384,179.299342,21.945088
76,2.528510,0.104171,0.250689,32.000000,0.050358,12.655677,0.200878,181.827852,22.195777
77,2.216251,0.077895,0.569591,32.000000,0.050358,14.438796,0.088411,184.044103,22.765368
78,2.555398,0.103266,0.036121,32.000000,0.050358,12.522510,1.394142,186.599501,22.801489
79,2.107674,0.074622,0.452491,32.000000,0.050358,15.182616,0.111290,188.707175,23.253980
80,2.448176,0.102702,0.110774,32.000000,0.050358,13.070954,0.454601,191.155351,23.364754
81,2.719569,0.100459,0.016308,32.000000,0.050358,11.766568,3.088000,193.874921,23.381061
82,2.531752,0.099994,0.129683,32.000000,0.050358,12.639470,0.388314,196.406673,23.510745
83,2.271961,0.079000,0.528413,32.000000,0.050358,14.084750,0.095300,198.678633,24.039157
84,2.433894,0.109242,0.305047,32.000000,0.050358,13.147658,0.165082,201.112527,24.344204
85,2.587142,0.102497,0.142672,32.000000,0.050358,12.368861,0.352963,203.699669,24.486876
86,2.240257,0.073712,0.511087,32.000000,0.050358,14.284077,0.098531,205.939926,24.997963
87,2.435579,0.104748,0.021044,32.000000,0.050358,13.138557,2.393021,208.375505,25.019007
88,2.173570,0.075145,0.587734,32.000000,0.050358,14.722326,0.085681,210.549075,25.606741
89,2.258435,0.077425,0.475242,32.000000,0.050358,14.169104,0.105962,212.807510,26.081984
90,1.882147,0.078527,0.859093,32.000000,0.050358,17.001864,0.058617,214.689656,26.941076
91,2.500712,0.079072,0.406189,32.000000,0.050358,12.796354,0.123976,217.190368,27.347265
92,2.370219,0.100277,0.399866,32.000000,0.050358,13.500863,0.125937,219.560587,27.747131
93,2.485325,0.100220,0.285377,32.000000,0.050358,12.875581,0.176461,222.045912,28.032508
94,2.460016,0.080159,0.451992,32.000000,0.050358,13.008043,0.111413,224.505929,28.484501
95,2.308337,0.103661,0.479413,32.000000,0.050358,13.862795,0.105041,226.814265,28.963914
96,3.826416,0.077339,0.852037,32.000000,0.050358,8.362918,0.059103,230.640681,29.815951
97,2.954393,0.102727,0.180127,32.000000,0.050358,10.831329,0.279568,233.595074,29.996078
98,2.961548,0.102462,0.158507,32.000000,0.050358,10.805160,0.317700,236.556622,30.154586
99,2.647881,0.105841,0.146824,32.000000,0.050358,12.085135,0.342982,239.204503,30.301409
100,2.259324,0.070089,0.899642,32.000000,0.050358,14.163531,0.055975,241.463827,31.201051
101,2.768816,0.084064,0.342832,32.000000,0.050358,11.557285,0.146888,244.232643,31.543883
102,2.793467,0.102989,0.411684,32.000000,0.050358,11.455297,0.122321,247.026110,31.955567
103,3.102138,0.102559,0.249420,32.000000,0.050358,10.315465,0.201899,250.128249,32.204987
104,2.486047,0.107609,0.520809,32.000000,0.050358,12.871843,0.096692,252.614295,32.725796
105,2.898937,0.102898,0.043967,32.000000,0.050358,11.038530,1.145366,255.513232,32.769763
106,2.538140,0.102290,0.170160,32.000000,0.050358,12.607658,0.295944,258.051372,32.939923
107,2.572711,0.076746,0.536029,32.000000,0.050358,12.438239,0.093946,260.624084,33.475952
108,3.265466,0.102357,0.068644,32.000000,0.050358,9.799519,0.733608,263.889550,33.544596
109,2.581720,0.071869,1.053676,32.000000,0.050358,12.394839,0.047793,266.471270,34.598272
110,2.734372,0.073421,0.907872,32.000000,0.050358,11.702868,0.055468,269.205642,35.506144
111,2.784327,0.102140,0.429558,32.000000,0.050358,11.492904,0.117232,271.989969,35.935702
112,2.801469,0.107193,0.320625,32.000000,0.050358,11.422577,0.157062,274.791438,36.256326
113,2.761137,0.104402,0.012717,32.000000,0.050358,11.589428,3.959929,277.552575,36.269043
114,2.857374,0.100483,0.283727,32.000000,0.050358,11.199095,0.177487,280.409949,36.552770
115,2.772088,0.077831,0.635121,32.000000,0.050358,11.543645,0.079289,283.182037,37.187891
116,2.628791,0.077597,0.591719,32.000000,0.050358,12.172897,0.085104,285.810828,37.779609
117,2.643878,0.073614,0.401480,32.000000,0.050358,12.103434,0.125430,288.454705,38.181089
118,3.009561,0.103381,0.172916,32.000000,0.050358,10.632779,0.291226,291.464267,38.354006
119,2.834060,0.082847,0.317664,32.000000,0.050358,11.291222,0.158525,294.298327,38.671670
120,2.507861,0.102142,0.513186,32.000000,0.050358,12.759878,0.098128,296.806187,39.184856
121,2.851853,0.100398,0.088410,32.000000,0.050358,11.220775,0.569595,299.658040,39.273265
122,2.743682,0.103510,0.175416,32.000000,0.050358,11.663158,0.287076,302.401723,39.448682
123,2.814586,0.103460,0.193111,32.000000,0.050358,11.369345,0.260772,305.216309,39.641792
124,2.845358,0.103223,0.058771,32.000000,0.050358,11.246389,0.856848,308.061666,39.700563
125,2.831888,0.100111,0.014302,32.000000,0.050358,11.299882,3.521150,310.893554,39.714865
126,2.745017,0.102766,0.060674,32.000000,0.050358,11.657489,0.829968,313.638571,39.775539
127,2.880501,0.105672,0.001933,32.000000,0.050358,11.109177,26.052704,316.519072,39.777472
128,2.564460,0.101953,0.374179,32.000000,0.050358,12.478261,0.134582,319.083532,40.151651
129,2.814230,0.101392,0.069348,32.000000,0.050358,11.370784,0.726158,321.897762,40.221000
130,2.938641,0.100037,0.110086,32.000000,0.050358,10.889388,0.457441,324.836403,40.331086
131,2.714884,0.101048,0.131971,32.000000,0.050358,11.786877,0.381583,327.551287,40.463056
132,3.644867,0.100249,0.001891,32.000000,0.050358,8.779469,26.634399,331.196154,40.464947
133,2.862346,0.100281,0.203293,32.000000,0.050358,11.179642,0.247710,334.058500,40.668240
134,2.502427,0.102731,0.405325,32.000000,0.050358,12.787586,0.124240,336.560927,41.073566
135,2.572225,0.105401,0.161894,32.000000,0.050358,12.440591,0.311054,339.133152,41.235460
136,2.724793,0.102533,0.154763,32.000000,0.050358,11.744011,0.325386,341.857945,41.390223
137,3.088082,0.099900,0.236231,32.000000,0.050358,10.362418,0.213172,344.946027,41.626454
138,2.217029,0.076452,0.717911,32.000000,0.050358,14.433728,0.070145,347.163056,42.344365
139,2.896493,0.105774,0.066989,32.000000,0.050358,11.047843,0.751735,350.059549,42.411353
140,2.561707,0.074356,0.543184,32.000000,0.050358,12.491668,0.092709,352.621257,42.954538
141,2.105515,0.076643,0.658675,32.000000,0.050358,15.198184,0.076453,354.726771,43.613213
142,2.756837,0.103212,0.125536,32.000000,0.050358,11.607507,0.401144,357.483608,43.738748
143,2.885560,0.101709,0.304451,32.000000,0.050358,11.089701,0.165405,360.369168,44.043199
144,3.045337,0.102428,0.001970,32.000000,0.050358,10.507867,25.565745,363.414506,44.045169
145,2.685233,0.094509,0.451618,32.000000,0.050358,11.917031,0.111505,366.099738,44.496787
146,2.985702,0.100294,2.403942,32.000000,0.050358,10.717747,0.020948,369.085440,46.900729
147,1.728242,0.100224,0.003814,32.000000,0.050358,18.515925,13.202257,370.813682,46.904543
148,2.419010,0.106182,0.685138,32.000000,0.050358,13.228554,0.073500,373.232692,47.589681
149,2.522120,0.073651,0.502566,32.000000,0.050358,12.687738,0.100201,375.754812,48.092247
150,3.207772,0.100437,0.148552,32.000000,0.050358,9.975771,0.338992,378.962584,48.240799
151,2.599389,0.074105,1.167070,32.000000,0.050358,12.310584,0.043149,381.561974,49.407869
152,2.604663,0.100198,0.001872,32.000000,0.050358,12.285656,26.907630,384.166637,49.409740
153,2.624947,0.102839,0.160761,32.000000,0.050358,12.190723,0.313247,386.791584,49.570501
154,2.614062,0.080984,0.601292,32.000000,0.050358,12.241484,0.083749,389.405646,50.171793
155,2.556422,0.074006,0.676486,32.000000,0.050358,12.517497,0.074440,391.962068,50.848279
156,2.828050,0.102279,0.216135,32.000000,0.050358,11.315217,0.232992,394.790118,51.064414
157,2.865775,0.102256,0.212320,32.000000,0.050358,11.166263,0.237179,397.655893,51.276734
158,2.918755,0.104354,0.225146,32.000000,0.050358,10.963579,0.223667,400.574648,51.501880
159,2.799175,0.106691,0.036182,32.000000,0.050358,11.431941,1.391793,403.373823,51.538062
160,2.384414,0.083389,0.445025,32.000000,0.050358,13.420487,0.113157,405.758237,51.983086
161,2.611029,0.094147,0.504860,32.000000,0.050358,12.255706,0.099746,408.369266,52.487946
162,2.627455,0.122583,0.287784,32.000000,0.050358,12.179088,0.174985,410.996720,52.775730
163,2.693796,0.087954,0.405147,32.000000,0.050358,11.879146,0.124295,413.690517,53.180877
164,3.032524,0.102929,0.017197,32.000000,0.050358,10.552265,2.928326,416.723041,53.198073
165,2.363520,0.094489,1.076820,32.000000,0.050358,13.539128,0.046765,419.086561,54.274894
166,2.166997,0.074574,1.013958,32.000000,0.050358,14.766977,0.049665,421.253558,55.288852
167,3.143317,0.100089,0.029874,32.000000,0.050358,10.180329,1.685664,424.396875,55.318726
168,2.672307,0.074833,0.513372,32.000000,0.050358,11.974674,0.098092,427.069182,55.832098
169,2.659271,0.100173,0.176898,32.000000,0.050358,12.033371,0.284672,429.728453,56.008996
170,2.828650,0.109052,0.443559,32.000000,0.050358,11.312818,0.113531,432.557103,56.452555
171,3.013081,0.102275,0.261071,32.000000,0.050358,10.620360,0.192889,435.570183,56.713626
172,2.417980,0.088426,0.528218,32.000000,0.050358,13.234188,0.095335,437.988163,57.241843
173,2.722184,0.106696,0.174990,32.000000,0.050358,11.755269,0.287776,440.710347,57.416833
174,2.703836,0.088322,0.551535,32.000000,0.050358,11.835039,0.091305,443.414182,57.968368
175,3.107996,0.100283,0.395502,32.000000,0.050358,10.296023,0.127326,446.522178,58.363870
176,2.421913,0.101716,0.464043,32.000000,0.050358,13.212697,0.108520,448.944091,58.827913
177,2.880470,0.078187,0.379833,32.000000,0.050358,11.109299,0.132579,451.824561,59.207746
178,2.569337,0.097980,0.318283,32.000000,0.050358,12.454576,0.158217,454.393898,59.526029
179,2.716133,0.101964,0.393988,32.000000,0.050358,11.781453,0.127816,457.110031,59.920017
180,2.491306,0.084044,0.377382,32.000000,0.050358,12.844668,0.133440,459.601337,60.297399
181,2.321047,0.074466,0.599712,32.000000,0.050358,13.786880,0.083970,461.922385,60.897110
182,3.086470,0.102770,0.027020,32.000000,0.050358,10.367830,1.863713,465.008855,60.924131
183,2.845913,0.100474,0.055139,32.000000,0.050358,11.244196,0.913296,467.854767,60.979269
184,2.490613,0.075411,0.495978,32.000000,0.050358,12.848242,0.101532,470.345381,61.475247
185,2.664447,0.100691,0.101046,32.000000,0.050358,12.009999,0.498363,473.009827,61.576294
186,2.406868,0.077812,0.481134,32.000000,0.050358,13.295288,0.104665,475.416695,62.057428
187,2.500883,0.112470,0.493907,32.000000,0.050358,12.795482,0.101958,477.917578,62.551335
188,2.264382,0.075588,0.622997,32.000000,0.050358,14.131888,0.080832,480.181960,63.174332
189,2.726451,0.105614,0.349168,32.000000,0.050358,11.736868,0.144223,482.908411,63.523500
190,2.455049,0.093336,0.500230,32.000000,0.050358,13.034363,0.100669,485.363460,64.023730
191,2.401983,0.075228,0.519544,32.000000,0.050358,13.322325,0.096927,487.765444,64.543274
192,2.544940,0.100219,0.378901,32.000000,0.050358,12.573969,0.132905,490.310384,64.922175
193,3.057848,0.100443,0.219491,32.000000,0.050358,10.464875,0.229430,493.368232,65.141666
194,2.816032,0.100858,0.260298,32.000000,0.050358,11.363508,0.193462,496.184264,65.401964
195,2.607705,0.100491,0.190269,32.000000,0.050358,12.271329,0.264666,498.791969,65.592234
196,2.673342,0.101886,0.214284,32.000000,0.050358,11.970036,0.235005,501.465311,65.806518
197,2.570020,0.104694,0.217421,32.000000,0.050358,12.451267,0.231614,504.035330,66.023939
198,2.871690,0.100118,0.063060,32.000000,0.050358,11.143264,0.798573,506.907020,66.086999
199,2.338414,0.075710,0.629875,32.000000,0.050358,13.684486,0.079949,509.245435,66.716874
200,2.691137,0.100183,0.303096,32.000000,0.050358,11.890885,0.166145,511.936572,67.019970
201,2.471927,0.076677,0.723684,32.000000,0.050358,12.945366,0.069585,514.408499,67.743654
202,2.556034,0.078998,0.450620,32.000000,0.050358,12.519393,0.111752,516.964533,68.194274
203,2.707190,0.100184,0.221017,32.000000,0.050358,11.820374,0.227846,519.671723,68.415291
204,2.751311,0.104744,0.299450,32.000000,0.050358,11.630819,0.168168,522.423034,68.714740
205,2.435847,0.076908,0.696303,32.000000,0.050358,13.137113,0.072322,524.858882,69.411044
206,2.934403,0.100260,0.096101,32.000000,0.050358,10.905113,0.524008,527.793285,69.507145
207,2.617751,0.085296,0.446909,32.000000,0.050358,12.224235,0.112680,530.411036,69.954054
208,2.638254,0.101909,0.286878,32.000000,0.050358,12.129236,0.175537,533.049289,70.240932
209,2.918134,0.102938,0.086930,32.000000,0.050358,10.965911,0.579294,535.967424,70.327862
210,2.800381,0.100098,0.211072,32.000000,0.050358,11.427018,0.238582,538.767804,70.538934
211,2.647369,0.100351,0.234201,32.000000,0.050358,12.087474,0.215020,541.415173,70.773134
212,2.802424,0.112118,0.313774,32.000000,0.050358,11.418686,0.160491,544.217597,71.086908
213,2.840818,0.103182,0.197390,32.000000,0.050358,11.264362,0.255119,547.058415,71.284298
214,2.567108,0.074562,0.530663,32.000000,0.050358,12.465389,0.094896,549.625523,71.814960
215,2.747367,0.102502,0.046697,32.000000,0.050358,11.647515,1.078386,552.372890,71.861658
216,2.578269,0.079434,0.455672,32.000000,0.050358,12.411429,0.110513,554.951159,72.317329
217,2.858134,0.101436,0.206255,32.000000,0.050358,11.196117,0.244153,557.809292,72.523584
218,2.849615,0.073443,0.525122,32.000000,0.050358,11.229589,0.095897,560.658907,73.048707
219,2.696276,0.101720,0.472823,32.000000,0.050358,11.868223,0.106505,563.355183,73.521529
220,2.575378,0.102251,0.239477,32.000000,0.050358,12.425358,0.210282,565.930561,73.761007
221,2.514441,0.073989,0.620722,32.000000,0.050358,12.726486,0.081128,568.445002,74.381728
222,2.896807,0.100166,0.030433,32.000000,0.050358,11.046645,1.654711,571.341809,74.412161
223,2.674247,0.076345,0.405963,32.000000,0.050358,11.965984,0.124045,574.016057,74.818124
224,2.686990,0.077826,0.536632,32.000000,0.050358,11.909236,0.093840,576.703047,75.354757
225,2.758619,0.105700,0.323723,32.000000,0.050358,11.600006,0.155558,579.461666,75.678479
226,2.429647,0.074854,0.553949,32.000000,0.050358,13.170639,0.090907,581.891313,76.232429
227,2.826081,0.103751,0.228502,32.000000,0.050358,11.323099,0.220383,584.717394,76.460930
228,2.297068,0.076173,0.714031,32.000000,0.050358,13.930802,0.070526,587.014462,77.174962
229,2.735295,0.102781,0.230514,32.000000,0.050358,11.698919,0.218459,589.749758,77.405475
230,2.874523,0.100238,0.214529,32.000000,0.050358,11.132281,0.234736,592.624281,77.620005
231,2.265918,0.077480,0.698138,32.000000,0.050358,14.122310,0.072132,594.890199,78.318142
232,2.547267,0.076559,0.550683,32.000000,0.050358,12.562485,0.091446,597.437466,78.868826
233,2.521648,0.102523,0.300732,32.000000,0.050358,12.690112,0.167451,599.959114,79.169558
234,2.788549,0.102543,0.303379,32.000000,0.050358,11.475501,0.165990,602.747664,79.472937
235,2.935891,0.102178,0.122298,32.000000,0.050358,10.899588,0.411763,605.683554,79.595235
236,2.723266,0.101672,0.338991,32.000000,0.050358,11.750595,0.148552,608.406821,79.934226
237,2.796378,0.102524,0.186080,32.000000,0.050358,11.443372,0.270625,611.203199,80.120306
238,2.464188,0.089465,0.539162,32.000000,0.050358,12.986021,0.093400,613.667388,80.659468
239,2.780636,0.100181,0.112281,32.000000,0.050358,11.508158,0.448499,616.448024,80.771749
240,2.667804,0.084277,0.478393,32.000000,0.050358,11.994885,0.105265,619.115827,81.250141
241,2.636962,0.075367,0.564977,32.000000,0.050358,12.135176,0.089133,621.752790,81.815118
242,2.558812,0.097580,0.449515,32.000000,0.050358,12.505806,0.112027,624.311601,82.264633
243,2.385748,0.105771,0.447652,32.000000,0.050358,13.412986,0.112493,626.697349,82.712285
244,2.790153,0.073800,0.602096,32.000000,0.050358,11.468906,0.083638,629.487502,83.314381
245,2.725042,0.100378,0.135040,32.000000,0.050358,11.742940,0.372910,632.212543,83.449421
246,2.696995,0.078311,0.350749,32.000000,0.050358,11.865055,0.143572,634.909539,83.800170
247,2.979194,0.102195,0.006297,32.000000,0.050358,10.741161,7.997307,637.888732,83.806467
248,2.494922,0.073697,0.755496,32.000000,0.050358,12.826050,0.066655,640.383655,84.561963
249,2.551533,0.081354,0.375259,32.000000,0.050358,12.541478,0.134195,642.935188,84.937222
250,2.405712,0.075864,0.689028,32.000000,0.050358,13.301676,0.073085,645.340900,85.626250
251,2.318649,0.073475,0.668761,32.000000,0.050358,13.801142,0.075300,647.659549,86.295011
252,2.597678,0.074723,0.565872,32.000000,0.050358,12.318694,0.088992,650.257227,86.860883
253,2.737979,0.102344,0.150004,32.000000,0.050358,11.687452,0.335710,652.995206,87.010887
254,2.758096,0.102728,0.248786,32.000000,0.050358,11.602206,0.202414,655.753302,87.259673
255,2.792057,0.104518,0.125859,32.000000,0.050358,11.461084,0.400112,658.545359,87.385532
256,2.565769,0.106033,0.191667,32.000000,0.050358,12.471895,0.262736,661.111128,87.577199
257,2.635770,0.077194,0.640058,32.000000,0.050358,12.140663,0.078677,663.746898,88.217257
258,2.432322,0.072206,0.757870,32.000000,0.050358,13.156155,0.066447,666.179220,88.975127
259,2.604877,0.102778,0.236456,32.000000,0.050358,12.284647,0.212969,668.784097,89.211583
260,2.605692,0.102797,0.227752,32.000000,0.050358,12.280806,0.221108,671.389790,89.439334
261,2.730641,0.102131,0.177250,32.000000,0.050358,11.718859,0.284106,674.120431,89.616585
262,3.306905,0.100143,0.001926,32.000000,0.050358,9.676721,26.141546,677.427336,89.618511
