timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb,net_rx_mb,net_tx_mb
1779036195.595162,0.0,1262,281784,0.000,0.000,0.000,0.000
1779036198.598790,0.0,1607,281348,66.500,0.000,47.827,0.477
1779036201.601700,0.0,1597,281349,91.911,0.000,97.447,1.080
1779036204.604646,0.0,1586,281349,93.242,0.169,97.241,1.266
1779036207.607866,0.0,1584,281350,89.238,0.066,96.635,1.208
1779036210.611896,0.0,1585,281350,86.550,0.234,88.584,1.172
1779036213.626161,0.0,1592,281350,83.602,0.009,86.933,0.880
1779036216.629717,0.0,1585,281351,86.564,0.000,95.975,1.058
1779036219.655952,0.0,1590,281352,84.594,0.279,93.960,1.007
1779036222.658599,0.0,1589,281352,85.258,0.261,92.321,1.563
1779036225.661755,0.0,1591,281352,85.244,0.008,92.720,1.072
1779036228.665391,0.0,1583,281353,86.562,0.001,92.205,1.057
1779036231.669148,0.0,1590,281353,86.558,0.005,90.878,1.006
1779036234.672880,0.0,1584,281354,89.222,0.004,89.358,0.994
1779036237.676101,0.0,1585,281354,93.233,0.004,89.372,1.005
1779036240.679790,0.0,1585,281354,87.892,0.000,89.358,0.927
1779036243.700661,0.0,1586,281355,88.716,0.004,88.853,1.058
1779036246.704374,0.0,1586,281355,87.891,0.000,89.593,1.025
1779036249.708132,0.0,1585,281356,90.553,0.004,94.518,1.062
1779036252.711795,0.0,1584,281356,81.234,1.459,85.793,2.378
1779036255.715499,0.0,1586,281356,94.550,0.009,96.132,1.117
1779036258.719489,0.0,1583,281357,90.546,0.000,96.482,1.060
1779036261.723219,0.0,1584,281357,87.891,0.009,97.668,1.115
1779036264.727005,0.0,1586,281358,91.884,0.000,90.268,0.987
1779036267.730761,0.0,1586,281358,86.558,0.004,91.246,0.969
1779036270.734484,0.0,1585,281358,89.223,0.000,94.435,1.096
1779036273.738268,0.0,1585,281359,90.552,0.004,95.040,1.085
1779036276.742023,0.0,1585,281359,87.890,0.000,90.338,1.005
1779036279.745773,0.0,1586,281360,85.227,0.004,90.096,0.952
1779036282.749499,0.0,1587,281360,91.886,0.000,96.035,1.115
1779036285.752670,0.0,1584,281360,83.911,1.466,88.533,2.417
1779036288.756310,0.0,1583,281361,90.557,0.000,94.702,1.009
1779036291.759923,0.0,1584,281361,83.899,0.007,87.765,0.906
1779036294.762817,0.0,1586,281362,86.583,0.000,89.382,0.940
1779036297.765718,0.0,1588,281362,78.591,0.004,81.859,0.807
1779036300.769446,0.0,1588,281362,85.227,0.000,90.630,1.012
1779036303.773090,0.0,1587,281363,87.893,0.004,90.255,0.974
1779036306.777376,0.0,1587,281363,89.206,0.000,93.889,0.999
1779036309.780607,0.0,1586,281364,86.573,0.004,90.693,0.961
1779036312.784051,0.0,1587,281364,89.231,0.000,92.532,1.036
1779036315.798982,0.0,1584,281364,91.544,0.016,94.636,1.018
1779036318.818481,0.0,1585,281365,84.782,1.440,93.969,2.599
1779036321.844751,0.0,1592,281365,84.593,0.009,94.942,1.055
1779036324.853899,0.0,1587,281366,85.074,0.004,92.450,1.014
1779036327.856555,0.0,1585,281366,85.258,0.005,87.859,0.899
1779036330.875699,0.0,1587,281367,84.792,0.004,90.700,1.002
1779036333.880522,0.0,1585,281367,85.196,0.000,93.261,1.059
1779036336.884681,0.0,1584,281368,90.541,0.003,94.299,1.056
1779036339.888201,0.0,1586,281368,87.897,0.001,90.130,0.939
1779036342.892120,0.0,1588,281368,78.564,0.003,91.722,0.917
1779036345.895694,0.0,1586,281369,89.227,0.001,87.698,0.926
1779036348.899161,0.0,1588,281369,82.571,0.099,87.251,0.903
1779036351.902899,0.0,1587,281370,82.564,1.372,81.024,2.286
1779036354.906075,0.0,1587,281370,85.243,0.010,90.853,0.950
1779036357.909825,0.0,1587,281370,86.558,0.000,94.094,1.090
1779036360.913596,0.0,1585,281371,86.558,0.005,92.922,1.069
1779036363.917313,0.0,1587,281371,86.559,0.001,86.429,0.910
1779036366.921067,0.0,1586,281372,86.558,0.003,96.019,1.021
1779036369.924746,0.0,1587,281372,87.892,0.001,87.764,0.932
1779036372.928162,0.0,1588,281372,78.577,0.004,85.250,0.801
1779036375.931819,0.0,1587,281373,83.898,0.000,81.056,0.799
1779036378.935459,0.0,1587,281373,85.230,0.004,92.243,1.020
1779036381.939147,0.0,1588,281373,85.229,1.459,86.537,2.391
1779036384.942824,0.0,1589,281374,85.229,0.008,90.755,0.910
1779036387.946564,0.0,1588,281374,85.227,0.000,87.954,0.941
