timestamp,cpu_percent,memory_mb,rbd_usage_mb,io_read_mb,io_write_mb,net_rx_mb,net_tx_mb
1787863293.400126,0.0,979,284064,0.000,0.000,0.000,0.000
1787863296.403649,34.4,1319,283879,25.210,0.000,6.612,0.039
1787863299.407305,11.5,1326,283880,74.576,0.000,80.437,0.361
1787863302.410824,11.8,1317,283881,73.247,0.000,77.422,0.344
1787863305.414773,5.3,1318,283881,77.232,0.289,77.738,0.655
1787863308.417753,11.2,1318,283881,71.929,0.000,76.304,0.341
1787863311.421578,12.7,1319,283881,74.572,0.000,76.575,0.339
1787863314.425298,10.7,1319,283883,73.243,0.000,77.807,0.339
1787863317.428965,12.5,1317,283883,75.907,0.000,78.924,0.347
1787863320.432675,11.7,1318,283883,75.906,0.000,79.105,0.353
1787863323.436360,12.5,1317,283883,73.243,0.000,81.062,0.364
1787863326.439950,11.2,1318,283883,73.246,0.000,74.934,0.330
1787863329.443940,5.9,1320,283883,79.894,0.000,79.635,0.355
1787863332.446668,9.5,1319,283887,77.263,0.000,81.563,0.366
1787863335.450356,10.9,1321,283887,77.238,0.000,81.968,0.372
1787863338.454103,11.4,1320,283887,73.242,1.359,76.156,1.782
1787863341.457774,11.4,1316,283887,77.239,0.000,82.314,0.368
1787863344.461481,11.2,1317,283887,77.238,0.000,78.473,0.350
1787863347.465180,11.0,1321,283887,74.575,0.000,79.026,0.353
1787863350.468954,13.6,1320,283887,77.236,0.000,85.173,0.379
1787863353.472615,11.6,1317,283887,70.581,0.000,76.800,0.337
1787863356.476290,11.3,1320,283887,82.566,0.000,78.196,0.348
1787863359.478816,4.6,1316,283887,74.604,0.000,80.105,0.360
1787863362.482827,11.2,1319,283887,73.235,0.000,76.395,0.341
1787863365.486475,10.8,1319,283895,73.244,0.000,76.898,0.346
1787863368.490151,12.3,1319,283895,74.575,0.026,78.339,0.388
1787863371.493912,12.2,1318,283895,73.242,1.005,77.696,1.420
1787863374.497379,12.1,1319,283895,74.580,0.323,79.779,0.711
1787863377.501073,13.7,1316,283895,70.580,0.000,78.196,0.343
1787863380.504625,9.6,1318,283895,82.569,0.000,75.137,0.346
1787863383.515663,6.7,1320,283895,71.736,0.000,79.661,0.359
1787863386.519320,12.1,1318,283895,77.239,0.000,78.534,0.359
1787863389.522997,12.1,1321,283895,77.239,0.000,83.303,0.375
1787863392.526735,11.9,1321,283895,78.569,0.000,79.533,0.363
1787863395.530493,11.8,1323,283895,74.573,0.000,81.677,0.367
1787863398.534251,12.3,1322,283895,73.242,0.021,77.134,0.366
1787863401.556398,13.1,1319,283895,75.443,0.000,79.604,0.362
1787863404.560122,10.7,1323,283895,73.242,0.000,74.023,0.335
1787863407.563697,5.7,1323,283895,74.578,1.328,76.378,1.737
1787863410.567018,11.1,1322,283895,74.584,0.000,79.652,0.355
1787863413.570665,12.0,1318,283895,73.244,0.000,76.869,0.344
1787863416.574538,12.3,1319,283895,73.239,0.000,77.551,0.351
1787863419.578249,11.6,1317,283895,75.906,0.000,77.752,0.344
1787863422.582377,11.8,1319,283895,73.233,0.000,78.228,0.351
1787863425.586218,11.9,1319,283895,78.566,0.000,82.530,0.361
1787863428.589940,11.8,1319,283895,78.569,0.024,79.568,0.375
1787863431.593092,11.7,1319,283911,74.588,0.000,79.303,0.348
1787863434.598460,4.8,1317,283911,71.871,0.000,75.657,0.337
1787863437.602247,12.2,1320,283911,74.573,0.000,77.980,0.354
1787863440.606038,13.2,1318,283911,74.572,1.195,76.141,1.596
1787863443.609773,11.1,1322,283911,73.242,0.003,77.665,0.361
1787863446.613507,11.1,1320,283911,75.906,0.000,80.877,0.365
1787863449.617266,11.5,1321,283911,75.905,0.000,82.048,0.367
1787863452.620791,12.4,1321,283911,73.247,0.000,76.799,0.339
1787863455.624572,11.1,1322,283911,77.236,0.657,77.829,1.054
1787863458.627519,4.9,1322,283911,77.257,0.021,107.081,0.508
1787863461.631658,11.8,1318,283911,77.227,0.000,81.494,0.360
1787863464.635251,12.1,1320,283911,75.909,0.000,79.222,0.355
1787863467.638976,13.0,1320,283911,74.574,0.000,77.912,0.348
1787863470.642621,10.9,1322,283911,74.576,0.000,78.656,0.360
1787863473.646389,12.7,1319,283911,74.573,0.014,77.728,0.367
1787863476.650104,11.4,1319,283911,73.243,0.000,76.795,0.346
1787863479.653799,13.0,1322,283911,69.248,0.000,75.576,0.343
1787863482.657394,5.6,1320,283911,78.572,0.004,79.417,0.361
1787863485.660438,10.9,1321,283911,73.259,0.000,76.815,0.341
1787863488.664147,12.3,1322,283911,74.574,1.183,78.199,1.601
1787863491.667823,12.0,1321,283911,71.912,0.050,75.097,0.400
1787863494.671435,12.2,1321,283911,73.245,0.000,76.705,0.346
1787863497.675076,12.1,1322,283911,71.913,0.000,75.588,0.349
1787863500.678850,12.2,1320,283911,67.915,0.000,74.141,0.334
1787863503.682385,5.3,1322,283911,77.242,0.000,76.888,0.340
1787863506.686266,11.0,1324,283911,70.575,0.000,74.867,0.339
1787863509.689888,11.8,1323,283911,73.245,0.000,75.720,0.335
1787863512.693636,12.7,1322,283911,71.910,0.000,74.875,0.330
1787863515.697455,12.0,1323,283911,71.908,0.000,76.143,0.340
1787863518.701210,11.9,1323,283911,70.578,1.182,72.905,1.579
1787863521.704707,8.6,1322,283911,75.912,0.033,79.084,0.395
1787863524.718936,6.0,1322,283911,69.006,0.000,73.443,0.331
1787863527.722667,12.4,1323,283911,73.242,0.000,75.934,0.345
1787863530.726326,11.2,1322,283911,69.249,0.000,73.990,0.337
1787863533.730002,11.0,1324,283911,74.575,0.000,76.816,0.349
1787863536.733654,12.2,1322,283911,69.249,0.000,73.968,0.335
1787863539.737420,11.6,1322,283911,71.910,0.000,75.434,0.333
1787863542.740931,6.1,1322,283911,78.575,0.000,80.939,0.360
1787863545.744205,10.1,1321,283911,73.253,0.000,76.887,0.349
1787863548.747961,11.9,1323,283911,71.910,0.000,75.399,0.341
1787863551.751585,11.7,1322,283911,75.908,0.021,79.789,0.387
1787863554.755216,12.1,1322,283911,70.581,1.327,73.343,1.730
1787863557.758922,11.4,1323,283911,73.243,0.000,76.606,0.340
1787863560.762631,12.4,1323,283911,67.916,0.000,77.060,0.345
1787863563.766210,8.2,1325,283911,82.568,0.000,79.008,0.365
1787863566.779187,8.3,1325,283911,70.362,0.000,76.153,0.347
1787863569.782811,11.5,1326,283911,75.908,0.000,78.789,0.362
1787863572.786534,12.6,1322,283911,71.911,0.000,75.139,0.341
1787863575.790154,12.2,1325,283944,74.577,0.000,78.192,0.351
1787863578.793847,10.7,1325,283944,73.243,0.000,76.801,0.342
1787863581.797534,11.3,1327,283944,73.243,0.021,76.966,0.393
1787863584.801280,13.4,1324,283943,74.574,1.219,79.845,1.626
1787863587.805310,4.8,1326,283943,73.235,0.000,75.075,0.340
1787863590.809079,11.1,1328,283943,73.241,0.000,75.951,0.342
1787863593.812728,12.0,1327,283943,71.913,0.000,76.166,0.343
1787863596.816528,13.2,1327,283943,75.904,0.000,78.268,0.351
1787863599.820231,11.2,1327,283943,73.243,0.000,77.569,0.346
1787863602.824002,11.0,1327,283943,73.241,0.000,77.343,0.344
1787863605.827785,12.5,1326,283943,73.241,0.000,76.560,0.343
1787863608.831329,5.5,1327,283943,75.910,0.000,77.387,0.347
1787863611.847859,11.5,1325,283943,75.584,0.000,80.080,0.381
1787863614.851499,12.9,1326,283943,73.244,0.021,75.231,0.341
1787863617.855316,13.1,1327,283943,79.898,1.195,85.514,1.652
1787863620.858933,11.7,1328,283943,77.240,0.000,81.094,0.365
1787863623.862604,12.6,1323,283943,77.239,0.000,80.978,0.363
1787863626.866320,13.0,1323,283943,77.238,0.000,79.898,0.360
1787863629.869847,13.0,1325,283943,75.911,0.000,80.422,0.363
1787863632.873484,10.9,1324,283943,77.240,0.000,79.067,0.357
1787863635.877249,12.0,1325,283943,77.236,0.000,84.260,0.376
1787863638.880793,11.6,1324,283943,81.237,0.000,82.690,0.369
1787863641.883951,5.4,1327,283943,78.584,0.000,82.383,0.369
1787863644.886933,10.5,1327,283943,77.257,0.024,81.023,0.385
1787863647.890580,12.3,1326,283943,75.908,1.314,78.313,1.772
1787863650.895007,11.3,1327,283943,77.219,0.013,81.965,0.369
1787863653.898662,12.9,1324,283943,75.908,0.000,79.031,0.355
1787863656.902259,10.9,1326,283943,75.909,0.000,80.483,0.360
1787863659.906003,12.0,1328,283943,79.900,0.000,82.380,0.370
1787863662.909616,10.9,1328,283943,78.572,0.000,83.822,0.376
1787863665.913226,13.2,1324,283943,81.236,0.000,84.095,0.375
1787863668.916924,13.0,1325,283943,78.570,0.000,82.421,0.365
1787863671.920557,12.6,1325,283943,78.572,0.000,84.520,0.376
1787863674.923751,11.5,1326,283943,79.915,0.021,82.823,0.396
1787863677.927310,7.9,1328,283943,82.569,0.000,83.671,0.374
1787863680.930936,9.8,1327,283943,75.908,1.315,81.206,1.763
1787863683.934575,12.5,1328,283943,74.576,0.013,77.444,0.350
1787863686.938572,11.1,1328,283943,74.567,0.000,78.724,0.355
1787863689.942829,12.2,1325,283943,77.224,0.000,79.560,0.358
1787863692.946368,12.4,1324,283943,75.910,0.000,81.014,0.366
1787863695.950013,11.8,1327,283943,81.235,0.000,83.778,0.376
1787863698.953534,11.3,1327,283943,77.243,0.000,81.028,0.364
1787863701.957148,11.8,1325,283943,82.567,0.000,87.488,0.391
1787863704.960892,12.0,1325,283943,81.232,0.021,82.860,0.393
1787863707.964612,11.1,1326,283943,79.901,0.000,85.120,0.381
1787863710.968116,11.2,1327,283943,83.902,0.000,87.853,0.394
1787863713.970818,12.6,1325,283943,83.924,1.328,89.347,1.806
1787863716.974451,11.3,1327,283943,93.220,0.000,93.441,0.421
1787863719.978044,11.6,1326,283943,86.563,0.000,92.600,0.419
1787863722.981712,11.6,1327,283943,89.224,0.000,92.630,0.415
1787863725.985360,12.0,1326,283943,90.557,0.000,95.898,0.434
1787863728.989024,12.9,1325,283943,85.229,0.000,89.394,0.402
1787863731.992485,13.1,1327,283943,86.567,0.000,90.003,0.402
1787863735.010450,12.6,1327,283943,84.825,0.021,89.289,0.434
1787863738.014080,12.5,1327,283943,83.898,0.000,87.255,0.393
1787863741.017670,12.5,1327,283943,81.236,0.000,84.878,0.379
1787863744.021081,10.9,1327,283943,79.909,0.000,85.200,0.381
1787863747.024348,12.1,1326,283943,73.254,1.462,82.180,1.916
1787863750.027962,12.8,1326,283943,81.235,0.000,84.085,0.375
1787863753.031580,8.3,1328,283943,82.567,0.000,79.972,0.359
1787863756.035305,7.5,1329,283943,78.569,0.000,83.434,0.375
1787863759.039472,11.7,1330,283943,85.215,0.000,88.368,0.395
