step,read_time_sec,compute_time_sec,write_time_sec,data_read_mb,data_written_mb,read_throughput_mb_s,write_throughput_mb_s,cumulative_read_time,cumulative_write_time
1,3.374978,0.038924,0.002626,32.000000,0.050358,9.481543,19.178203,3.374978,0.002626
2,3.344696,0.039096,0.064921,32.000000,0.050358,9.567386,0.775681,6.719674,0.067547
3,3.117493,0.034824,0.160610,32.000000,0.050358,10.264659,0.313540,9.837167,0.228157
4,2.947008,0.049415,0.303057,32.000000,0.050358,10.858470,0.166166,12.784175,0.531214
5,3.204129,0.039011,0.001776,32.000000,0.050358,9.987113,28.354021,15.988304,0.532990
6,3.043981,0.039188,0.318075,32.000000,0.050358,10.512549,0.158321,19.032285,0.851065
7,3.291449,0.038830,0.077969,32.000000,0.050358,9.722162,0.645869,22.323734,0.929034
8,3.164792,0.035571,0.244616,32.000000,0.050358,10.111248,0.205865,25.488527,1.173650
9,3.340216,0.039440,0.035955,32.000000,0.050358,9.580218,1.400562,28.828743,1.209605
10,3.363377,0.039627,0.036770,32.000000,0.050358,9.514247,1.369523,32.192120,1.246376
11,3.337713,0.054576,0.992833,32.000000,0.050358,9.587404,0.050721,35.529833,2.239208
12,2.482961,0.038974,0.001774,32.000000,0.050358,12.887838,28.387203,38.012794,2.240982
13,3.192051,0.032414,0.248380,32.000000,0.050358,10.024903,0.202745,41.204845,2.489362
14,3.051227,0.050176,0.293394,32.000000,0.050358,10.487583,0.171639,44.256072,2.782756
15,3.147537,0.038838,0.073894,32.000000,0.050358,10.166679,0.681485,47.403609,2.856650
16,3.083642,0.037093,0.225998,32.000000,0.050358,10.377340,0.222824,50.487251,3.082649
17,3.092809,0.030274,0.213561,32.000000,0.050358,10.346580,0.235800,53.580060,3.296210
18,3.242871,0.041428,0.024116,32.000000,0.050358,9.867800,2.088132,56.822931,3.320326
19,3.226720,0.039251,0.040878,32.000000,0.050358,9.917191,1.231919,60.049651,3.361204
20,3.129480,0.030102,0.229727,32.000000,0.050358,10.225340,0.219207,63.179132,3.590931
21,2.981420,0.038066,0.264980,32.000000,0.050358,10.733142,0.190044,66.160551,3.855911
22,3.371850,0.038865,0.001804,32.000000,0.050358,9.490339,27.907758,69.532401,3.857715
23,3.116328,0.046631,0.270600,32.000000,0.050358,10.268495,0.186097,72.648730,4.128315
24,3.060311,0.049205,0.333276,32.000000,0.050358,10.456453,0.151100,75.709041,4.461591
25,3.258475,0.034812,0.583315,32.000000,0.050358,9.820546,0.086330,78.967515,5.044905
26,3.113239,0.038954,0.001871,32.000000,0.050358,10.278685,26.920922,82.080754,5.046776
27,3.335096,0.030203,0.174588,32.000000,0.050358,9.594928,0.288439,85.415850,5.221363
28,3.342122,0.032542,0.196312,32.000000,0.050358,9.574755,0.256519,88.757972,5.417676
29,3.243428,0.035828,0.274058,32.000000,0.050358,9.866106,0.183749,92.001399,5.691733
30,3.435736,0.039352,0.039066,32.000000,0.050358,9.313871,1.289031,95.437135,5.730800
31,3.223995,0.030199,0.220791,32.000000,0.050358,9.925575,0.228079,98.661130,5.951591
32,3.364129,0.038845,0.152079,32.000000,0.050358,9.512120,0.331130,102.025259,6.103670
33,3.203997,0.037834,0.245895,32.000000,0.050358,9.987524,0.204794,105.229256,6.349565
34,3.234982,0.030688,0.209663,32.000000,0.050358,9.891862,0.240185,108.464239,6.559227
35,3.332439,0.038856,0.043157,32.000000,0.050358,9.602576,1.166860,111.796678,6.602384
36,3.111019,0.048851,0.318256,32.000000,0.050358,10.286018,0.158230,114.907697,6.920640
37,3.159568,0.040934,0.261448,32.000000,0.050358,10.127968,0.192611,118.067265,7.182088
38,3.107238,0.030049,0.293920,32.000000,0.050358,10.298535,0.171332,121.174503,7.476008
39,3.235793,0.030211,0.276670,32.000000,0.050358,9.889385,0.182014,124.410296,7.752678
40,3.464942,0.038845,0.002320,32.000000,0.050358,9.235365,21.708352,127.875237,7.754997
41,3.444230,0.039150,0.001807,32.000000,0.050358,9.290902,27.861236,131.319467,7.756805
42,3.254209,0.032423,0.180124,32.000000,0.050358,9.833420,0.279572,134.573676,7.936929
43,3.250202,0.039647,0.245545,32.000000,0.050358,9.845543,0.205086,137.823877,8.182474
44,3.347061,0.043307,0.399399,32.000000,0.050358,9.560626,0.126084,141.170938,8.581874
45,3.271019,0.038790,0.001807,32.000000,0.050358,9.782885,27.869639,144.441957,8.583681
46,3.234652,0.034980,0.281025,32.000000,0.050358,9.892873,0.179194,147.676609,8.864705
47,3.152866,0.046600,0.338106,32.000000,0.050358,10.149497,0.148941,150.829474,9.202811
48,3.259871,0.036534,0.234114,32.000000,0.050358,9.816339,0.215100,154.089346,9.436925
49,3.326044,0.032162,0.204958,32.000000,0.050358,9.621038,0.245698,157.415390,9.641883
50,3.457242,0.038845,0.001866,32.000000,0.050358,9.255934,26.990382,160.872632,9.643749
51,3.184017,0.048010,0.287307,32.000000,0.050358,10.050199,0.175275,164.056648,9.931056
52,3.493183,0.039042,0.002862,32.000000,0.050358,9.160698,17.595331,167.549832,9.933918
53,3.209039,0.050684,0.301564,32.000000,0.050358,9.971833,0.166989,170.758871,10.235481
54,3.323865,0.050862,0.184837,32.000000,0.050358,9.627346,0.272444,174.082736,10.420318
55,3.369513,0.053833,0.092545,32.000000,0.050358,9.496921,0.544146,177.452249,10.512863
56,3.317294,0.031258,0.170672,32.000000,0.050358,9.646417,0.295057,180.769543,10.683534
57,3.146012,0.047732,0.329492,32.000000,0.050358,10.171609,0.152835,183.915555,11.013027
58,3.411425,0.038832,0.091562,32.000000,0.050358,9.380244,0.549985,187.326980,11.104589
59,3.301476,0.034910,0.235103,32.000000,0.050358,9.692635,0.214195,190.628456,11.339692
60,3.374571,0.044820,0.132332,32.000000,0.050358,9.482688,0.380542,194.003026,11.472023
61,3.464221,0.038873,0.002916,32.000000,0.050358,9.237287,17.272411,197.467247,11.474939
62,3.104108,0.047664,0.374693,32.000000,0.050358,10.308919,0.134397,200.571355,11.849632
63,3.297157,0.030788,0.261981,32.000000,0.050358,9.705332,0.192219,203.868512,12.111613
64,3.288576,0.030792,0.244938,32.000000,0.050358,9.730656,0.205594,207.157088,12.356551
